Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-tloe,branch-b7np,randomiser-oo54,randomiser-5zfx,randomiser-rrwr,randomiser-39gv,branch-m511,quota-so7f,quota-bi7i,branch-k46k,Randomise questionnaire elements?,Question Key,Response
1,1703416856437,24/12/2023 11:20:56,1703416856346,0,24/12/2023 11:20:56,155541,10,questionnaire-fgdt,,33855964,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Consent form,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1703416861991,24/12/2023 11:21:01,1703416861938,0,24/12/2023 11:21:01,155541,10,questionnaire-fgdt,,33855964,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Consent form,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,consent1,1
3,1703416862046,24/12/2023 11:21:02,1703416861940,0,24/12/2023 11:21:01,155541,10,questionnaire-fgdt,,33855964,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Consent form,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,consent2,1
4,1703416862046,24/12/2023 11:21:02,1703416861940,0,24/12/2023 11:21:01,155541,10,questionnaire-fgdt,,33855964,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Consent form,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,consent3,1
5,1703416862046,24/12/2023 11:21:02,1703416861940,0,24/12/2023 11:21:01,155541,10,questionnaire-fgdt,,33855964,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Consent form,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,consent5,1
6,1703416862046,24/12/2023 11:21:02,1703416861940,0,24/12/2023 11:21:01,155541,10,questionnaire-fgdt,,33855964,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Consent form,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,consent7,1
7,1703416862046,24/12/2023 11:21:02,1703416861940,0,24/12/2023 11:21:01,155541,10,questionnaire-fgdt,,33855964,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Consent form,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,consent6,1
8,1703416862046,24/12/2023 11:21:02,1703416861940,0,24/12/2023 11:21:01,155541,10,questionnaire-fgdt,,33855964,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Consent form,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,5594
1,1703526291379,25/12/2023 17:44:51,1703526291295,0,25/12/2023 17:44:51,155541,10,questionnaire-fgdt,,33860339,BLIND,10015908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1470x956,1324x763,,,,Consent form,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1703526299186,25/12/2023 17:44:59,1703526299149,0,25/12/2023 17:44:59,155541,10,questionnaire-fgdt,,33860339,BLIND,10015908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1470x956,1324x763,,,,Consent form,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,consent1,1
