Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-tloe,branch-b7np,randomiser-oo54,randomiser-5zfx,randomiser-rrwr,randomiser-39gv,branch-m511,quota-so7f,quota-bi7i,branch-k46k,Randomise questionnaire elements?,Question Key,Response
1,1703308121840,23/12/2023 05:08:41,1703308121720,0,23/12/2023 05:08:41,155541,10,questionnaire-gew1,,33849057,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,The Autism Spectrum Quotient: Adult's Version (AQ-Short),2,,control,,,,set 2,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1703308188339,23/12/2023 05:09:48,1703308188244,0,23/12/2023 05:09:48,155541,10,questionnaire-gew1,,33849057,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,The Autism Spectrum Quotient: Adult's Version (AQ-Short),2,,control,,,,set 2,Controls,ACCEPT,,Controls,No,question 1 ,Slightly Agree
3,1703308188405,23/12/2023 05:09:48,1703308188245,0,23/12/2023 05:09:48,155541,10,questionnaire-gew1,,33849057,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,The Autism Spectrum Quotient: Adult's Version (AQ-Short),2,,control,,,,set 2,Controls,ACCEPT,,Controls,No,question 1 -quantised,2
4,1703308188405,23/12/2023 05:09:48,1703308188246,0,23/12/2023 05:09:48,155541,10,questionnaire-gew1,,33849057,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,The Autism Spectrum Quotient: Adult's Version (AQ-Short),2,,control,,,,set 2,Controls,ACCEPT,,Controls,No,question 2 ,Definitely Disagree
5,1703308188405,23/12/2023 05:09:48,1703308188246,0,23/12/2023 05:09:48,155541,10,questionnaire-gew1,,33849057,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,The Autism Spectrum Quotient: Adult's Version (AQ-Short),2,,control,,,,set 2,Controls,ACCEPT,,Controls,No,question 2 -quantised,4
6,1703308188405,23/12/2023 05:09:48,1703308188246,0,23/12/2023 05:09:48,155541,10,questionnaire-gew1,,33849057,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,The Autism Spectrum Quotient: Adult's Version (AQ-Short),2,,control,,,,set 2,Controls,ACCEPT,,Controls,No,question 3 ,Slightly Agree
7,1703308188405,23/12/2023 05:09:48,1703308188246,0,23/12/2023 05:09:48,155541,10,questionnaire-gew1,,33849057,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,The Autism Spectrum Quotient: Adult's Version (AQ-Short),2,,control,,,,set 2,Controls,ACCEPT,,Controls,No,question 3 -quantised,2
8,1703308188405,23/12/2023 05:09:48,1703308188246,0,23/12/2023 05:09:48,155541,10,questionnaire-gew1,,33849057,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,The Autism Spectrum Quotient: Adult's Version (AQ-Short),2,,control,,,,set 2,Controls,ACCEPT,,Controls,No,question 4 ,Slightly Disagree
9,1703308188405,23/12/2023 05:09:48,1703308188246,0,23/12/2023 05:09:48,155541,10,questionnaire-gew1,,33849057,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,The Autism Spectrum Quotient: Adult's Version (AQ-Short),2,,control,,,,set 2,Controls,ACCEPT,,Controls,No,question 4 -quantised,3
10,1703308188405,23/12/2023 05:09:48,1703308188246,0,23/12/2023 05:09:48,155541,10,questionnaire-gew1,,33849057,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,The Autism Spectrum Quotient: Adult's Version (AQ-Short),2,,control,,,,set 2,Controls,ACCEPT,,Controls,No,question 5,Definitely Agree
