Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-tloe,branch-b7np,randomiser-oo54,randomiser-5zfx,randomiser-rrwr,randomiser-39gv,branch-m511,quota-so7f,quota-bi7i,branch-k46k,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Manipulation: Spreadsheet
1,1703308190041,23/12/2023 05:09:50,1703308190041,0,23/12/2023 05:09:50,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1703308192137,23/12/2023 05:09:52,1703308192137,0,23/12/2023 05:09:52,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,1,start,Welcome,vo3k26,1,continue,,2115.4880000000003,2099.916,2115.4880000000003,2115.4880000000003,2099.916,2115.4880000000003,1,2115.4880000000003,0,0,,Click To Continue,Continue Button,2,object-14,start,,,,,,,,,,,,,,,,,,,,,
3,1703308203836,23/12/2023 05:10:03,1703308203836,0,23/12/2023 05:10:03,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,1,instr_passages,Text,zppu2h,1,response,,11700.019000000002,11683.353000000001,11700.019000000002,11700.019000000002,11683.353000000001,11700.019000000002,1,11700.019000000002,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,1,"TASK INSTRUCTIONS - PLEASE READ CAREFULLY!

The goal of this study is to learn how mind wandering affects how you learn information during reading. <br><br> Mind wandering is a term used to describe what occurs when your attention wanders from a task.
 Sometimes when your mind wanders, you begin thinking about personal events or concerns rather than your task. At other times, your mind can wander because you are bored or tired and you don’t really know what you’re thinking about; all you know is that you are no longer thinking about your task.
<br><br>
Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
4,1703308216027,23/12/2023 05:10:16,1703308216027,0,23/12/2023 05:10:16,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,2,instr_passages,Text,zppu2h,1,response,,12223.118999976157,12216.901,12223.118999976157,12223.118999976157,12216.901,12223.118999976157,1,12223.118999976157,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,2,"In this task, you will read 4 passages and answer reading comprehension questions for each passage. <br><br> THE PASSAGES WILL BE PRESENTED IN A SENTENCE-BY-SENTENCE FASHION. PLEASE READ THE SENTENCES AT YOUR NORMAL READING PACE. ONCE YOU HAVE FINISHED READING ONE SENTENCE, PRESS THE SPACE BAR TO MOVE ON TO THE NEXT SENTENCE. Once you've read the sentence you MAY NOT GO BACK.<br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
5,1703308223822,23/12/2023 05:10:23,1703308223822,0,23/12/2023 05:10:23,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,3,instr_passages,Text,zppu2h,1,response,,7800.466999999997,7783.8009999999995,7800.466999999997,7800.466999999997,7783.8009999999995,7800.466999999997,1,7800.466999999997,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,3,"THE SET OF READING COMPREHENSION QUESTIONS FOR THAT PARTICULAR PASSAGE YOU’VE FINISHED READING WILL APPEAR AFTER EACH PASSAGE, not all together at the end. Like the sentences, once you've answered the questions you MAY NOT GO BACK TO CHANGE YOUR ANSWER.
<br><br> 
Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
6,1703308230596,23/12/2023 05:10:30,1703308230596,0,23/12/2023 05:10:30,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,4,instr_passages,Text,zppu2h,1,response,,6792.316999952316,6783.597000000002,6792.316999952316,6792.316999952316,6783.597000000002,6792.316999952316,1,6792.316999952316,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,4,"Additionally, while you are reading you will be randomly interrupted and asked “WERE YOU MIND WANDERING WHEN YOU READ THE PREVIOUS SENTENCE?"" You would have to choose either “Yes” or ""No"" by clicking on the appropriate option.<br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
7,1703308239364,23/12/2023 05:10:39,1703308239364,0,23/12/2023 05:10:39,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,5,instr_passages,Text,zppu2h,1,response,,8777.219999952315,8766.775000000001,8777.219999952315,8777.219999952315,8766.775000000001,8777.219999952315,1,8777.219999952315,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,6,"This entire task is self-paced. Though of course you should try NOT TO go over the task's ending time of 20 minutes. So try to do the task all the way through instead of taking too many small breaks in between. The task isn't long, so you should be able to do it without taking any breaks. <br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
8,1703308241377,23/12/2023 05:10:41,1703308241377,0,23/12/2023 05:10:41,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,6,instr_passages,Text,zppu2h,1,response,,2023.944999952313,2016.5859999999957,2023.944999952313,2023.944999952313,2016.5859999999957,2023.944999952313,1,2023.944999952313,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,7,Please press the space bar to start reading the first passage.,,,,,,,,,,,,,,,,,,,
9,1703308244448,23/12/2023 05:10:44,1703308244448,0,23/12/2023 05:10:44,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,1,passages,Sentences,3emlxf,1,response,,3077.9589999761592,3066.5440000000017,3077.9589999761592,3077.9589999761592,3066.5440000000017,3077.9589999761592,1,3077.9589999761592,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,0,Passage 1,0,Easy,2,2,,,,,,,,,,,,
10,1703308251909,23/12/2023 05:10:51,1703308251909,0,23/12/2023 05:10:51,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,2,passages,Sentences,3emlxf,1,response,,7473.314999952316,7467.309999999998,7473.314999952316,7473.314999952316,7467.309999999998,7473.314999952316,1,7473.314999952316,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,1,Elizabeth Barrett was wise enough to see that Browning was a fine poet.,0,Easy,2,2,,,,,,,,,,,,
11,1703308270251,23/12/2023 05:11:10,1703308270251,0,23/12/2023 05:11:10,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,3,passages,Sentences,3emlxf,1,response,,18347.905000047685,18333.634999999995,18347.905000047685,18347.905000047685,18333.634999999995,18347.905000047685,1,18347.905000047685,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,2,"The young man with the lemon-colored gloves and long dark hair and high-strung, restless manner who had visited her in 1846 had been moved to write to her because she had praised his poetry.",1,Easy,2,2,,,,,,,,,,,,
12,1703308272360,23/12/2023 05:11:12,1703308272360,0,23/12/2023 05:11:12,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,1,probe,Thought probe,muxvwp,1,response,no,2123.8699999523233,2116.5820000000094,2123.8699999523233,2123.8699999523233,2116.5820000000094,2123.8699999523233,1,2123.8699999523233,0,0,,Click Response,response,3,object-82,probe,,,,,,,,,,,,,,,,,,,,,
13,1703308285365,23/12/2023 05:11:25,1703308285365,0,23/12/2023 05:11:25,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,4,passages,Sentences,3emlxf,1,response,,13012.487999999998,13000.330999999991,13012.487999999998,13012.487999999998,13000.330999999991,13012.487999999998,1,13012.487999999998,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,3,"She found the man even more to her liking than the verse, and it was not so very long-only the time between May, 1845 and September, 1846-before Robert Browning had stolen the poetess from the dour father who guarded her like a dragon (never wanting her to marry any man), and taken her with him to Italy and a new life.",1,Easy,2,2,,,,,,,,,,,,
14,1703308287209,23/12/2023 05:11:27,1703308287209,0,23/12/2023 05:11:27,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,2,probe,Thought probe,muxvwp,1,response,no,1856.7570000238484,1850.771000000008,1856.7570000238484,1856.7570000238484,1850.771000000008,1856.7570000238484,1,1856.7570000238484,0,0,,Click Response,response,3,object-82,probe,,,,,,,,,,,,,,,,,,,,,
15,1703308290473,23/12/2023 05:11:30,1703308290473,0,23/12/2023 05:11:30,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,5,passages,Sentences,3emlxf,1,response,,3269.8859999999986,3266.535999999993,3269.8859999999986,3269.8859999999986,3266.535999999993,3269.8859999999986,1,3269.8859999999986,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,4,"One morning, soon after Robert and Elizabeth married; she thrust a manuscript into Robert’s pocket.",0,Easy,2,2,,,,,,,,,,,,
16,1703308291826,23/12/2023 05:11:31,1703308291826,0,23/12/2023 05:11:31,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,6,passages,Sentences,3emlxf,1,response,,1356.149999952322,1349.9460000000108,1356.149999952322,1356.149999952322,1349.9460000000108,1356.149999952322,1,1356.149999952322,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,5,"Then she ran up to her room, embarrassed by her action.",0,Easy,2,2,,,,,,,,,,,,
17,1703308295475,23/12/2023 05:11:35,1703308295475,0,23/12/2023 05:11:35,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,7,passages,Sentences,3emlxf,1,response,,3655.6040000476787,3649.853999999992,3655.6040000476787,3655.6040000476787,3649.853999999992,3655.6040000476787,1,3655.6040000476787,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,6,The manuscript was a sonnet sequence that she had written about their courtship and their love letters.,0,Easy,2,2,,,,,,,,,,,,
18,1703308298200,23/12/2023 05:11:38,1703308298200,0,23/12/2023 05:11:38,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,8,passages,Sentences,3emlxf,1,response,,2730.2500000476866,2717.2609999999986,2730.2500000476866,2730.2500000476866,2717.2609999999986,2730.2500000476866,1,2730.2500000476866,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,7,"Mrs. Browning never intended for these poems to be published, but Robert promptly insisted that they must be.",0,Easy,2,2,,,,,,,,,,,,
