Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-tloe,branch-b7np,randomiser-oo54,randomiser-5zfx,randomiser-rrwr,randomiser-39gv,branch-m511,quota-so7f,quota-bi7i,branch-k46k,Randomise questionnaire elements?,Question Key,Response
1,1703416842514,24/12/2023 11:20:42,1703416842446,0,24/12/2023 11:20:42,155541,10,questionnaire-km51,,33855962,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1703416855694,24/12/2023 11:20:55,1703416855655,0,24/12/2023 11:20:55,155541,10,questionnaire-km51,,33855962,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,13209
1,1704142208582,01/01/2024 20:50:08,1704142294305,0,01/01/2024 20:51:34,155541,10,questionnaire-km51,,33905371,BLIND,10036163,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x585,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1704142257634,01/01/2024 20:50:57,1704142343174,0,01/01/2024 20:52:23,155541,10,questionnaire-km51,,33905371,BLIND,10036163,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1263x585,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,48869
1,1704480212862,05/01/2024 18:43:32,1704480212197,0,05/01/2024 18:43:32,155541,10,questionnaire-km51,,33980989,BLIND,10054018,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 119.0.0.0,1616x909,1616x774,,,,Info sheet,6,,asd,,set 2,,,Neurodiverse,,ACCEPT,Neurodiverse,No,BEGIN QUESTIONNAIRE,
2,1704480258897,05/01/2024 18:44:18,1704480258425,0,05/01/2024 18:44:18,155541,10,questionnaire-km51,,33980989,BLIND,10054018,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 119.0.0.0,1616x909,1616x774,,,,Info sheet,6,,asd,,set 2,,,Neurodiverse,,ACCEPT,Neurodiverse,No,END QUESTIONNAIRE,46227
1,1704902181497,10/01/2024 15:56:21,1704902181446,0,10/01/2024 15:56:21,155541,10,questionnaire-km51,,34109920,BLIND,10080317,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x815,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1704902209781,10/01/2024 15:56:49,1704902209795,0,10/01/2024 15:56:49,155541,10,questionnaire-km51,,34109920,BLIND,10080317,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x815,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,28349
1,1704983288390,11/01/2024 14:28:08,1704983288306,0,11/01/2024 14:28:08,155541,10,questionnaire-km51,,34134083,BLIND,10085882,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1440x900,1440x820,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1704983363917,11/01/2024 14:29:23,1704983363541,0,11/01/2024 14:29:23,155541,10,questionnaire-km51,,34134083,BLIND,10085882,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1440x900,1440x820,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,75235
1,1705493561457,17/01/2024 12:12:41,1705493560590,0,17/01/2024 12:12:40,155541,10,questionnaire-km51,,34275216,BLIND,10124650,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1536x864,1536x730,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1705493638378,17/01/2024 12:13:58,1705493637501,0,17/01/2024 12:13:57,155541,10,questionnaire-km51,,34275216,BLIND,10124650,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1536x864,1536x730,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,76911
1,1705495380577,17/01/2024 12:43:00,1705495380388,0,17/01/2024 12:43:00,155541,10,questionnaire-km51,,34275974,BLIND,10124858,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.4,1440x900,994x732,,,,Info sheet,6,,asd,,set 2,,,Neurodiverse,,ACCEPT,Neurodiverse,No,BEGIN QUESTIONNAIRE,
2,1705495431600,17/01/2024 12:43:51,1705495431465,0,17/01/2024 12:43:51,155541,10,questionnaire-km51,,34275974,BLIND,10124858,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.4,1440x900,994x732,,,,Info sheet,6,,asd,,set 2,,,Neurodiverse,,ACCEPT,Neurodiverse,No,END QUESTIONNAIRE,51077
1,1705505216895,17/01/2024 15:26:56,1705505218511,0,17/01/2024 15:26:58,155541,10,questionnaire-km51,,34281637,BLIND,10126244,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1280x720,1232x564,,,,Info sheet,6,,multiple,,,set 1,,Neurodiverse,,ACCEPT,Neurodiverse,No,BEGIN QUESTIONNAIRE,
2,1705505220181,17/01/2024 15:27:00,1705505221850,0,17/01/2024 15:27:01,155541,10,questionnaire-km51,,34281637,BLIND,10126244,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1280x720,1217x564,,,,Info sheet,6,,multiple,,,set 1,,Neurodiverse,,ACCEPT,Neurodiverse,No,END QUESTIONNAIRE,3339
1,1705924514400,22/01/2024 11:55:14,1705924514401,0,22/01/2024 11:55:14,155541,10,questionnaire-km51,,34375728,BLIND,10158586,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1536x776,,,,Info sheet,6,set 2,dyslexia,,,,,Neurodiverse,,ACCEPT,Neurodiverse,No,BEGIN QUESTIONNAIRE,
2,1705924583056,22/01/2024 11:56:23,1705924583065,0,22/01/2024 11:56:23,155541,10,questionnaire-km51,,34375728,BLIND,10158586,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1519x776,,,,Info sheet,6,set 2,dyslexia,,,,,Neurodiverse,,ACCEPT,Neurodiverse,No,END QUESTIONNAIRE,68664
1,1706009801802,23/01/2024 11:36:41,1706009801735,0,23/01/2024 11:36:41,155541,10,questionnaire-km51,,34402235,BLIND,10168138,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x779,,,,Info sheet,6,,control,,,,set 2,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1706009805259,23/01/2024 11:36:45,1706009805218,0,23/01/2024 11:36:45,155541,10,questionnaire-km51,,34402235,BLIND,10168138,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x779,,,,Info sheet,6,,control,,,,set 2,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,3483
1,1706284713864,26/01/2024 15:58:33,1706284712644,0,26/01/2024 15:58:32,155541,10,questionnaire-km51,,34518217,BLIND,10205713,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x730,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1706284946916,26/01/2024 16:02:26,1706284945567,0,26/01/2024 16:02:25,155541,10,questionnaire-km51,,34518217,BLIND,10205713,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1519x730,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,232923
1,1706454259597,28/01/2024 15:04:19,1706454259505,0,28/01/2024 15:04:19,155541,10,questionnaire-km51,,34554671,BLIND,10216339,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x718,,,,Info sheet,6,,control,,,,set 2,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1706454323079,28/01/2024 15:05:23,1706454322983,0,28/01/2024 15:05:22,155541,10,questionnaire-km51,,34554671,BLIND,10216339,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x718,,,,Info sheet,6,,control,,,,set 2,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,63478
1,1708510390793,21/02/2024 10:13:10,1708510390531,0,21/02/2024 10:13:10,155541,10,questionnaire-km51,,35378515,BLIND,10450156,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,,Info sheet,6,,asd,,set 2,,,Neurodiverse,,ACCEPT,Neurodiverse,No,BEGIN QUESTIONNAIRE,
2,1708510418253,21/02/2024 10:13:38,1708510418024,0,21/02/2024 10:13:38,155541,10,questionnaire-km51,,35378515,BLIND,10450156,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,,Info sheet,6,,asd,,set 2,,,Neurodiverse,,ACCEPT,Neurodiverse,No,END QUESTIONNAIRE,27493
1,1703526266244,25/12/2023 17:44:26,1703526266160,0,25/12/2023 17:44:26,155541,10,questionnaire-km51,,33860338,BLIND,10015908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1470x956,1324x763,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1703526290447,25/12/2023 17:44:50,1703526290405,0,25/12/2023 17:44:50,155541,10,questionnaire-km51,,33860338,BLIND,10015908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1470x956,1324x763,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,24245
1,1705243400649,14/01/2024 14:43:20,1705243400569,0,14/01/2024 14:43:20,155541,10,questionnaire-km51,,34197540,BLIND,10101878,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1098x732,1050x618,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1705243404135,14/01/2024 14:43:24,1705243404081,0,14/01/2024 14:43:24,155541,10,questionnaire-km51,,34197540,BLIND,10101878,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1098x732,1035x618,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,3512
1,1705956518691,22/01/2024 20:48:38,1705956526506,0,22/01/2024 20:48:46,155541,10,questionnaire-km51,,34391996,BLIND,10164423,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1536x864,1488x708,,,,Info sheet,6,,control,,,,set 2,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1705956566494,22/01/2024 20:49:26,1705956574367,0,22/01/2024 20:49:34,155541,10,questionnaire-km51,,34391996,BLIND,10164423,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1536x864,1473x708,,,,Info sheet,6,,control,,,,set 2,Controls,ACCEPT,,Controls,No,END QUESTIONNAIRE,47861
1,1706109149395,24/01/2024 15:12:29,1706109149250,0,24/01/2024 15:12:29,155541,10,questionnaire-km51,,34450280,BLIND,10182962,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1280x800,1040x638,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
