Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-tloe,branch-b7np,randomiser-oo54,randomiser-5zfx,randomiser-rrwr,randomiser-39gv,branch-m511,quota-so7f,quota-bi7i,branch-k46k,Randomise questionnaire elements?,Question Key,Response
1,1703416905048,24/12/2023 11:21:45,1703416904965,0,24/12/2023 11:21:44,155541,10,questionnaire-mf58,,33855967,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Adult Reading History Questionnaire,1,,control,,,,set 1,Controls,ACCEPT,,Controls,No,BEGIN QUESTIONNAIRE,
2,1703417062036,24/12/2023 11:24:22,1703417061983,0,24/12/2023 11:24:21,155541,10,questionnaire-mf58,,33855967,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Adult Reading History Questionnaire,1,,control,,,,set 1,Controls,ACCEPT,,Controls,No,attitude_school,2
3,1703417062104,24/12/2023 11:24:22,1703417061985,0,24/12/2023 11:24:21,155541,10,questionnaire-mf58,,33855967,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Adult Reading History Questionnaire,1,,control,,,,set 1,Controls,ACCEPT,,Controls,No,attitude_school-quantised,3
4,1703417062104,24/12/2023 11:24:22,1703417061985,0,24/12/2023 11:24:21,155541,10,questionnaire-mf58,,33855967,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Adult Reading History Questionnaire,1,,control,,,,set 1,Controls,ACCEPT,,Controls,No,difficulty_reading,1
5,1703417062104,24/12/2023 11:24:22,1703417061985,0,24/12/2023 11:24:21,155541,10,questionnaire-mf58,,33855967,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Adult Reading History Questionnaire,1,,control,,,,set 1,Controls,ACCEPT,,Controls,No,difficulty_reading-quantised,2
6,1703417062104,24/12/2023 11:24:22,1703417061985,0,24/12/2023 11:24:21,155541,10,questionnaire-mf58,,33855967,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Adult Reading History Questionnaire,1,,control,,,,set 1,Controls,ACCEPT,,Controls,No,help_reading,No help
7,1703417062104,24/12/2023 11:24:22,1703417061985,0,24/12/2023 11:24:21,155541,10,questionnaire-mf58,,33855967,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Adult Reading History Questionnaire,1,,control,,,,set 1,Controls,ACCEPT,,Controls,No,help_reading-quantised,1
8,1703417062104,24/12/2023 11:24:22,1703417061985,0,24/12/2023 11:24:21,155541,10,questionnaire-mf58,,33855967,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Adult Reading History Questionnaire,1,,control,,,,set 1,Controls,ACCEPT,,Controls,No,reverse,0
9,1703417062104,24/12/2023 11:24:22,1703417061985,0,24/12/2023 11:24:21,155541,10,questionnaire-mf58,,33855967,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Adult Reading History Questionnaire,1,,control,,,,set 1,Controls,ACCEPT,,Controls,No,reverse-quantised,1
10,1703417062104,24/12/2023 11:24:22,1703417061986,0,24/12/2023 11:24:21,155541,10,questionnaire-mf58,,33855967,BLIND,10014563,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x900,,,,Adult Reading History Questionnaire,1,,control,,,,set 1,Controls,ACCEPT,,Controls,No,diffiuclty_names,0
