Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-tloe,branch-b7np,randomiser-oo54,randomiser-5zfx,randomiser-rrwr,randomiser-39gv,branch-m511,quota-so7f,quota-bi7i,Randomise questionnaire elements?,Question Key,Response
1,1703726339901,28/12/2023 01:18:59,1703726336622,0,28/12/2023 01:18:56,158033,3,questionnaire-ltks,,33876900,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1600x773,,,,Debrief sheet,6,,control,,,,set 1,Controls,ACCEPT,,No,BEGIN QUESTIONNAIRE,
2,1703726365742,28/12/2023 01:19:25,1703726362380,0,28/12/2023 01:19:22,158033,3,questionnaire-ltks,,33876900,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Debrief sheet,6,,control,,,,set 1,Controls,ACCEPT,,No,END QUESTIONNAIRE,25758
1,1704218582859,02/01/2024 18:03:02,1704218582799,0,02/01/2024 18:03:02,158033,3,questionnaire-ltks,,33920754,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,,Debrief sheet,6,,control,,,,set 2,Controls,ACCEPT,,No,BEGIN QUESTIONNAIRE,
2,1704218587854,02/01/2024 18:03:07,1704218587850,0,02/01/2024 18:03:07,158033,3,questionnaire-ltks,,33920754,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,,Debrief sheet,6,,control,,,,set 2,Controls,ACCEPT,,No,END QUESTIONNAIRE,5051
1,1704242220871,03/01/2024 00:37:00,1704242219908,0,03/01/2024 00:36:59,158033,3,questionnaire-ltks,,33925305,BLIND,10040343,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1360x768,1360x647,,,,Debrief sheet,6,,control,,,,set 2,Controls,ACCEPT,,No,BEGIN QUESTIONNAIRE,
2,1704242265110,03/01/2024 00:37:45,1704242264124,0,03/01/2024 00:37:44,158033,3,questionnaire-ltks,,33925305,BLIND,10040343,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1360x768,1345x647,,,,Debrief sheet,6,,control,,,,set 2,Controls,ACCEPT,,No,END QUESTIONNAIRE,44215
1,1704375249922,04/01/2024 13:34:09,1704375249675,0,04/01/2024 13:34:09,158033,3,questionnaire-ltks,,33944956,BLIND,10047113,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1280x720,1232x598,,,,Debrief sheet,6,,control,,,,set 1,Controls,ACCEPT,,No,BEGIN QUESTIONNAIRE,
2,1704375254397,04/01/2024 13:34:14,1704375254198,0,04/01/2024 13:34:14,158033,3,questionnaire-ltks,,33944956,BLIND,10047113,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1280x720,1217x598,,,,Debrief sheet,6,,control,,,,set 1,Controls,ACCEPT,,No,END QUESTIONNAIRE,4523
1,1704412607243,04/01/2024 23:56:47,1704412607152,0,04/01/2024 23:56:47,158033,3,questionnaire-ltks,,33970173,BLIND,10050955,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x779,,,,Debrief sheet,6,,control,,,,set 1,Controls,ACCEPT,,No,BEGIN QUESTIONNAIRE,
2,1704412618549,04/01/2024 23:56:58,1704412618490,0,04/01/2024 23:56:58,158033,3,questionnaire-ltks,,33970173,BLIND,10050955,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1425x779,,,,Debrief sheet,6,,control,,,,set 1,Controls,ACCEPT,,No,END QUESTIONNAIRE,11338
