Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-tloe,branch-b7np,randomiser-oo54,randomiser-5zfx,randomiser-rrwr,randomiser-39gv,branch-m511,quota-so7f,quota-bi7i,Randomise questionnaire elements?,Question Key,Response
1,1703724831672,28/12/2023 00:53:51,1703724828411,0,28/12/2023 00:53:48,158033,3,questionnaire-4eaj,,33876787,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1600x773,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,No,BEGIN QUESTIONNAIRE,
2,1703724861694,28/12/2023 00:54:21,1703724858476,0,28/12/2023 00:54:18,158033,3,questionnaire-4eaj,,33876787,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,No,Age,21
3,1703724861793,28/12/2023 00:54:21,1703724858478,0,28/12/2023 00:54:18,158033,3,questionnaire-4eaj,,33876787,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,No,Gender,Woman
4,1703724861793,28/12/2023 00:54:21,1703724858479,0,28/12/2023 00:54:18,158033,3,questionnaire-4eaj,,33876787,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,No,Gender-quantised,2
5,1703724861793,28/12/2023 00:54:21,1703724858479,0,28/12/2023 00:54:18,158033,3,questionnaire-4eaj,,33876787,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,No,Gender-text,
6,1703724861793,28/12/2023 00:54:21,1703724858479,0,28/12/2023 00:54:18,158033,3,questionnaire-4eaj,,33876787,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,No,footedness,Right
7,1703724861793,28/12/2023 00:54:21,1703724858480,0,28/12/2023 00:54:18,158033,3,questionnaire-4eaj,,33876787,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,No,footedness-quantised,2
8,1703724861793,28/12/2023 00:54:21,1703724858480,0,28/12/2023 00:54:18,158033,3,questionnaire-4eaj,,33876787,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,No,categorical_hand,Right
9,1703724861793,28/12/2023 00:54:21,1703724858480,0,28/12/2023 00:54:18,158033,3,questionnaire-4eaj,,33876787,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,No,categorical_hand-quantised,2
10,1703724861793,28/12/2023 00:54:21,1703724858480,0,28/12/2023 00:54:18,158033,3,questionnaire-4eaj,,33876787,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,No,age_education,Yes
11,1703724861793,28/12/2023 00:54:21,1703724858481,0,28/12/2023 00:54:18,158033,3,questionnaire-4eaj,,33876787,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,No,age_education-quantised,1
12,1703724861793,28/12/2023 00:54:21,1703724858481,0,28/12/2023 00:54:18,158033,3,questionnaire-4eaj,,33876787,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,No,age_education-text,
13,1703724861793,28/12/2023 00:54:21,1703724858481,0,28/12/2023 00:54:18,158033,3,questionnaire-4eaj,,33876787,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,No,bilingual,Yes. My strongest language is:
14,1703724861793,28/12/2023 00:54:21,1703724858481,0,28/12/2023 00:54:18,158033,3,questionnaire-4eaj,,33876787,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Demographics Questionnaire,4,,control,,,,set 1,Controls,ACCEPT,,No,bilingual-text,Hindi
