Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-tloe,branch-b7np,randomiser-oo54,randomiser-5zfx,randomiser-rrwr,randomiser-39gv,branch-m511,quota-so7f,quota-bi7i,Randomise questionnaire elements?,Question Key,Response
1,1703724778346,28/12/2023 00:52:58,1703724775095,0,28/12/2023 00:52:55,158033,3,questionnaire-fgdt,,33876782,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1600x773,,,,Consent form,6,,control,,,,set 1,Controls,ACCEPT,,No,BEGIN QUESTIONNAIRE,
2,1703724804002,28/12/2023 00:53:24,1703724800280,0,28/12/2023 00:53:20,158033,3,questionnaire-fgdt,,33876782,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Consent form,6,,control,,,,set 1,Controls,ACCEPT,,No,consent1,1
3,1703724804116,28/12/2023 00:53:24,1703724800282,0,28/12/2023 00:53:20,158033,3,questionnaire-fgdt,,33876782,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Consent form,6,,control,,,,set 1,Controls,ACCEPT,,No,consent2,1
4,1703724804116,28/12/2023 00:53:24,1703724800283,0,28/12/2023 00:53:20,158033,3,questionnaire-fgdt,,33876782,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Consent form,6,,control,,,,set 1,Controls,ACCEPT,,No,consent3,1
5,1703724804116,28/12/2023 00:53:24,1703724800283,0,28/12/2023 00:53:20,158033,3,questionnaire-fgdt,,33876782,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Consent form,6,,control,,,,set 1,Controls,ACCEPT,,No,consent5,1
6,1703724804116,28/12/2023 00:53:24,1703724800283,0,28/12/2023 00:53:20,158033,3,questionnaire-fgdt,,33876782,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Consent form,6,,control,,,,set 1,Controls,ACCEPT,,No,consent7,1
7,1703724804116,28/12/2023 00:53:24,1703724800283,0,28/12/2023 00:53:20,158033,3,questionnaire-fgdt,,33876782,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Consent form,6,,control,,,,set 1,Controls,ACCEPT,,No,consent6,1
8,1703724804116,28/12/2023 00:53:24,1703724800284,0,28/12/2023 00:53:20,158033,3,questionnaire-fgdt,,33876782,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Consent form,6,,control,,,,set 1,Controls,ACCEPT,,No,END QUESTIONNAIRE,25189
1,1704216896606,02/01/2024 17:34:56,1704216896562,0,02/01/2024 17:34:56,158033,3,questionnaire-fgdt,,33920060,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,,Consent form,6,,control,,,,set 2,Controls,ACCEPT,,No,BEGIN QUESTIONNAIRE,
2,1704216915612,02/01/2024 17:35:15,1704216915619,0,02/01/2024 17:35:15,158033,3,questionnaire-fgdt,,33920060,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,,Consent form,6,,control,,,,set 2,Controls,ACCEPT,,No,consent1,1
3,1704216915721,02/01/2024 17:35:15,1704216915621,0,02/01/2024 17:35:15,158033,3,questionnaire-fgdt,,33920060,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,,Consent form,6,,control,,,,set 2,Controls,ACCEPT,,No,consent2,1
4,1704216915721,02/01/2024 17:35:15,1704216915621,0,02/01/2024 17:35:15,158033,3,questionnaire-fgdt,,33920060,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,,Consent form,6,,control,,,,set 2,Controls,ACCEPT,,No,consent3,1
5,1704216915721,02/01/2024 17:35:15,1704216915621,0,02/01/2024 17:35:15,158033,3,questionnaire-fgdt,,33920060,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,,Consent form,6,,control,,,,set 2,Controls,ACCEPT,,No,consent5,1
6,1704216915721,02/01/2024 17:35:15,1704216915621,0,02/01/2024 17:35:15,158033,3,questionnaire-fgdt,,33920060,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,,Consent form,6,,control,,,,set 2,Controls,ACCEPT,,No,consent7,1
7,1704216915721,02/01/2024 17:35:15,1704216915621,0,02/01/2024 17:35:15,158033,3,questionnaire-fgdt,,33920060,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,,Consent form,6,,control,,,,set 2,Controls,ACCEPT,,No,consent6,1
8,1704216915721,02/01/2024 17:35:15,1704216915621,0,02/01/2024 17:35:15,158033,3,questionnaire-fgdt,,33920060,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,,Consent form,6,,control,,,,set 2,Controls,ACCEPT,,No,END QUESTIONNAIRE,19059
1,1704239585767,02/01/2024 23:53:05,1704239584825,0,02/01/2024 23:53:04,158033,3,questionnaire-fgdt,,33925104,BLIND,10040343,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1360x768,1360x647,,,,Consent form,6,,control,,,,set 2,Controls,ACCEPT,,No,BEGIN QUESTIONNAIRE,
2,1704239637248,02/01/2024 23:53:57,1704239636343,0,02/01/2024 23:53:56,158033,3,questionnaire-fgdt,,33925104,BLIND,10040343,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1360x768,1345x647,,,,Consent form,6,,control,,,,set 2,Controls,ACCEPT,,No,consent1,1
3,1704239637324,02/01/2024 23:53:57,1704239636344,0,02/01/2024 23:53:56,158033,3,questionnaire-fgdt,,33925104,BLIND,10040343,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1360x768,1345x647,,,,Consent form,6,,control,,,,set 2,Controls,ACCEPT,,No,consent2,1
4,1704239637324,02/01/2024 23:53:57,1704239636344,0,02/01/2024 23:53:56,158033,3,questionnaire-fgdt,,33925104,BLIND,10040343,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1360x768,1345x647,,,,Consent form,6,,control,,,,set 2,Controls,ACCEPT,,No,consent3,1
5,1704239637324,02/01/2024 23:53:57,1704239636344,0,02/01/2024 23:53:56,158033,3,questionnaire-fgdt,,33925104,BLIND,10040343,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1360x768,1345x647,,,,Consent form,6,,control,,,,set 2,Controls,ACCEPT,,No,consent5,1
6,1704239637324,02/01/2024 23:53:57,1704239636344,0,02/01/2024 23:53:56,158033,3,questionnaire-fgdt,,33925104,BLIND,10040343,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1360x768,1345x647,,,,Consent form,6,,control,,,,set 2,Controls,ACCEPT,,No,consent7,1
