Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-tloe,branch-b7np,randomiser-oo54,randomiser-5zfx,randomiser-rrwr,randomiser-39gv,branch-m511,quota-so7f,quota-bi7i,Randomise questionnaire elements?,Question Key,Response
1,1703712919214,27/12/2023 21:35:19,1703712915754,0,27/12/2023 21:35:15,158033,3,questionnaire-km51,,33876002,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1600x773,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,No,BEGIN QUESTIONNAIRE,
2,1703723338168,28/12/2023 00:28:58,1703723334957,0,28/12/2023 00:28:54,158033,3,questionnaire-km51,,33876002,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1600x773,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,No,BEGIN QUESTIONNAIRE,
3,1703724776216,28/12/2023 00:52:56,1703724772838,0,28/12/2023 00:52:52,158033,3,questionnaire-km51,,33876002,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,No,END QUESTIONNAIRE,1437881
1,1704216873875,02/01/2024 17:34:33,1704216873809,0,02/01/2024 17:34:33,158033,3,questionnaire-km51,,33920047,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,,Info sheet,6,,control,,,,set 2,Controls,ACCEPT,,No,BEGIN QUESTIONNAIRE,
2,1704216895685,02/01/2024 17:34:55,1704216895685,0,02/01/2024 17:34:55,158033,3,questionnaire-km51,,33920047,BLIND,10039055,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1536x864,1536x703,,,,Info sheet,6,,control,,,,set 2,Controls,ACCEPT,,No,END QUESTIONNAIRE,21876
1,1704239563506,02/01/2024 23:52:43,1704239562564,0,02/01/2024 23:52:42,158033,3,questionnaire-km51,,33925101,BLIND,10040343,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1360x768,1360x647,,,,Info sheet,6,,control,,,,set 2,Controls,ACCEPT,,No,BEGIN QUESTIONNAIRE,
2,1704239584963,02/01/2024 23:53:04,1704239584056,0,02/01/2024 23:53:04,158033,3,questionnaire-km51,,33925101,BLIND,10040343,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1360x768,1345x647,,,,Info sheet,6,,control,,,,set 2,Controls,ACCEPT,,No,END QUESTIONNAIRE,21492
1,1704374156734,04/01/2024 13:15:56,1704374156494,0,04/01/2024 13:15:56,158033,3,questionnaire-km51,,33944541,BLIND,10047113,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1280x720,1232x598,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,No,BEGIN QUESTIONNAIRE,
2,1704374174659,04/01/2024 13:16:14,1704374174407,0,04/01/2024 13:16:14,158033,3,questionnaire-km51,,33944541,BLIND,10047113,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1280x720,1217x598,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,No,END QUESTIONNAIRE,17913
1,1704408986414,04/01/2024 22:56:26,1704408986312,0,04/01/2024 22:56:26,158033,3,questionnaire-km51,,33969618,BLIND,10050955,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x779,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,No,BEGIN QUESTIONNAIRE,
2,1704409000789,04/01/2024 22:56:40,1704409000718,0,04/01/2024 22:56:40,158033,3,questionnaire-km51,,33969618,BLIND,10050955,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1425x779,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,No,END QUESTIONNAIRE,14406
1,1704489235373,05/01/2024 21:13:55,1704489235730,0,05/01/2024 21:13:55,158033,3,questionnaire-km51,,33982314,BLIND,10054389,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1536x730,,,,Info sheet,6,,control,,,,set 2,Controls,ACCEPT,,No,BEGIN QUESTIONNAIRE,
2,1704489239687,05/01/2024 21:13:59,1704489240081,0,05/01/2024 21:14:00,158033,3,questionnaire-km51,,33982314,BLIND,10054389,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1519x730,,,,Info sheet,6,,control,,,,set 2,Controls,ACCEPT,,No,END QUESTIONNAIRE,4351
1,1704536120023,06/01/2024 10:15:20,1704536118532,0,06/01/2024 10:15:18,158033,3,questionnaire-km51,,33984896,BLIND,10055189,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1536x864,1525x701,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,No,BEGIN QUESTIONNAIRE,
2,1704536122256,06/01/2024 10:15:22,1704536120782,0,06/01/2024 10:15:20,158033,3,questionnaire-km51,,33984896,BLIND,10055189,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1536x864,1508x701,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,No,END QUESTIONNAIRE,2250
1,1704981782297,11/01/2024 14:03:02,1704981783873,0,11/01/2024 14:03:03,158033,3,questionnaire-km51,,34132926,BLIND,10085587,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1504x1003,1504x881,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,No,BEGIN QUESTIONNAIRE,
2,1704981785372,11/01/2024 14:03:05,1704981787000,0,11/01/2024 14:03:07,158033,3,questionnaire-km51,,34132926,BLIND,10085587,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1504x1003,1487x881,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,No,END QUESTIONNAIRE,3127
1,1705923428347,22/01/2024 11:37:08,1705923428263,0,22/01/2024 11:37:08,158033,3,questionnaire-km51,,34375343,BLIND,10158473,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1920x1080,1872x966,,,,Info sheet,6,,adhd,set 2,,,,Neurodiverse,,ACCEPT,No,BEGIN QUESTIONNAIRE,
2,1705923432993,22/01/2024 11:37:12,1705923432958,0,22/01/2024 11:37:12,158033,3,questionnaire-km51,,34375343,BLIND,10158473,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1920x1080,1857x966,,,,Info sheet,6,,adhd,set 2,,,,Neurodiverse,,ACCEPT,No,END QUESTIONNAIRE,4695
1,1705940639679,22/01/2024 16:23:59,1705940627000,0,22/01/2024 16:23:47,158033,3,questionnaire-km51,,34384003,BLIND,10161313,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1366x768,1318x654,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,No,BEGIN QUESTIONNAIRE,
2,1705940725277,22/01/2024 16:25:25,1705940712677,0,22/01/2024 16:25:12,158033,3,questionnaire-km51,,34384003,BLIND,10161313,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1366x768,1303x654,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,No,END QUESTIONNAIRE,85676
1,1705981031864,23/01/2024 03:37:11,1705981036926,0,23/01/2024 03:37:16,158033,3,questionnaire-km51,,34396246,BLIND,10166217,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x585,,,,Info sheet,6,,control,,,,set 2,Controls,ACCEPT,,No,BEGIN QUESTIONNAIRE,
2,1705981044776,23/01/2024 03:37:24,1705981049873,0,23/01/2024 03:37:29,158033,3,questionnaire-km51,,34396246,BLIND,10166217,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1263x585,,,,Info sheet,6,,control,,,,set 2,Controls,ACCEPT,,No,END QUESTIONNAIRE,12948
1,1706106087445,24/01/2024 14:21:27,1706106087488,0,24/01/2024 14:21:27,158033,3,questionnaire-km51,,34448297,BLIND,10182214,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1504x1003,1496x881,,,,Info sheet,6,,adhd,set 1,,,,Neurodiverse,,ACCEPT,No,BEGIN QUESTIONNAIRE,
2,1706106095288,24/01/2024 14:21:35,1706106095376,0,24/01/2024 14:21:35,158033,3,questionnaire-km51,,34448297,BLIND,10182214,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1504x1003,1481x881,,,,Info sheet,6,,adhd,set 1,,,,Neurodiverse,,ACCEPT,No,END QUESTIONNAIRE,7888
1,1706183178310,25/01/2024 11:46:18,1706183178359,0,25/01/2024 11:46:18,158033,3,questionnaire-km51,,34473591,BLIND,10190839,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1366x599,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,No,BEGIN QUESTIONNAIRE,
2,1706183365364,25/01/2024 11:49:25,1706183365179,0,25/01/2024 11:49:25,158033,3,questionnaire-km51,,34473591,BLIND,10190839,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1349x599,,,,Info sheet,6,,control,,,,set 1,Controls,ACCEPT,,No,END QUESTIONNAIRE,186820
1,1706271017042,26/01/2024 12:10:17,1706271018089,0,26/01/2024 12:10:18,158033,3,questionnaire-km51,,34506230,BLIND,10202447,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,2144x1206,1495x1024,,,,Info sheet,6,,adhd,set 2,,,,Neurodiverse,,ACCEPT,No,BEGIN QUESTIONNAIRE,
2,1706271210318,26/01/2024 12:13:30,1706271211342,0,26/01/2024 12:13:31,158033,3,questionnaire-km51,,34506230,BLIND,10202447,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,2144x1206,2144x1026,,,,Info sheet,6,,adhd,set 2,,,,Neurodiverse,,ACCEPT,No,END QUESTIONNAIRE,193253
1,1706531701708,29/01/2024 12:35:01,1706531701600,0,29/01/2024 12:35:01,158033,3,questionnaire-km51,,34572470,BLIND,10221629,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,638x553,,,,Info sheet,6,,multiple,,,set 1,,Neurodiverse,,ACCEPT,No,BEGIN QUESTIONNAIRE,
2,1706534778698,29/01/2024 13:26:18,1706534777818,0,29/01/2024 13:26:17,158033,3,questionnaire-km51,,34572470,BLIND,10221629,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,621x553,,,,Info sheet,6,,multiple,,,set 1,,Neurodiverse,,ACCEPT,No,END QUESTIONNAIRE,3076217
1,1706646886790,30/01/2024 20:34:46,1706646887611,0,30/01/2024 20:34:47,158033,3,questionnaire-km51,,34625648,BLIND,10238510,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x598,,,,Info sheet,6,set 1,dyslexia,,,,,Neurodiverse,,ACCEPT,No,BEGIN QUESTIONNAIRE,
2,1706646891176,30/01/2024 20:34:51,1706646891965,0,30/01/2024 20:34:51,158033,3,questionnaire-km51,,34625648,BLIND,10238510,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1263x598,,,,Info sheet,6,set 1,dyslexia,,,,,Neurodiverse,,ACCEPT,No,END QUESTIONNAIRE,4354
1,1706712038521,31/01/2024 14:40:38,1706712038297,0,31/01/2024 14:40:38,158033,3,questionnaire-km51,,34643804,BLIND,10244258,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x788,,,,Info sheet,6,,control,,,,set 2,Controls,ACCEPT,,No,BEGIN QUESTIONNAIRE,
2,1706712042620,31/01/2024 14:40:42,1706712042439,0,31/01/2024 14:40:42,158033,3,questionnaire-km51,,34643804,BLIND,10244258,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x788,,,,Info sheet,6,,control,,,,set 2,Controls,ACCEPT,,No,END QUESTIONNAIRE,4141
1,1706743933116,31/01/2024 23:32:13,1706743932865,0,31/01/2024 23:32:12,158033,3,questionnaire-km51,,34665292,BLIND,10249816,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x945,,,,Info sheet,6,,asd,,set 2,,,Neurodiverse,,ACCEPT,No,BEGIN QUESTIONNAIRE,
2,1706744011232,31/01/2024 23:33:31,1706744011030,0,31/01/2024 23:33:31,158033,3,questionnaire-km51,,34665292,BLIND,10249816,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1903x945,,,,Info sheet,6,,asd,,set 2,,,Neurodiverse,,ACCEPT,No,END QUESTIONNAIRE,78165
1,1706803519988,01/02/2024 16:05:19,1706803543154,0,01/02/2024 16:05:43,158033,3,questionnaire-km51,,34690018,BLIND,10258628,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1536x695,,,,Info sheet,6,,adhd,set 1,,,,Neurodiverse,,ACCEPT,No,BEGIN QUESTIONNAIRE,
2,1706803642004,01/02/2024 16:07:22,1706803641721,0,01/02/2024 16:07:21,158033,3,questionnaire-km51,,34690018,BLIND,10258628,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1519x695,,,,Info sheet,6,,adhd,set 1,,,,Neurodiverse,,ACCEPT,No,END QUESTIONNAIRE,98567
1,1706810208221,01/02/2024 17:56:48,1706810207716,0,01/02/2024 17:56:47,158033,3,questionnaire-km51,,34696262,BLIND,10260593,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 115.0.0.0,1536x864,1536x740,,,,Info sheet,6,set 2,dyslexia,,,,,Neurodiverse,,ACCEPT,No,BEGIN QUESTIONNAIRE,
2,1706810243221,01/02/2024 17:57:23,1706810242789,0,01/02/2024 17:57:22,158033,3,questionnaire-km51,,34696262,BLIND,10260593,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 115.0.0.0,1536x864,1536x740,,,,Info sheet,6,set 2,dyslexia,,,,,Neurodiverse,,ACCEPT,No,END QUESTIONNAIRE,35073
1,1707142860889,05/02/2024 14:21:00,1707142864739,0,05/02/2024 14:21:04,158033,3,questionnaire-km51,,34811212,BLIND,10289721,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1280x551,,,,Info sheet,6,,adhd,set 2,,,,Neurodiverse,,ACCEPT,No,BEGIN QUESTIONNAIRE,
2,1707142932800,05/02/2024 14:22:12,1707142936703,0,05/02/2024 14:22:16,158033,3,questionnaire-km51,,34811212,BLIND,10289721,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1263x551,,,,Info sheet,6,,adhd,set 2,,,,Neurodiverse,,ACCEPT,No,END QUESTIONNAIRE,71964
1,1707229529331,06/02/2024 14:25:29,1707229529485,0,06/02/2024 14:25:29,158033,3,questionnaire-km51,,34850680,BLIND,10301401,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x919,,,,Info sheet,6,set 1,dyslexia,,,,,Neurodiverse,,ACCEPT,No,BEGIN QUESTIONNAIRE,
2,1707229549008,06/02/2024 14:25:49,1707229549162,0,06/02/2024 14:25:49,158033,3,questionnaire-km51,,34850680,BLIND,10301401,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1903x919,,,,Info sheet,6,set 1,dyslexia,,,,,Neurodiverse,,ACCEPT,No,END QUESTIONNAIRE,19677
