Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-tloe,branch-b7np,randomiser-oo54,randomiser-5zfx,randomiser-rrwr,randomiser-39gv,branch-m511,quota-so7f,quota-bi7i,Randomise questionnaire elements?,Question Key,Response
1,1703724863001,28/12/2023 00:54:23,1703724859723,0,28/12/2023 00:54:19,158033,3,questionnaire-mf58,,33876790,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1600x773,,,,Adult Reading History Questionnaire,1,,control,,,,set 1,Controls,ACCEPT,,No,BEGIN QUESTIONNAIRE,
2,1703725077061,28/12/2023 00:57:57,1703725073708,0,28/12/2023 00:57:53,158033,3,questionnaire-mf58,,33876790,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Adult Reading History Questionnaire,1,,control,,,,set 1,Controls,ACCEPT,,No,attitude_school,1
3,1703725077131,28/12/2023 00:57:57,1703725073711,0,28/12/2023 00:57:53,158033,3,questionnaire-mf58,,33876790,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Adult Reading History Questionnaire,1,,control,,,,set 1,Controls,ACCEPT,,No,attitude_school-quantised,2
4,1703725077131,28/12/2023 00:57:57,1703725073711,0,28/12/2023 00:57:53,158033,3,questionnaire-mf58,,33876790,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Adult Reading History Questionnaire,1,,control,,,,set 1,Controls,ACCEPT,,No,difficulty_reading,1
5,1703725077131,28/12/2023 00:57:57,1703725073711,0,28/12/2023 00:57:53,158033,3,questionnaire-mf58,,33876790,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Adult Reading History Questionnaire,1,,control,,,,set 1,Controls,ACCEPT,,No,difficulty_reading-quantised,2
6,1703725077131,28/12/2023 00:57:57,1703725073711,0,28/12/2023 00:57:53,158033,3,questionnaire-mf58,,33876790,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Adult Reading History Questionnaire,1,,control,,,,set 1,Controls,ACCEPT,,No,help_reading,Friends
7,1703725077131,28/12/2023 00:57:57,1703725073711,0,28/12/2023 00:57:53,158033,3,questionnaire-mf58,,33876790,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Adult Reading History Questionnaire,1,,control,,,,set 1,Controls,ACCEPT,,No,help_reading-quantised,2
8,1703725077131,28/12/2023 00:57:57,1703725073712,0,28/12/2023 00:57:53,158033,3,questionnaire-mf58,,33876790,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Adult Reading History Questionnaire,1,,control,,,,set 1,Controls,ACCEPT,,No,reverse,0
9,1703725077131,28/12/2023 00:57:57,1703725073712,0,28/12/2023 00:57:53,158033,3,questionnaire-mf58,,33876790,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Adult Reading History Questionnaire,1,,control,,,,set 1,Controls,ACCEPT,,No,reverse-quantised,1
10,1703725077131,28/12/2023 00:57:57,1703725073712,0,28/12/2023 00:57:53,158033,3,questionnaire-mf58,,33876790,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Adult Reading History Questionnaire,1,,control,,,,set 1,Controls,ACCEPT,,No,diffiuclty_names,0
11,1703725077131,28/12/2023 00:57:57,1703725073713,0,28/12/2023 00:57:53,158033,3,questionnaire-mf58,,33876790,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Adult Reading History Questionnaire,1,,control,,,,set 1,Controls,ACCEPT,,No,diffiuclty_names-quantised,1
12,1703725077131,28/12/2023 00:57:57,1703725073713,0,28/12/2023 00:57:53,158033,3,questionnaire-mf58,,33876790,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Adult Reading History Questionnaire,1,,control,,,,set 1,Controls,ACCEPT,,No,compare_reading,1
13,1703725077131,28/12/2023 00:57:57,1703725073713,0,28/12/2023 00:57:53,158033,3,questionnaire-mf58,,33876790,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Adult Reading History Questionnaire,1,,control,,,,set 1,Controls,ACCEPT,,No,compare_reading-quantised,2
14,1703725077131,28/12/2023 00:57:57,1703725073714,0,28/12/2023 00:57:53,158033,3,questionnaire-mf58,,33876790,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Adult Reading History Questionnaire,1,,control,,,,set 1,Controls,ACCEPT,,No,struggle_schoolwork,About the same
15,1703725077131,28/12/2023 00:57:57,1703725073714,0,28/12/2023 00:57:53,158033,3,questionnaire-mf58,,33876790,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Adult Reading History Questionnaire,1,,control,,,,set 1,Controls,ACCEPT,,No,struggle_schoolwork-quantised,3
16,1703725077131,28/12/2023 00:57:57,1703725073714,0,28/12/2023 00:57:53,158033,3,questionnaire-mf58,,33876790,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Adult Reading History Questionnaire,1,,control,,,,set 1,Controls,ACCEPT,,No,struggle_EnglishClass,0
17,1703725077131,28/12/2023 00:57:57,1703725073715,0,28/12/2023 00:57:53,158033,3,questionnaire-mf58,,33876790,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Adult Reading History Questionnaire,1,,control,,,,set 1,Controls,ACCEPT,,No,struggle_EnglishClass-quantised,1
18,1703725077131,28/12/2023 00:57:57,1703725073715,0,28/12/2023 00:57:53,158033,3,questionnaire-mf58,,33876790,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Adult Reading History Questionnaire,1,,control,,,,set 1,Controls,ACCEPT,,No,attitude_reading,1
19,1703725077131,28/12/2023 00:57:57,1703725073715,0,28/12/2023 00:57:53,158033,3,questionnaire-mf58,,33876790,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Adult Reading History Questionnaire,1,,control,,,,set 1,Controls,ACCEPT,,No,attitude_reading-quantised,2
20,1703725077131,28/12/2023 00:57:57,1703725073716,0,28/12/2023 00:57:53,158033,3,questionnaire-mf58,,33876790,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1583x773,,,,Adult Reading History Questionnaire,1,,control,,,,set 1,Controls,ACCEPT,,No,reading_pleasure,3
