Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-tloe,branch-b7np,randomiser-oo54,randomiser-5zfx,randomiser-rrwr,randomiser-39gv,branch-m511,quota-so7f,quota-bi7i,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Manipulation: Spreadsheet
1,1703725321155,28/12/2023 01:02:01,1703725321155,0,28/12/2023 01:02:01,158033,3,task-7qhb,,33876817,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1600x773,,,0,Mind wandering task,5,,control,,,,set 1,Controls,ACCEPT,,set1_easy,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1703725325047,28/12/2023 01:02:05,1703725325047,0,28/12/2023 01:02:05,158033,3,task-7qhb,,33876817,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1600x773,,,0,Mind wandering task,5,,control,,,,set 1,Controls,ACCEPT,,set1_easy,1,start,Welcome,vo3k26,1,continue,,3945.5999999046326,3929.8,3945.5999999046326,3945.5999999046326,3929.8,3945.5999999046326,1,3945.5999999046326,0,0,,Click To Continue,Continue Button,2,object-14,start,,,,,,,,,,,,,,,,,,,,,
3,1703725352442,28/12/2023 01:02:32,1703725352442,0,28/12/2023 01:02:32,158033,3,task-7qhb,,33876817,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1600x773,,,0,Mind wandering task,5,,control,,,,set 1,Controls,ACCEPT,,set1_easy,1,instr_passages,Text,zppu2h,1,response,,27393.399999999998,27376.7,27393.399999999998,27393.399999999998,27376.7,27393.399999999998,1,27393.399999999998,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,1,"TASK INSTRUCTIONS - PLEASE READ CAREFULLY!

The goal of this study is to learn how mind wandering affects how you learn information during reading. <br><br> Mind wandering is a term used to describe what occurs when your attention wanders from a task.
 Sometimes when your mind wanders, you begin thinking about personal events or concerns rather than your task. At other times, your mind can wander because you are bored or tired and you don’t really know what you’re thinking about; all you know is that you are no longer thinking about your task.
<br><br>
Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
4,1703725368053,28/12/2023 01:02:48,1703725368053,0,28/12/2023 01:02:48,158033,3,task-7qhb,,33876817,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1600x773,,,0,Mind wandering task,5,,control,,,,set 1,Controls,ACCEPT,,set1_easy,2,instr_passages,Text,zppu2h,1,response,,15647,15636.699999999997,15647,15647,15636.699999999997,15647,1,15647,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,2,"In this task, you will read 4 passages and answer reading comprehension questions for each passage. <br><br> THE PASSAGES WILL BE PRESENTED IN A SENTENCE-BY-SENTENCE FASHION. PLEASE READ THE SENTENCES AT YOUR NORMAL READING PACE. ONCE YOU HAVE FINISHED READING ONE SENTENCE, PRESS THE SPACE BAR TO MOVE ON TO THE NEXT SENTENCE. Once you've read the sentence you MAY NOT GO BACK.<br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
5,1703725382134,28/12/2023 01:03:02,1703725382134,0,28/12/2023 01:03:02,158033,3,task-7qhb,,33876817,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1600x773,,,0,Mind wandering task,5,,control,,,,set 1,Controls,ACCEPT,,set1_easy,3,instr_passages,Text,zppu2h,1,response,,14090.999999809268,14088,14090.999999809268,14090.999999809268,14088,14090.999999809268,1,14090.999999809268,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,3,"THE SET OF READING COMPREHENSION QUESTIONS FOR THAT PARTICULAR PASSAGE YOU’VE FINISHED READING WILL APPEAR AFTER EACH PASSAGE, not all together at the end. Like the sentences, once you've answered the questions you MAY NOT GO BACK TO CHANGE YOUR ANSWER.
<br><br> 
Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
6,1703725394190,28/12/2023 01:03:14,1703725394190,0,28/12/2023 01:03:14,158033,3,task-7qhb,,33876817,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1600x773,,,0,Mind wandering task,5,,control,,,,set 1,Controls,ACCEPT,,set1_easy,4,instr_passages,Text,zppu2h,1,response,,12058.899999904635,12056.300000000003,12058.899999904635,12058.899999904635,12056.300000000003,12058.899999904635,1,12058.899999904635,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,4,"Additionally, while you are reading you will be randomly interrupted and asked “WERE YOU MIND WANDERING WHEN YOU READ THE PREVIOUS SENTENCE?"" You would have to choose either “Yes” or ""No"" by clicking on the appropriate option.<br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
7,1703725409739,28/12/2023 01:03:29,1703725409739,0,28/12/2023 01:03:29,158033,3,task-7qhb,,33876817,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1600x773,,,0,Mind wandering task,5,,control,,,,set 1,Controls,ACCEPT,,set1_easy,5,instr_passages,Text,zppu2h,1,response,,15552.5,15536.899999999994,15552.5,15552.5,15536.899999999994,15552.5,1,15552.5,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,6,"This entire task is self-paced. Though of course you should try NOT TO go over the task's ending time of 20 minutes. So try to do the task all the way through instead of taking too many small breaks in between. The task isn't long, so you should be able to do it without taking any breaks. <br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
8,1703725411708,28/12/2023 01:03:31,1703725411708,0,28/12/2023 01:03:31,158033,3,task-7qhb,,33876817,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1600x773,,,0,Mind wandering task,5,,control,,,,set 1,Controls,ACCEPT,,set1_easy,6,instr_passages,Text,zppu2h,1,response,,1984.6000000000058,1981.7000000000116,1984.6000000000058,1984.6000000000058,1981.7000000000116,1984.6000000000058,1,1984.6000000000058,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,7,Please press the space bar to start reading the first passage.,,,,,,,,,,,,,,,,,,,
9,1703725412613,28/12/2023 01:03:32,1703725412613,0,28/12/2023 01:03:32,158033,3,task-7qhb,,33876817,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1600x773,,,0,Mind wandering task,5,,control,,,,set 1,Controls,ACCEPT,,set1_easy,1,passages,Sentences,3emlxf,1,response,,907.3000000953616,899.2999999999884,907.3000000953616,907.3000000953616,899.2999999999884,907.3000000953616,1,907.3000000953616,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,0,Passage 1,0,Easy,2,1,,,,,,,,,,,,
10,1703725420637,28/12/2023 01:03:40,1703725420637,0,28/12/2023 01:03:40,158033,3,task-7qhb,,33876817,BLIND,10020157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1600x773,,,0,Mind wandering task,5,,control,,,,set 1,Controls,ACCEPT,,set1_easy,2,passages,Sentences,3emlxf,1,response,,8032.400000190741,8026.400000000009,8032.400000190741,8032.400000190741,8026.400000000009,8032.400000190741,1,8032.400000190741,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,1,Marketing is a business activity that directs the flow of goods and services from a producer to a consumer or user.,0,Easy,2,1,,,,,,,,,,,,
