Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Manipulation: Spreadsheet
1,1716654818317,25/05/2024 16:33:38,1716658418317,1,25/05/2024 18:33:38,179131,9,task-353c,,37857916,,11148998,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1536x864,1528x742,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,set2,set2,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1716654819872,25/05/2024 16:33:39,1716658419872,1,25/05/2024 18:33:39,179131,9,task-353c,,37857916,,11148998,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1536x864,1528x742,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,set2,set2,1,start,Welcome,vo3k26,1,continue,,1575.4439999046326,1566.444,1575.4439999046326,1575.4439999046326,1566.444,1575.4439999046326,1,1575.4439999046326,0,0,,Click To Continue,Continue Button,2,object-14,start,,,,,,,,,,,,,,,,,,,,,
3,1716654820969,25/05/2024 16:33:40,1716658420969,1,25/05/2024 18:33:40,179131,9,task-353c,,37857916,,11148998,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1536x864,1528x742,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,set2,set2,1,instr_passages,Text,zppu2h,1,response,space,1105.9999999046327,1100.2000000000003,1105.9999999046327,1105.9999999046327,1100.2000000000003,1105.9999999046327,1,1105.9999999046327,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,1,"TASK INSTRUCTIONS - PLEASE READ CAREFULLY! The goal of this study is to learn how mind wandering and OCD symptomology affects how you learn information during reading. <br><br> Mind wandering is a term used to describe what occurs when your attention wanders from a task. Sometimes when your mind wanders, you begin thinking about personal events or concerns rather than your task. At other times, your mind can wander because you are bored or tired and you don’t really know what you’re thinking about; all you know is that you are no longer thinking about your task.<br><br>Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
4,1716654821349,25/05/2024 16:33:41,1716658421349,1,25/05/2024 18:33:41,179131,9,task-353c,,37857916,,11148998,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1536x864,1528x742,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,set2,set2,2,instr_passages,Text,zppu2h,1,response,space,386.2999999046324,383.39999999999964,386.2999999046324,386.2999999046324,383.39999999999964,386.2999999046324,1,386.2999999046324,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,2,"Importantly, mind wandering can occur either because you INTENTIONALLY decided to think about things that are unrelated to the task, OR because your thoughts UNINTENTIONALLY drifted away to task-unrelated thoughts, despite your best intentions to focus on the task. <br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
5,1716654821729,25/05/2024 16:33:41,1716658421729,1,25/05/2024 18:33:41,179131,9,task-353c,,37857916,,11148998,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1536x864,1528x742,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,set2,set2,3,instr_passages,Text,zppu2h,1,response,space,382.59999995231647,366.90000000000055,382.59999995231647,382.59999995231647,366.90000000000055,382.59999995231647,1,382.59999995231647,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,3,"Being ON TASK means that you were focused on completing the task and were not thinking about anything unrelated to the task. Some examples of ON TASK thoughts include thoughts about your performance on the task, thoughts about the digits, or thoughts about your response. <br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
6,1716654822174,25/05/2024 16:33:42,1716658422174,1,25/05/2024 18:33:42,179131,9,task-353c,,37857916,,11148998,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1536x864,1528x742,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,set2,set2,4,instr_passages,Text,zppu2h,1,response,space,460.7999999761578,450.09999999999945,460.7999999761578,460.7999999761578,450.09999999999945,460.7999999761578,1,460.7999999761578,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,4,"In this task, you will read 8 passages and answer reading comprehension questions for each passage. <br><br> THE PASSAGES WILL BE PRESENTED IN A SENTENCE-BY-SENTENCE FASHION. PLEASE READ THE SENTENCES AT YOUR NORMAL READING PACE. ONCE YOU HAVE FINISHED READING ONE SENTENCE, PRESS THE SPACE BAR TO MOVE ON TO THE NEXT SENTENCE. Once you've read the sentence you MAY NOT GO BACK.<br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
7,1716654822628,25/05/2024 16:33:42,1716658422628,1,25/05/2024 18:33:42,179131,9,task-353c,,37857916,,11148998,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1536x864,1528x742,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,set2,set2,5,instr_passages,Text,zppu2h,1,response,space,464.6999999761583,449.5,464.6999999761583,464.6999999761583,449.5,464.6999999761583,1,464.6999999761583,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,5,"THE SET OF READING COMPREHENSION QUESTIONS FOR THAT PARTICULAR PASSAGE YOU’VE FINISHED READING WILL APPEAR AFTER EACH PASSAGE, not all together at the end. Like the sentences, once you've answered the questions you MAY NOT GO BACK TO CHANGE YOUR ANSWER.
<br><br> 
Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
8,1716654823032,25/05/2024 16:33:43,1716658423032,1,25/05/2024 18:33:43,179131,9,task-353c,,37857916,,11148998,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1536x864,1528x742,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,set2,set2,6,instr_passages,Text,zppu2h,1,response,space,419.3000000000002,416.90000000000055,419.3000000000002,419.3000000000002,416.90000000000055,419.3000000000002,1,419.3000000000002,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,6,"Additionally, while you are reading you will be randomly interrupted and asked “WHICH OF THE FOLLOWING RESPONSES BEST CHARACTERISES YOUR MENTAL STATE JUST PRIOR TO THE PRESENTATION OF THIS SCREEN?"" You would have to choose either “On task”, ""Intentionally mind wandering"" or ""Unintentionally mind wandering"" by clicking on the appropriate option.<br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
9,1716654823452,25/05/2024 16:33:43,1716658423452,1,25/05/2024 18:33:43,179131,9,task-353c,,37857916,,11148998,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1536x864,1528x742,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,set2,set2,7,instr_passages,Text,zppu2h,1,response,space,422.4999999046322,416.59999999999945,422.4999999046322,422.4999999046322,416.59999999999945,422.4999999046322,1,422.4999999046322,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,7,This entire task is self-paced. Though of course you should try NOT TO go over the task's ending time of 30 minutes. So try to do the task all the way through instead of taking too many small breaks in between. The task isn't long so you should be able to do it without taking any breaks. <br><br> Please press the space bar to continue.,,,,,,,,,,,,,,,,,,,
10,1716654823858,25/05/2024 16:33:43,1716658423858,1,25/05/2024 18:33:43,179131,9,task-353c,,37857916,,11148998,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1536x864,1528x742,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,set2,set2,8,instr_passages,Text,zppu2h,1,response,space,411.39999990463275,400.3000000000002,411.39999990463275,411.39999990463275,400.3000000000002,411.39999990463275,1,411.39999990463275,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,8,Please press the space bar to start reading the first passage.,,,,,,,,,,,,,,,,,,,
