Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,Randomise questionnaire elements?,Question Key,Response
1,1720631742646,10/07/2024 17:15:42,1720631741528,1,10/07/2024 18:15:41,179131,14,questionnaire-2hcl,,38879643,BLIND,11404877,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x720,1280x559,Consent,,,Demographics Questionnaire,3,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1720631785191,10/07/2024 17:16:25,1720631784090,1,10/07/2024 18:16:24,179131,14,questionnaire-2hcl,,38879643,BLIND,11404877,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x720,1263x559,Consent,,,Demographics Questionnaire,3,Set2,Consent,Over 18,Proficiency English,No,Age,42
3,1720631785255,10/07/2024 17:16:25,1720631784091,1,10/07/2024 18:16:24,179131,14,questionnaire-2hcl,,38879643,BLIND,11404877,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x720,1263x559,Consent,,,Demographics Questionnaire,3,Set2,Consent,Over 18,Proficiency English,No,Gender,Male
4,1720631785255,10/07/2024 17:16:25,1720631784091,1,10/07/2024 18:16:24,179131,14,questionnaire-2hcl,,38879643,BLIND,11404877,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x720,1263x559,Consent,,,Demographics Questionnaire,3,Set2,Consent,Over 18,Proficiency English,No,Gender-quantised,1
5,1720631785255,10/07/2024 17:16:25,1720631784091,1,10/07/2024 18:16:24,179131,14,questionnaire-2hcl,,38879643,BLIND,11404877,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x720,1263x559,Consent,,,Demographics Questionnaire,3,Set2,Consent,Over 18,Proficiency English,No,Gender-text,
6,1720631785255,10/07/2024 17:16:25,1720631784091,1,10/07/2024 18:16:24,179131,14,questionnaire-2hcl,,38879643,BLIND,11404877,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x720,1263x559,Consent,,,Demographics Questionnaire,3,Set2,Consent,Over 18,Proficiency English,No,multilingual,No
7,1720631785255,10/07/2024 17:16:25,1720631784091,1,10/07/2024 18:16:24,179131,14,questionnaire-2hcl,,38879643,BLIND,11404877,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x720,1263x559,Consent,,,Demographics Questionnaire,3,Set2,Consent,Over 18,Proficiency English,No,multilingual-quantised,1
8,1720631785255,10/07/2024 17:16:25,1720631784091,1,10/07/2024 18:16:24,179131,14,questionnaire-2hcl,,38879643,BLIND,11404877,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x720,1263x559,Consent,,,Demographics Questionnaire,3,Set2,Consent,Over 18,Proficiency English,No,OCD_Diagnosis,No
9,1720631785255,10/07/2024 17:16:25,1720631784091,1,10/07/2024 18:16:24,179131,14,questionnaire-2hcl,,38879643,BLIND,11404877,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x720,1263x559,Consent,,,Demographics Questionnaire,3,Set2,Consent,Over 18,Proficiency English,No,OCD_Diagnosis-quantised,2
10,1720631785255,10/07/2024 17:16:25,1720631784091,1,10/07/2024 18:16:24,179131,14,questionnaire-2hcl,,38879643,BLIND,11404877,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x720,1263x559,Consent,,,Demographics Questionnaire,3,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,42563
