Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,Randomise questionnaire elements?,Question Key,Response
1,1719917894527,02/07/2024 10:58:14,1719917894520,1,02/07/2024 11:58:14,179131,14,questionnaire-32sr,,38673765,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,,Info sheet,5,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1719917935471,02/07/2024 10:58:55,1719917935526,1,02/07/2024 11:58:55,179131,14,questionnaire-32sr,,38673765,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1256x694,Consent,,,Info sheet,5,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,41006
1,1720004268460,03/07/2024 10:57:48,1720004268423,1,03/07/2024 11:57:48,179131,14,questionnaire-32sr,,38722807,BLIND,11364855,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1280x1024,1232x876,Consent,,,Info sheet,5,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1720004287915,03/07/2024 10:58:07,1720004287884,1,03/07/2024 11:58:07,179131,14,questionnaire-32sr,,38722807,BLIND,11364855,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1280x1024,1217x876,Consent,,,Info sheet,5,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,19461
1,1720004849593,03/07/2024 11:07:29,1720004849556,1,03/07/2024 12:07:29,179131,14,questionnaire-32sr,,38723037,BLIND,11364937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x1024,1280x889,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1720004853990,03/07/2024 11:07:33,1720004854026,1,03/07/2024 12:07:34,179131,14,questionnaire-32sr,,38723037,BLIND,11364937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x1024,1263x889,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,4470
1,1720125696600,04/07/2024 20:41:36,1720125695860,1,04/07/2024 21:41:35,179131,14,questionnaire-32sr,,38761365,BLIND,11374756,,complete,,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1280x720,1280x569,Consent,,,Info sheet,5,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1720125818468,04/07/2024 20:43:38,1720125817759,1,04/07/2024 21:43:37,179131,14,questionnaire-32sr,,38761365,BLIND,11374756,,complete,,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1280x720,1280x569,Consent,,,Info sheet,5,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,121899
1,1720182082334,05/07/2024 12:21:22,1720182082255,1,05/07/2024 13:21:22,179131,14,questionnaire-32sr,,38770548,BLIND,11376874,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1720182087590,05/07/2024 12:21:27,1720182087558,1,05/07/2024 13:21:27,179131,14,questionnaire-32sr,,38770548,BLIND,11376874,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1903x919,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,5303
