Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,Randomise questionnaire elements?,Question Key,Response
1,1720006058926,03/07/2024 11:27:38,1720006058893,1,03/07/2024 12:27:38,179131,14,questionnaire-qazy,,38723493,BLIND,11364937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x1024,1280x889,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1720006062597,03/07/2024 11:27:42,1720006062600,1,03/07/2024 12:27:42,179131,14,questionnaire-qazy,,38723493,BLIND,11364937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x1024,1263x889,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,3707
1,1720633393575,10/07/2024 17:43:13,1720633393495,1,10/07/2024 18:43:13,179131,14,questionnaire-qazy,,38880506,BLIND,11404877,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x720,1280x559,Consent,,,Debrief sheet,3,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1720633453686,10/07/2024 17:44:13,1720633453635,1,10/07/2024 18:44:13,179131,14,questionnaire-qazy,,38880506,BLIND,11404877,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x720,1263x559,Consent,,,Debrief sheet,3,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,60140
1,1720714897901,11/07/2024 16:21:37,1720714899639,1,11/07/2024 17:21:39,179131,14,questionnaire-qazy,,38916154,BLIND,11412156,,complete,,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1366x617,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1720714942306,11/07/2024 16:22:22,1720714944068,1,11/07/2024 17:22:24,179131,14,questionnaire-qazy,,38916154,BLIND,11412156,,complete,,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1366x617,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,44432
1,1721164121678,16/07/2024 21:08:41,1721164121577,1,16/07/2024 22:08:41,179131,14,questionnaire-qazy,,39016795,BLIND,11441695,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x763,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721164142589,16/07/2024 21:09:02,1721164142542,1,16/07/2024 22:09:02,179131,14,questionnaire-qazy,,39016795,BLIND,11441695,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x763,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,20965
1,1721324591352,18/07/2024 17:43:11,1721320962692,1,18/07/2024 17:42:42,179131,14,questionnaire-qazy,,39061554,BLIND,11455863,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1494x715,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721324632077,18/07/2024 17:43:52,1721321003495,1,18/07/2024 17:43:23,179131,14,questionnaire-qazy,,39061554,BLIND,11455863,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1477x715,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,40803
