Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,Randomise questionnaire elements?,Question Key,Response
1,1719917936358,02/07/2024 10:58:56,1719917936354,1,02/07/2024 11:58:56,179131,14,questionnaire-ynix,,38673784,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,,Consent form,3,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1719917949620,02/07/2024 10:59:09,1719917949669,1,02/07/2024 11:59:09,179131,14,questionnaire-ynix,,38673784,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1256x694,Consent,,,Consent form,3,Set2,Consent,Over 18,Proficiency English,No,consent1,1
3,1719917949705,02/07/2024 10:59:09,1719917949670,1,02/07/2024 11:59:09,179131,14,questionnaire-ynix,,38673784,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1256x694,Consent,,,Consent form,3,Set2,Consent,Over 18,Proficiency English,No,consent2,1
4,1719917949705,02/07/2024 10:59:09,1719917949671,1,02/07/2024 11:59:09,179131,14,questionnaire-ynix,,38673784,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1256x694,Consent,,,Consent form,3,Set2,Consent,Over 18,Proficiency English,No,consent3,1
5,1719917949705,02/07/2024 10:59:09,1719917949671,1,02/07/2024 11:59:09,179131,14,questionnaire-ynix,,38673784,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1256x694,Consent,,,Consent form,3,Set2,Consent,Over 18,Proficiency English,No,consent4,1
6,1719917949705,02/07/2024 10:59:09,1719917949671,1,02/07/2024 11:59:09,179131,14,questionnaire-ynix,,38673784,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1256x694,Consent,,,Consent form,3,Set2,Consent,Over 18,Proficiency English,No,consent5,1
7,1719917949705,02/07/2024 10:59:09,1719917949671,1,02/07/2024 11:59:09,179131,14,questionnaire-ynix,,38673784,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1256x694,Consent,,,Consent form,3,Set2,Consent,Over 18,Proficiency English,No,consent6,1
8,1719917949705,02/07/2024 10:59:09,1719917949671,1,02/07/2024 11:59:09,179131,14,questionnaire-ynix,,38673784,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1256x694,Consent,,,Consent form,3,Set2,Consent,Over 18,Proficiency English,No,consent7,1
9,1719917949705,02/07/2024 10:59:09,1719917949671,1,02/07/2024 11:59:09,179131,14,questionnaire-ynix,,38673784,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1256x694,Consent,,,Consent form,3,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,13317
1,1720004289151,03/07/2024 10:58:09,1720004289092,1,03/07/2024 11:58:09,179131,14,questionnaire-ynix,,38722822,BLIND,11364855,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1280x1024,1232x876,Consent,,,Consent form,3,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1720004304245,03/07/2024 10:58:24,1720004304251,1,03/07/2024 11:58:24,179131,14,questionnaire-ynix,,38722822,BLIND,11364855,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1280x1024,1217x876,Consent,,,Consent form,3,Set2,Consent,Over 18,Proficiency English,No,consent1,1
3,1720004304292,03/07/2024 10:58:24,1720004304253,1,03/07/2024 11:58:24,179131,14,questionnaire-ynix,,38722822,BLIND,11364855,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1280x1024,1217x876,Consent,,,Consent form,3,Set2,Consent,Over 18,Proficiency English,No,consent2,1
4,1720004304292,03/07/2024 10:58:24,1720004304253,1,03/07/2024 11:58:24,179131,14,questionnaire-ynix,,38722822,BLIND,11364855,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1280x1024,1217x876,Consent,,,Consent form,3,Set2,Consent,Over 18,Proficiency English,No,consent3,1
5,1720004304292,03/07/2024 10:58:24,1720004304253,1,03/07/2024 11:58:24,179131,14,questionnaire-ynix,,38722822,BLIND,11364855,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1280x1024,1217x876,Consent,,,Consent form,3,Set2,Consent,Over 18,Proficiency English,No,consent4,1
6,1720004304292,03/07/2024 10:58:24,1720004304253,1,03/07/2024 11:58:24,179131,14,questionnaire-ynix,,38722822,BLIND,11364855,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1280x1024,1217x876,Consent,,,Consent form,3,Set2,Consent,Over 18,Proficiency English,No,consent5,1
7,1720004304292,03/07/2024 10:58:24,1720004304253,1,03/07/2024 11:58:24,179131,14,questionnaire-ynix,,38722822,BLIND,11364855,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1280x1024,1217x876,Consent,,,Consent form,3,Set2,Consent,Over 18,Proficiency English,No,consent6,1
8,1720004304292,03/07/2024 10:58:24,1720004304253,1,03/07/2024 11:58:24,179131,14,questionnaire-ynix,,38722822,BLIND,11364855,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1280x1024,1217x876,Consent,,,Consent form,3,Set2,Consent,Over 18,Proficiency English,No,consent7,1
9,1720004304292,03/07/2024 10:58:24,1720004304254,1,03/07/2024 11:58:24,179131,14,questionnaire-ynix,,38722822,BLIND,11364855,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1280x1024,1217x876,Consent,,,Consent form,3,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,15162
1,1720004854748,03/07/2024 11:07:34,1720004854723,1,03/07/2024 12:07:34,179131,14,questionnaire-ynix,,38723039,BLIND,11364937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x1024,1280x889,Consent,,,Consent form,3,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1720004869105,03/07/2024 11:07:49,1720004869130,1,03/07/2024 12:07:49,179131,14,questionnaire-ynix,,38723039,BLIND,11364937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x1024,1263x889,Consent,,,Consent form,3,Set1,Consent,Over 18,Proficiency English,No,consent1,1
3,1720004869189,03/07/2024 11:07:49,1720004869131,1,03/07/2024 12:07:49,179131,14,questionnaire-ynix,,38723039,BLIND,11364937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x1024,1263x889,Consent,,,Consent form,3,Set1,Consent,Over 18,Proficiency English,No,consent2,1
4,1720004869189,03/07/2024 11:07:49,1720004869131,1,03/07/2024 12:07:49,179131,14,questionnaire-ynix,,38723039,BLIND,11364937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x1024,1263x889,Consent,,,Consent form,3,Set1,Consent,Over 18,Proficiency English,No,consent3,1
5,1720004869189,03/07/2024 11:07:49,1720004869131,1,03/07/2024 12:07:49,179131,14,questionnaire-ynix,,38723039,BLIND,11364937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x1024,1263x889,Consent,,,Consent form,3,Set1,Consent,Over 18,Proficiency English,No,consent4,1
