Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Manipulation: Spreadsheet
1,1719917962321,02/07/2024 10:59:22,1719921562321,1,02/07/2024 12:59:22,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1719917963771,02/07/2024 10:59:23,1719921563771,1,02/07/2024 12:59:23,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,1,start,Welcome,vo3k26,1,continue,,1470.2999999761582,1466.9,1470.2999999761582,1470.2999999761582,1466.9,1470.2999999761582,1,1470.2999999761582,0,0,,Click To Continue,Continue Button,2,object-14,start,,,,,,,,,,,,,,,,,,,,,
3,1719917977166,02/07/2024 10:59:37,1719921577166,1,02/07/2024 12:59:37,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,1,instr_passages,Text,zppu2h,1,response,space,13398.199999988079,13383.3,13398.199999988079,13398.199999988079,13383.3,13398.199999988079,1,13398.199999988079,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,1,"TASK INSTRUCTIONS - PLEASE READ CAREFULLY! The goal of this study is to learn how mind wandering and OCD symptomology affects how you learn information during reading. <br><br> Mind wandering is a term used to describe what occurs when your attention wanders from a task. Sometimes when your mind wanders, you begin thinking about personal events or concerns rather than your task. At other times, your mind can wander because you are bored or tired and you don’t really know what you’re thinking about; all you know is that you are no longer thinking about your task.<br><br>Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
4,1719917983612,02/07/2024 10:59:43,1719921583612,1,02/07/2024 12:59:43,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,2,instr_passages,Text,zppu2h,1,response,space,6461.200000000001,6449.9000000000015,6461.200000000001,6461.200000000001,6449.9000000000015,6461.200000000001,1,6461.200000000001,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,2,"Importantly, mind wandering can occur either because you INTENTIONALLY decided to think about things that are unrelated to the task, OR because your thoughts UNINTENTIONALLY drifted away to task-unrelated thoughts, despite your best intentions to focus on the task. <br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
5,1719917991092,02/07/2024 10:59:51,1719921591092,1,02/07/2024 12:59:51,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,3,instr_passages,Text,zppu2h,1,response,space,7491.299999999999,7483.399999999998,7491.299999999999,7491.299999999999,7483.399999999998,7491.299999999999,1,7491.299999999999,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,3,"Being ON TASK means that you were focused on completing the task and were not thinking about anything unrelated to the task. Some examples of ON TASK thoughts include thoughts about your performance on the task, thoughts about the digits, or thoughts about your response. <br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
6,1719918004900,02/07/2024 11:00:04,1719921604900,1,02/07/2024 13:00:04,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,4,instr_passages,Text,zppu2h,1,response,space,13816.09999998808,13799.800000000003,13816.09999998808,13816.09999998808,13799.800000000003,13816.09999998808,1,13816.09999998808,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,4,"In this task, you will read 8 passages and answer reading comprehension questions for each passage. <br><br> THE PASSAGES WILL BE PRESENTED IN A SENTENCE-BY-SENTENCE FASHION. PLEASE READ THE SENTENCES AT YOUR NORMAL READING PACE. ONCE YOU HAVE FINISHED READING ONE SENTENCE, PRESS THE SPACE BAR TO MOVE ON TO THE NEXT SENTENCE. Once you've read the sentence you MAY NOT GO BACK.<br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
7,1719918018788,02/07/2024 11:00:18,1719921618788,1,02/07/2024 13:00:18,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,5,instr_passages,Text,zppu2h,1,response,space,13904.199999964236,13900.099999999999,13904.199999964236,13904.199999964236,13900.099999999999,13904.199999964236,1,13904.199999964236,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,5,"THE SET OF READING COMPREHENSION QUESTIONS FOR THAT PARTICULAR PASSAGE YOU’VE FINISHED READING WILL APPEAR AFTER EACH PASSAGE, not all together at the end. Like the sentences, once you've answered the questions you MAY NOT GO BACK TO CHANGE YOUR ANSWER.
<br><br> 
Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
8,1719918029916,02/07/2024 11:00:29,1719921629916,1,02/07/2024 13:00:29,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,6,instr_passages,Text,zppu2h,1,response,space,11132.399999976158,11116.699999999997,11132.399999976158,11132.399999976158,11116.699999999997,11132.399999976158,1,11132.399999976158,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,6,"Additionally, while you are reading you will be randomly interrupted and asked “WHICH OF THE FOLLOWING RESPONSES BEST CHARACTERISES YOUR MENTAL STATE JUST PRIOR TO THE PRESENTATION OF THIS SCREEN?"" You would have to choose either “On task”, ""Intentionally mind wandering"" or ""Unintentionally mind wandering"" by clicking on the appropriate option.<br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
9,1719918037188,02/07/2024 11:00:37,1719921637188,1,02/07/2024 13:00:37,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,7,instr_passages,Text,zppu2h,1,response,space,7287.39999996424,7283.199999999997,7287.39999996424,7287.39999996424,7283.199999999997,7287.39999996424,1,7287.39999996424,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,7,This entire task is self-paced. Though of course you should try NOT TO go over the task's ending time of 30 minutes. So try to do the task all the way through instead of taking too many small breaks in between. The task isn't long so you should be able to do it without taking any breaks. <br><br> Please press the space bar to continue.,,,,,,,,,,,,,,,,,,,
10,1719918038420,02/07/2024 11:00:38,1719921638420,1,02/07/2024 13:00:38,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,8,instr_passages,Text,zppu2h,1,response,space,1235.799999988085,1233.6000000000058,1235.799999988085,1235.799999988085,1233.6000000000058,1235.799999988085,1,1235.799999988085,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,8,Please press the space bar to start reading the first passage.,,,,,,,,,,,,,,,,,,,
