Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Manipulation: Spreadsheet
1,1720004882467,03/07/2024 11:08:02,1720008482467,1,03/07/2024 13:08:02,179131,14,task-n8kh,,38723047,BLIND,11364937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x1024,1280x889,Consent,,0,Mind wandering task,11,Set1,Consent,Over 18,Proficiency English,set1,set1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1720004887221,03/07/2024 11:08:07,1720008487221,1,03/07/2024 13:08:07,179131,14,task-n8kh,,38723047,BLIND,11364937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x1024,1280x889,Consent,,0,Mind wandering task,11,Set1,Consent,Over 18,Proficiency English,set1,set1,1,start,Welcome,vo3k26,1,continue,,4769.61800000298,4764.718,4769.61800000298,4769.61800000298,4764.718,4769.61800000298,1,4769.61800000298,0,0,,Click To Continue,Continue Button,2,object-14,start,,,,,,,,,,,,,,,,,,,,,
3,1720004904159,03/07/2024 11:08:24,1720008504159,1,03/07/2024 13:08:24,179131,14,task-n8kh,,38723047,BLIND,11364937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x1024,1280x889,Consent,,0,Mind wandering task,11,Set1,Consent,Over 18,Proficiency English,set1,set1,1,instr_passages,Text,zppu2h,1,response,space,16944.3,16927.8,16944.3,16944.3,16927.8,16944.3,1,16944.3,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,1,"TASK INSTRUCTIONS - PLEASE READ CAREFULLY! The goal of this study is to learn how mind wandering and OCD symptomology affects how you learn information during reading. <br><br> Mind wandering is a term used to describe what occurs when your attention wanders from a task. Sometimes when your mind wanders, you begin thinking about personal events or concerns rather than your task. At other times, your mind can wander because you are bored or tired and you don’t really know what you’re thinking about; all you know is that you are no longer thinking about your task.<br><br>Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
4,1720004912592,03/07/2024 11:08:32,1720008512592,1,03/07/2024 13:08:32,179131,14,task-n8kh,,38723047,BLIND,11364937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x1024,1280x889,Consent,,0,Mind wandering task,11,Set1,Consent,Over 18,Proficiency English,set1,set1,2,instr_passages,Text,zppu2h,1,response,space,8450.199999997021,8447.100000000002,8450.199999997021,8450.199999997021,8447.100000000002,8450.199999997021,1,8450.199999997021,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,2,"Importantly, mind wandering can occur either because you INTENTIONALLY decided to think about things that are unrelated to the task, OR because your thoughts UNINTENTIONALLY drifted away to task-unrelated thoughts, despite your best intentions to focus on the task. <br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
5,1720004921103,03/07/2024 11:08:41,1720008521103,1,03/07/2024 13:08:41,179131,14,task-n8kh,,38723047,BLIND,11364937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x1024,1280x889,Consent,,0,Mind wandering task,11,Set1,Consent,Over 18,Proficiency English,set1,set1,3,instr_passages,Text,zppu2h,1,response,space,8513.600000000002,8497.2,8513.600000000002,8513.600000000002,8497.2,8513.600000000002,1,8513.600000000002,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,3,"Being ON TASK means that you were focused on completing the task and were not thinking about anything unrelated to the task. Some examples of ON TASK thoughts include thoughts about your performance on the task, or thoughts about your response. <br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
6,1720004932880,03/07/2024 11:08:52,1720008532880,1,03/07/2024 13:08:52,179131,14,task-n8kh,,38723047,BLIND,11364937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x1024,1280x889,Consent,,0,Mind wandering task,11,Set1,Consent,Over 18,Proficiency English,set1,set1,4,instr_passages,Text,zppu2h,1,response,space,11793.800000002979,11779.599999999999,11793.800000002979,11793.800000002979,11779.599999999999,11793.800000002979,1,11793.800000002979,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,4,"In this task, you will read 8 passages and answer reading comprehension questions for each passage. <br><br> THE PASSAGES WILL BE PRESENTED IN A SENTENCE-BY-SENTENCE FASHION. PLEASE READ THE SENTENCES AT YOUR NORMAL READING PACE. ONCE YOU HAVE FINISHED READING ONE SENTENCE, PRESS THE SPACE BAR TO MOVE ON TO THE NEXT SENTENCE. Once you've read the sentence you MAY NOT GO BACK.<br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
7,1720004944736,03/07/2024 11:09:04,1720008544736,1,03/07/2024 13:09:04,179131,14,task-n8kh,,38723047,BLIND,11364937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x1024,1280x889,Consent,,0,Mind wandering task,11,Set1,Consent,Over 18,Proficiency English,set1,set1,5,instr_passages,Text,zppu2h,1,response,space,11870.20000000298,11862.900000000001,11870.20000000298,11870.20000000298,11862.900000000001,11870.20000000298,1,11870.20000000298,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,5,"THE SET OF READING COMPREHENSION QUESTIONS FOR THAT PARTICULAR PASSAGE YOU’VE FINISHED READING WILL APPEAR AFTER EACH PASSAGE, not all together at the end. Like the sentences, once you've answered the questions you MAY NOT GO BACK TO CHANGE YOUR ANSWER.
<br><br> 
Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
8,1720004953175,03/07/2024 11:09:13,1720008553175,1,03/07/2024 13:09:13,179131,14,task-n8kh,,38723047,BLIND,11364937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x1024,1280x889,Consent,,0,Mind wandering task,11,Set1,Consent,Over 18,Proficiency English,set1,set1,6,instr_passages,Text,zppu2h,1,response,space,8447.000000005959,8430.599999999999,8447.000000005959,8447.000000005959,8430.599999999999,8447.000000005959,1,8447.000000005959,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,6,"Additionally, while you are reading you will be randomly interrupted and asked “WHICH OF THE FOLLOWING RESPONSES BEST CHARACTERISES YOUR MENTAL STATE JUST PRIOR TO THE PRESENTATION OF THIS SCREEN?"" You would have to choose either “On task”, ""Intentionally mind wandering"" or ""Unintentionally mind wandering"" by clicking on the appropriate option.<br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
9,1720004962615,03/07/2024 11:09:22,1720008562615,1,03/07/2024 13:09:22,179131,14,task-n8kh,,38723047,BLIND,11364937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x1024,1280x889,Consent,,0,Mind wandering task,11,Set1,Consent,Over 18,Proficiency English,set1,set1,7,instr_passages,Text,zppu2h,1,response,space,9456.5,9447,9456.5,9456.5,9447,9456.5,1,9456.5,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,7,This entire task is self-paced. Though of course you should try NOT TO go over the task's ending time of 30 minutes. So try to do the task all the way through instead of taking too many small breaks in between. The task isn't long so you should be able to do it without taking any breaks. <br><br> Please press the space bar to continue.,,,,,,,,,,,,,,,,,,,
10,1720004964102,03/07/2024 11:09:24,1720008564102,1,03/07/2024 13:09:24,179131,14,task-n8kh,,38723047,BLIND,11364937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x1024,1280x889,Consent,,0,Mind wandering task,11,Set1,Consent,Over 18,Proficiency English,set1,set1,8,instr_passages,Text,zppu2h,1,response,space,1496.7000000029802,1482.699999999997,1496.7000000029802,1496.7000000029802,1482.699999999997,1496.7000000029802,1,1496.7000000029802,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,8,Please press the space bar to start reading the first passage.,,,,,,,,,,,,,,,,,,,
