Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,checkpoint-35ov,Randomise questionnaire elements?,Question Key,Response
1,1721984929669,26/07/2024 09:08:49,1721984929248,1,26/07/2024 10:08:49,180633,7,questionnaire-2hcl,,39212580,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,,Demographics Questionnaire,3,Set1,Consent,Over 18,Proficiency English,Prize Draw,No,BEGIN QUESTIONNAIRE,
2,1721984953285,26/07/2024 09:09:13,1721984952906,1,26/07/2024 10:09:12,180633,7,questionnaire-2hcl,,39212580,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,,Demographics Questionnaire,3,Set1,Consent,Over 18,Proficiency English,Prize Draw,No,Age,33
3,1721984953365,26/07/2024 09:09:13,1721984952907,1,26/07/2024 10:09:12,180633,7,questionnaire-2hcl,,39212580,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,,Demographics Questionnaire,3,Set1,Consent,Over 18,Proficiency English,Prize Draw,No,Gender,Male
4,1721984953365,26/07/2024 09:09:13,1721984952907,1,26/07/2024 10:09:12,180633,7,questionnaire-2hcl,,39212580,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,,Demographics Questionnaire,3,Set1,Consent,Over 18,Proficiency English,Prize Draw,No,Gender-quantised,1
5,1721984953365,26/07/2024 09:09:13,1721984952907,1,26/07/2024 10:09:12,180633,7,questionnaire-2hcl,,39212580,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,,Demographics Questionnaire,3,Set1,Consent,Over 18,Proficiency English,Prize Draw,No,Gender-text,
6,1721984953365,26/07/2024 09:09:13,1721984952908,1,26/07/2024 10:09:12,180633,7,questionnaire-2hcl,,39212580,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,,Demographics Questionnaire,3,Set1,Consent,Over 18,Proficiency English,Prize Draw,No,multilingual,Yes. My strongest language is English
7,1721984953365,26/07/2024 09:09:13,1721984952908,1,26/07/2024 10:09:12,180633,7,questionnaire-2hcl,,39212580,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,,Demographics Questionnaire,3,Set1,Consent,Over 18,Proficiency English,Prize Draw,No,multilingual-quantised,2
8,1721984953365,26/07/2024 09:09:13,1721984952908,1,26/07/2024 10:09:12,180633,7,questionnaire-2hcl,,39212580,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,,Demographics Questionnaire,3,Set1,Consent,Over 18,Proficiency English,Prize Draw,No,OCD_Diagnosis,No
9,1721984953365,26/07/2024 09:09:13,1721984952908,1,26/07/2024 10:09:12,180633,7,questionnaire-2hcl,,39212580,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,,Demographics Questionnaire,3,Set1,Consent,Over 18,Proficiency English,Prize Draw,No,OCD_Diagnosis-quantised,2
10,1721984953365,26/07/2024 09:09:13,1721984952908,1,26/07/2024 10:09:12,180633,7,questionnaire-2hcl,,39212580,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,,Demographics Questionnaire,3,Set1,Consent,Over 18,Proficiency English,Prize Draw,No,END QUESTIONNAIRE,23660
