Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,checkpoint-35ov,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Manipulation: Spreadsheet
1,1722212763892,29/07/2024 00:26:03,1722216363892,1,29/07/2024 02:26:03,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1722212765278,29/07/2024 00:26:05,1722216365278,1,29/07/2024 02:26:05,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,1,start,Welcome,vo3k26,1,continue,,1406.4999999523163,1390.8,1406.4999999523163,1406.4999999523163,1390.8,1406.4999999523163,1,1406.4999999523163,0,0,,Click To Continue,Continue Button,2,object-14,start,,,,,,,,,,,,,,,,,,,,,
3,1722212768337,29/07/2024 00:26:08,1722216368337,1,29/07/2024 02:26:08,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,1,instr_passages,Text,zppu2h,1,response,space,3074.6999999523164,3066.5000000000005,3074.6999999523164,3074.6999999523164,3066.5000000000005,3074.6999999523164,1,3074.6999999523164,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,1,"TASK INSTRUCTIONS - PLEASE READ CAREFULLY! The goal of this study is to learn how mind wandering and OCD symptomology affects how you learn information during reading. <br><br> Mind wandering is a term used to describe what occurs when your attention wanders from a task. Sometimes when your mind wanders, you begin thinking about personal events or concerns rather than your task. At other times, your mind can wander because you are bored or tired and you don’t really know what you’re thinking about; all you know is that you are no longer thinking about your task.<br><br>Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
4,1722212769256,29/07/2024 00:26:09,1722216369256,1,29/07/2024 02:26:09,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,2,instr_passages,Text,zppu2h,1,response,space,927.6999999523159,916.5999999999995,927.6999999523159,927.6999999523159,916.5999999999995,927.6999999523159,1,927.6999999523159,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,2,"Importantly, mind wandering can occur either because you INTENTIONALLY decided to think about things that are unrelated to the task, OR because your thoughts UNINTENTIONALLY drifted away to task-unrelated thoughts, despite your best intentions to focus on the task. <br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
5,1722212770013,29/07/2024 00:26:10,1722216370013,1,29/07/2024 02:26:10,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,3,instr_passages,Text,zppu2h,1,response,space,768.0999999523165,766.5,768.0999999523165,768.0999999523165,766.5,768.0999999523165,1,768.0999999523165,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,3,"Being ON TASK means that you were focused on completing the task and were not thinking about anything unrelated to the task. Some examples of ON TASK thoughts include thoughts about your performance on the task, thoughts about the digits, or thoughts about your response. <br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
6,1722212771365,29/07/2024 00:26:11,1722216371365,1,29/07/2024 02:26:11,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,4,instr_passages,Text,zppu2h,1,response,space,1353.7000000953676,1350.000000000001,1353.7000000953676,1353.7000000953676,1350.000000000001,1353.7000000953676,1,1353.7000000953676,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,4,"In this task, you will read 8 passages and answer reading comprehension questions for each passage. <br><br> THE PASSAGES WILL BE PRESENTED IN A SENTENCE-BY-SENTENCE FASHION. PLEASE READ THE SENTENCES AT YOUR NORMAL READING PACE. ONCE YOU HAVE FINISHED READING ONE SENTENCE, PRESS THE SPACE BAR TO MOVE ON TO THE NEXT SENTENCE. Once you've read the sentence you MAY NOT GO BACK.<br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
7,1722212772342,29/07/2024 00:26:12,1722216372342,1,29/07/2024 02:26:12,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,5,instr_passages,Text,zppu2h,1,response,space,979.9000001430504,966.7999999999993,979.9000001430504,979.9000001430504,966.7999999999993,979.9000001430504,1,979.9000001430504,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,5,"THE SET OF READING COMPREHENSION QUESTIONS FOR THAT PARTICULAR PASSAGE YOU’VE FINISHED READING WILL APPEAR AFTER EACH PASSAGE, not all together at the end. Like the sentences, once you've answered the questions you MAY NOT GO BACK TO CHANGE YOUR ANSWER.
<br><br> 
Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
8,1722212772948,29/07/2024 00:26:12,1722216372948,1,29/07/2024 02:26:12,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,6,instr_passages,Text,zppu2h,1,response,space,620,616.5,620,620,616.5,620,1,620,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,6,"Additionally, while you are reading you will be randomly interrupted and asked “WHICH OF THE FOLLOWING RESPONSES BEST CHARACTERISES YOUR MENTAL STATE JUST PRIOR TO THE PRESENTATION OF THIS SCREEN?"" You would have to choose either “On task”, ""Intentionally mind wandering"" or ""Unintentionally mind wandering"" by clicking on the appropriate option.<br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
9,1722212773425,29/07/2024 00:26:13,1722216373425,1,29/07/2024 02:26:13,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,7,instr_passages,Text,zppu2h,1,response,space,480.10000014305115,466.7000000000007,480.10000014305115,480.10000014305115,466.7000000000007,480.10000014305115,1,480.10000014305115,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,7,This entire task is self-paced. Though of course you should try NOT TO go over the task's ending time of 30 minutes. So try to do the task all the way through instead of taking too many small breaks in between. The task isn't long so you should be able to do it without taking any breaks. <br><br> Please press the space bar to continue.,,,,,,,,,,,,,,,,,,,
10,1722212774222,29/07/2024 00:26:14,1722216374222,1,29/07/2024 02:26:14,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,8,instr_passages,Text,zppu2h,1,response,space,809.9000001430504,800,809.9000001430504,809.9000001430504,800,809.9000001430504,1,809.9000001430504,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,8,Please press the space bar to start reading the first passage.,,,,,,,,,,,,,,,,,,,
