Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,checkpoint-35ov,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Manipulation: Spreadsheet
1,1721984954756,26/07/2024 09:09:14,1721988554756,1,26/07/2024 11:09:14,180633,7,task-n8kh,,39212583,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,0,Mind wandering task,11,Set1,Consent,Over 18,Proficiency English,Prize Draw,set1,set1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1721984958335,26/07/2024 09:09:18,1721988558335,1,26/07/2024 11:09:18,180633,7,task-n8kh,,39212583,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,0,Mind wandering task,11,Set1,Consent,Over 18,Proficiency English,Prize Draw,set1,set1,1,start,Welcome,vo3k26,1,continue,,3602.7780000000002,3596.678,3602.7780000000002,3602.7780000000002,3596.678,3602.7780000000002,1,3602.7780000000002,0,0,,Click To Continue,Continue Button,2,object-14,start,,,,,,,,,,,,,,,,,,,,,
3,1721985005334,26/07/2024 09:10:05,1721988605334,1,26/07/2024 11:10:05,180633,7,task-n8kh,,39212583,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,0,Mind wandering task,11,Set1,Consent,Over 18,Proficiency English,Prize Draw,set1,set1,1,instr_passages,Text,zppu2h,1,response,space,47005.30000004768,46994.799999999996,47005.30000004768,47005.30000004768,46994.799999999996,47005.30000004768,1,47005.30000004768,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,1,"TASK INSTRUCTIONS - PLEASE READ CAREFULLY! The goal of this study is to learn how mind wandering and OCD symptomology affects how you learn information during reading. <br><br> Mind wandering is a term used to describe what occurs when your attention wanders from a task. Sometimes when your mind wanders, you begin thinking about personal events or concerns rather than your task. At other times, your mind can wander because you are bored or tired and you don’t really know what you’re thinking about; all you know is that you are no longer thinking about your task.<br><br>Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
4,1721985020908,26/07/2024 09:10:20,1721988620908,1,26/07/2024 11:10:20,180633,7,task-n8kh,,39212583,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,0,Mind wandering task,11,Set1,Consent,Over 18,Proficiency English,Prize Draw,set1,set1,2,instr_passages,Text,zppu2h,1,response,space,15584.000000047687,15570.600000000006,15584.000000047687,15584.000000047687,15570.600000000006,15584.000000047687,1,15584.000000047687,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,2,"Importantly, mind wandering can occur either because you INTENTIONALLY decided to think about things that are unrelated to the task, OR because your thoughts UNINTENTIONALLY drifted away to task-unrelated thoughts, despite your best intentions to focus on the task. <br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
5,1721985036073,26/07/2024 09:10:36,1721988636073,1,26/07/2024 11:10:36,180633,7,task-n8kh,,39212583,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,0,Mind wandering task,11,Set1,Consent,Over 18,Proficiency English,Prize Draw,set1,set1,3,instr_passages,Text,zppu2h,1,response,space,15179.199999999997,15170.800000000003,15179.199999999997,15179.199999999997,15170.800000000003,15179.199999999997,1,15179.199999999997,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,3,"Being ON TASK means that you were focused on completing the task and were not thinking about anything unrelated to the task. Some examples of ON TASK thoughts include thoughts about your performance on the task, or thoughts about your response. <br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
6,1721985070300,26/07/2024 09:11:10,1721988670300,1,26/07/2024 11:11:10,180633,7,task-n8kh,,39212583,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,0,Mind wandering task,11,Set1,Consent,Over 18,Proficiency English,Prize Draw,set1,set1,4,instr_passages,Text,zppu2h,1,response,space,34235.20000019073,34221.899999999994,34235.20000019073,34235.20000019073,34221.899999999994,34235.20000019073,1,34235.20000019073,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,4,"In this task, you will read 8 passages and answer reading comprehension questions for each passage. <br><br> THE PASSAGES WILL BE PRESENTED IN A SENTENCE-BY-SENTENCE FASHION. PLEASE READ THE SENTENCES AT YOUR NORMAL READING PACE. ONCE YOU HAVE FINISHED READING ONE SENTENCE, PRESS THE SPACE BAR TO MOVE ON TO THE NEXT SENTENCE. Once you've read the sentence you MAY NOT GO BACK.<br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
7,1721985095596,26/07/2024 09:11:35,1721988695596,1,26/07/2024 11:11:35,180633,7,task-n8kh,,39212583,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,0,Mind wandering task,11,Set1,Consent,Over 18,Proficiency English,Prize Draw,set1,set1,5,instr_passages,Text,zppu2h,1,response,space,25309,25295.79999999999,25309,25309,25295.79999999999,25309,1,25309,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,5,"THE SET OF READING COMPREHENSION QUESTIONS FOR THAT PARTICULAR PASSAGE YOU’VE FINISHED READING WILL APPEAR AFTER EACH PASSAGE, not all together at the end. Like the sentences, once you've answered the questions you MAY NOT GO BACK TO CHANGE YOUR ANSWER.
<br><br> 
Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
8,1721985117383,26/07/2024 09:11:57,1721988717383,1,26/07/2024 11:11:57,180633,7,task-n8kh,,39212583,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,0,Mind wandering task,11,Set1,Consent,Over 18,Proficiency English,Prize Draw,set1,set1,6,instr_passages,Text,zppu2h,1,response,space,21800.70000000001,21798.900000000023,21800.70000000001,21800.70000000001,21798.900000000023,21800.70000000001,1,21800.70000000001,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,6,"Additionally, while you are reading you will be randomly interrupted and asked “WHICH OF THE FOLLOWING RESPONSES BEST CHARACTERISES YOUR MENTAL STATE JUST PRIOR TO THE PRESENTATION OF THIS SCREEN?"" You would have to choose either “On task”, ""Intentionally mind wandering"" or ""Unintentionally mind wandering"" by clicking on the appropriate option.<br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,
9,1721985151866,26/07/2024 09:12:31,1721988751866,1,26/07/2024 11:12:31,180633,7,task-n8kh,,39212583,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,0,Mind wandering task,11,Set1,Consent,Over 18,Proficiency English,Prize Draw,set1,set1,7,instr_passages,Text,zppu2h,1,response,space,34485.40000014304,34471.59999999998,34485.40000014304,34485.40000014304,34471.59999999998,34485.40000014304,1,34485.40000014304,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,7,This entire task is self-paced. Though of course you should try NOT TO go over the task's ending time of 30 minutes. So try to do the task all the way through instead of taking too many small breaks in between. The task isn't long so you should be able to do it without taking any breaks. <br><br> Please press the space bar to continue.,,,,,,,,,,,,,,,,,,,
10,1721985154919,26/07/2024 09:12:34,1721988754919,1,26/07/2024 11:12:34,180633,7,task-n8kh,,39212583,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,0,Mind wandering task,11,Set1,Consent,Over 18,Proficiency English,Prize Draw,set1,set1,8,instr_passages,Text,zppu2h,1,response,space,3066.7000000000116,3064.100000000006,3066.7000000000116,3066.7000000000116,3064.100000000006,3066.7000000000116,1,3066.7000000000116,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,8,Please press the space bar to start reading the first passage.,,,,,,,,,,,,,,,,,,,
