Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-u6qh,checkpoint-wwj4,checkpoint-75d5,branch-2gum,branch-dg21,branch-5lq7,Randomise questionnaire elements?,Question Key,Response
1,1732998142450,30/11/2024 20:22:22,1732998142221,0,30/11/2024 20:22:22,195194,10,questionnaire-wl1m,,41715002,BLIND,12177482,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,Study,,,Debrief sheet: Adults (AS),2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,BEGIN QUESTIONNAIRE,
2,1732998204209,30/11/2024 20:23:24,1732998204031,0,30/11/2024 20:23:24,195194,10,questionnaire-wl1m,,41715002,BLIND,12177482,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,Study,,,Debrief sheet: Adults (AS),2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,END QUESTIONNAIRE,61810
1,1735770635696,01/01/2025 22:30:35,1735770661489,0,01/01/2025 22:31:01,195194,10,questionnaire-wl1m,,42244627,BLIND,12333744,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x854,1280x719,Study,,,Debrief sheet: Adults (AS),2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,BEGIN QUESTIONNAIRE,
2,1735770657508,01/01/2025 22:30:57,1735770683232,0,01/01/2025 22:31:23,195194,10,questionnaire-wl1m,,42244627,BLIND,12333744,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x854,1263x719,Study,,,Debrief sheet: Adults (AS),2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,END QUESTIONNAIRE,21743
1,1736894922946,14/01/2025 22:48:42,1736894922851,0,14/01/2025 22:48:42,195194,10,questionnaire-wl1m,,42481967,BLIND,12395154,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,2560x1440,2560x1337,Study,,,Debrief sheet: Adults (AS),2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,BEGIN QUESTIONNAIRE,
2,1736894925009,14/01/2025 22:48:45,1736894924948,0,14/01/2025 22:48:44,195194,10,questionnaire-wl1m,,42481967,BLIND,12395154,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,2560x1440,2545x1337,Study,,,Debrief sheet: Adults (AS),2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,END QUESTIONNAIRE,2097
1,1736898565792,14/01/2025 23:49:25,1736898567433,0,14/01/2025 23:49:27,195194,10,questionnaire-wl1m,,42482553,BLIND,12395310,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 114.0.0.0,1920x1080,1879x902,Study,,,Debrief sheet: Adults (AS),2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,BEGIN QUESTIONNAIRE,
2,1736898571457,14/01/2025 23:49:31,1736898573027,0,14/01/2025 23:49:33,195194,10,questionnaire-wl1m,,42482553,BLIND,12395310,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 114.0.0.0,1920x1080,1864x902,Study,,,Debrief sheet: Adults (AS),2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,END QUESTIONNAIRE,5594
1,1736901398504,15/01/2025 00:36:38,1736901398424,0,15/01/2025 00:36:38,195194,10,questionnaire-wl1m,,42482842,BLIND,12394974,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1512x823,Study,,,Debrief sheet: Adults (AS),2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,BEGIN QUESTIONNAIRE,
2,1736901419124,15/01/2025 00:36:59,1736901419005,0,15/01/2025 00:36:59,195194,10,questionnaire-wl1m,,42482842,BLIND,12394974,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1512x823,Study,,,Debrief sheet: Adults (AS),2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,END QUESTIONNAIRE,20581
1,1736962322468,15/01/2025 17:32:02,1736962322393,0,15/01/2025 17:32:02,195194,10,questionnaire-wl1m,,42501711,BLIND,12400911,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x955,Study,,,Debrief sheet: Adults (AS),2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,BEGIN QUESTIONNAIRE,
2,1736962331657,15/01/2025 17:32:11,1736962331587,0,15/01/2025 17:32:11,195194,10,questionnaire-wl1m,,42501711,BLIND,12400911,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1903x955,Study,,,Debrief sheet: Adults (AS),2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,END QUESTIONNAIRE,9194
