Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-u6qh,checkpoint-wwj4,checkpoint-75d5,branch-2gum,branch-dg21,branch-5lq7,Randomise questionnaire elements?,Question Key,Response
1,1734541629957,18/12/2024 17:07:09,1734541628617,0,18/12/2024 17:07:08,202242,3,questionnaire-fbds,,42105079,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,,Consent form: Adults (AS),2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,BEGIN QUESTIONNAIRE,
2,1734541639869,18/12/2024 17:07:19,1734541638575,0,18/12/2024 17:07:18,202242,3,questionnaire-fbds,,42105079,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1343x650,Study,,,Consent form: Adults (AS),2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,consent1,1
3,1734541639965,18/12/2024 17:07:19,1734541638577,0,18/12/2024 17:07:18,202242,3,questionnaire-fbds,,42105079,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1343x650,Study,,,Consent form: Adults (AS),2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,consent2,1
4,1734541639965,18/12/2024 17:07:19,1734541638577,0,18/12/2024 17:07:18,202242,3,questionnaire-fbds,,42105079,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1343x650,Study,,,Consent form: Adults (AS),2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,consent3,1
5,1734541639965,18/12/2024 17:07:19,1734541638577,0,18/12/2024 17:07:18,202242,3,questionnaire-fbds,,42105079,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1343x650,Study,,,Consent form: Adults (AS),2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,consent5,1
6,1734541639965,18/12/2024 17:07:19,1734541638577,0,18/12/2024 17:07:18,202242,3,questionnaire-fbds,,42105079,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1343x650,Study,,,Consent form: Adults (AS),2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,consent7,1
7,1734541639965,18/12/2024 17:07:19,1734541638578,0,18/12/2024 17:07:18,202242,3,questionnaire-fbds,,42105079,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1343x650,Study,,,Consent form: Adults (AS),2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,consent6,1
8,1734541639965,18/12/2024 17:07:19,1734541638578,0,18/12/2024 17:07:18,202242,3,questionnaire-fbds,,42105079,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1343x650,Study,,,Consent form: Adults (AS),2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,END QUESTIONNAIRE,9961
1,1734544882124,18/12/2024 18:01:22,1734544881986,0,18/12/2024 18:01:21,202242,3,questionnaire-fbds,,42106291,BLIND,12295849,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,Study,,,Consent form: Adults (AS),2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,BEGIN QUESTIONNAIRE,
2,1734544888184,18/12/2024 18:01:28,1734544888105,0,18/12/2024 18:01:28,202242,3,questionnaire-fbds,,42106291,BLIND,12295849,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1513x738,Study,,,Consent form: Adults (AS),2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,consent1,1
3,1734544888257,18/12/2024 18:01:28,1734544888106,0,18/12/2024 18:01:28,202242,3,questionnaire-fbds,,42106291,BLIND,12295849,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1513x738,Study,,,Consent form: Adults (AS),2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,consent2,1
