Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-u6qh,checkpoint-wwj4,checkpoint-75d5,branch-2gum,branch-dg21,branch-5lq7,Randomise questionnaire elements?,Question Key,Response
1,1734541640952,18/12/2024 17:07:20,1734541639591,0,18/12/2024 17:07:19,202242,3,questionnaire-7oy7,,42105083,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,BEGIN QUESTIONNAIRE,
2,1734541651920,18/12/2024 17:07:31,1734541650616,0,18/12/2024 17:07:30,202242,3,questionnaire-7oy7,,42105083,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1343x650,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Age,18
3,1734541651973,18/12/2024 17:07:31,1734541650618,0,18/12/2024 17:07:30,202242,3,questionnaire-7oy7,,42105083,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1343x650,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender,Woman
4,1734541651973,18/12/2024 17:07:31,1734541650619,0,18/12/2024 17:07:30,202242,3,questionnaire-7oy7,,42105083,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1343x650,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender-quantised,2
5,1734541651973,18/12/2024 17:07:31,1734541650619,0,18/12/2024 17:07:30,202242,3,questionnaire-7oy7,,42105083,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1343x650,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender-text,
6,1734541651973,18/12/2024 17:07:31,1734541650619,0,18/12/2024 17:07:30,202242,3,questionnaire-7oy7,,42105083,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1343x650,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,categorical_hand,Right
7,1734541651973,18/12/2024 17:07:31,1734541650620,0,18/12/2024 17:07:30,202242,3,questionnaire-7oy7,,42105083,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1343x650,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,categorical_hand-quantised,2
8,1734541651973,18/12/2024 17:07:31,1734541650620,0,18/12/2024 17:07:30,202242,3,questionnaire-7oy7,,42105083,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1343x650,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Education,Yes
9,1734541651973,18/12/2024 17:07:31,1734541650621,0,18/12/2024 17:07:30,202242,3,questionnaire-7oy7,,42105083,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1343x650,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Education-quantised,1
10,1734541651973,18/12/2024 17:07:31,1734541650621,0,18/12/2024 17:07:30,202242,3,questionnaire-7oy7,,42105083,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1343x650,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Bilingual,Yes
11,1734541651973,18/12/2024 17:07:31,1734541650622,0,18/12/2024 17:07:30,202242,3,questionnaire-7oy7,,42105083,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1343x650,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Bilingual-quantised,1
12,1734541651973,18/12/2024 17:07:31,1734541650622,0,18/12/2024 17:07:30,202242,3,questionnaire-7oy7,,42105083,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1343x650,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Bilingual-text,
13,1734541651973,18/12/2024 17:07:31,1734541650623,0,18/12/2024 17:07:30,202242,3,questionnaire-7oy7,,42105083,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1343x650,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,END QUESTIONNAIRE,11032
1,1734544889065,18/12/2024 18:01:29,1734544888932,0,18/12/2024 18:01:28,202242,3,questionnaire-7oy7,,42106297,BLIND,12295849,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,BEGIN QUESTIONNAIRE,
2,1734544901772,18/12/2024 18:01:41,1734544901684,0,18/12/2024 18:01:41,202242,3,questionnaire-7oy7,,42106297,BLIND,12295849,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Age,18
3,1734544901841,18/12/2024 18:01:41,1734544901688,0,18/12/2024 18:01:41,202242,3,questionnaire-7oy7,,42106297,BLIND,12295849,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender,Woman
4,1734544901841,18/12/2024 18:01:41,1734544901688,0,18/12/2024 18:01:41,202242,3,questionnaire-7oy7,,42106297,BLIND,12295849,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender-quantised,2
5,1734544901841,18/12/2024 18:01:41,1734544901688,0,18/12/2024 18:01:41,202242,3,questionnaire-7oy7,,42106297,BLIND,12295849,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender-text,
6,1734544901841,18/12/2024 18:01:41,1734544901688,0,18/12/2024 18:01:41,202242,3,questionnaire-7oy7,,42106297,BLIND,12295849,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,categorical_hand,Right
7,1734544901841,18/12/2024 18:01:41,1734544901688,0,18/12/2024 18:01:41,202242,3,questionnaire-7oy7,,42106297,BLIND,12295849,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,categorical_hand-quantised,2
8,1734544901841,18/12/2024 18:01:41,1734544901688,0,18/12/2024 18:01:41,202242,3,questionnaire-7oy7,,42106297,BLIND,12295849,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Education,Yes
9,1734544901841,18/12/2024 18:01:41,1734544901688,0,18/12/2024 18:01:41,202242,3,questionnaire-7oy7,,42106297,BLIND,12295849,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Education-quantised,1
10,1734544901841,18/12/2024 18:01:41,1734544901689,0,18/12/2024 18:01:41,202242,3,questionnaire-7oy7,,42106297,BLIND,12295849,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Bilingual,Yes
11,1734544901841,18/12/2024 18:01:41,1734544901689,0,18/12/2024 18:01:41,202242,3,questionnaire-7oy7,,42106297,BLIND,12295849,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Bilingual-quantised,1
12,1734544901841,18/12/2024 18:01:41,1734544901689,0,18/12/2024 18:01:41,202242,3,questionnaire-7oy7,,42106297,BLIND,12295849,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Bilingual-text,
13,1734544901841,18/12/2024 18:01:41,1734544901689,0,18/12/2024 18:01:41,202242,3,questionnaire-7oy7,,42106297,BLIND,12295849,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,END QUESTIONNAIRE,12757
1,1734635240016,19/12/2024 19:07:20,1734635237693,-8,19/12/2024 11:07:17,202242,3,questionnaire-7oy7,,42128862,BLIND,12304721,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5,1280x800,1280x720,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,BEGIN QUESTIONNAIRE,
2,1734635249312,19/12/2024 19:07:29,1734635247051,-8,19/12/2024 11:07:27,202242,3,questionnaire-7oy7,,42128862,BLIND,12304721,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5,1280x800,1280x720,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Age,19
3,1734635249363,19/12/2024 19:07:29,1734635247052,-8,19/12/2024 11:07:27,202242,3,questionnaire-7oy7,,42128862,BLIND,12304721,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5,1280x800,1280x720,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender,Woman
4,1734635249363,19/12/2024 19:07:29,1734635247052,-8,19/12/2024 11:07:27,202242,3,questionnaire-7oy7,,42128862,BLIND,12304721,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5,1280x800,1280x720,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender-quantised,2
