origID,age,gender,gender_text,bilingual,bilingual_text,handedness,education
12295569,18,Woman,NA,Yes,NA,Right,Yes
12295849,18,Woman,NA,Yes,NA,Right,Yes
12304721,19,Woman,NA,Yes,NA,Right,Yes
12314725,19,Woman,NA,Yes,NA,Right,Yes
12314886,19,Woman,NA,Yes,NA,Right,Yes
12317228,18,Woman,NA,Yes,NA,Right,Yes
12323320,18,Woman,NA,Yes,NA,Right,Yes
12326898,18,Woman,NA,Yes,NA,Right,Yes
12332993,18,Woman,NA,Yes,NA,Right,Yes
12333149,18,Woman,NA,Yes,NA,Right,Yes
12334989,18,Man,NA,Yes,NA,Right,Yes
12342870,20,Man,NA,Yes,NA,Right,Yes
12354173,18,Woman,NA,Yes,NA,Left,Yes
12361735,19,Woman,NA,Yes,NA,Right,Yes
12380707,18,Woman,NA,Yes,NA,Right,Yes
12380832,18,Woman,NA,Yes,NA,Right,Yes
12383514,18,Woman,NA,Yes,NA,Right,Yes
12383663,18,Woman,NA,Yes,NA,Right,Yes
12384943,18,Woman,NA,Yes,NA,Right,Yes
12385571,19,Woman,NA,Yes,NA,Right,Yes
12387558,18,Woman,NA,Yes,NA,Right,Yes
12393415,18,Woman,NA,Yes,NA,Right,Yes
12428612,18,Woman,NA,Yes,NA,Left,Yes
12460212,18,Woman,NA,Yes,NA,Right,Yes
12192778,21,Woman,NA,Yes,NA,Right,Yes
12307361,20,Woman,NA,Yes,NA,Right,Yes
12325443,19,Woman,NA,Yes,NA,Right,Yes
12394974,20,Man,NA,Yes,NA,Right,Yes
12419430,20,Woman,NA,Yes,NA,Right,Yes
12421724,20,Man,NA,Yes,NA,Right,Yes
12421982,20,Man,NA,Yes,NA,Don't know / No preference,Yes
12467385,20,Woman,NA,Yes,NA,Right,Yes
12491167,20,Woman,NA,Yes,NA,Right,Yes
12457432,20,Woman,NA,Yes,NA,Right,Yes
12423332,20,Man,NA,Yes,NA,Right,Yes
12421443,21,Woman,NA,Yes,NA,Right,Yes
12408161,20,Man,NA,Yes,NA,Right,Yes
12400911,20,Man,NA,Yes,NA,Right,Yes
12395310,20,Man,NA,Yes,NA,Right,Yes
12395154,20,Man,NA,Yes,NA,Left,Yes
12333744,20,Other (please specify),non-binary,Yes,NA,Right,Yes
12177482,21,Woman,NA,Yes,NA,Left,Yes
12409800,21,Woman,NA,Yes,NA,Right,Yes
12427410,21,Man,NA,Yes,NA,Right,Yes
