Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-8dr8,Randomise questionnaire elements?,Question Key,Response
1,1738437203850,01/02/2025 19:13:23,1738437203725,0,01/02/2025 19:13:23,201657,10,questionnaire-dqyr,,42966408,BLIND,12524620,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.7,1024x1366,1366x917,,,,Consent form,5,set2,No,BEGIN QUESTIONNAIRE,
2,1738437224008,01/02/2025 19:13:44,1738437223912,0,01/02/2025 19:13:43,201657,10,questionnaire-dqyr,,42966408,BLIND,12524620,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.7,1024x1366,1024x1259,,,,Consent form,5,set2,No,consent1,1
3,1738437224090,01/02/2025 19:13:44,1738437223915,0,01/02/2025 19:13:43,201657,10,questionnaire-dqyr,,42966408,BLIND,12524620,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.7,1024x1366,1024x1259,,,,Consent form,5,set2,No,consent2,1
4,1738437224090,01/02/2025 19:13:44,1738437223915,0,01/02/2025 19:13:43,201657,10,questionnaire-dqyr,,42966408,BLIND,12524620,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.7,1024x1366,1024x1259,,,,Consent form,5,set2,No,consent3,1
5,1738437224090,01/02/2025 19:13:44,1738437223915,0,01/02/2025 19:13:43,201657,10,questionnaire-dqyr,,42966408,BLIND,12524620,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.7,1024x1366,1024x1259,,,,Consent form,5,set2,No,consent4,1
6,1738437224090,01/02/2025 19:13:44,1738437223915,0,01/02/2025 19:13:43,201657,10,questionnaire-dqyr,,42966408,BLIND,12524620,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.7,1024x1366,1024x1259,,,,Consent form,5,set2,No,consent5,1
7,1738437224090,01/02/2025 19:13:44,1738437223915,0,01/02/2025 19:13:43,201657,10,questionnaire-dqyr,,42966408,BLIND,12524620,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.7,1024x1366,1024x1259,,,,Consent form,5,set2,No,consent6,1
8,1738437224090,01/02/2025 19:13:44,1738437223916,0,01/02/2025 19:13:43,201657,10,questionnaire-dqyr,,42966408,BLIND,12524620,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.7,1024x1366,1024x1259,,,,Consent form,5,set2,No,consent7,1
9,1738437224090,01/02/2025 19:13:44,1738437223916,0,01/02/2025 19:13:43,201657,10,questionnaire-dqyr,,42966408,BLIND,12524620,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.7,1024x1366,1024x1259,,,,Consent form,5,set2,No,END QUESTIONNAIRE,20191
1,1738439970333,01/02/2025 19:59:30,1738439968383,0,01/02/2025 19:59:28,201657,10,questionnaire-dqyr,,42967027,BLIND,12524786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1536x730,,,,Consent form,5,set1,No,BEGIN QUESTIONNAIRE,
2,1738439974365,01/02/2025 19:59:34,1738439972386,0,01/02/2025 19:59:32,201657,10,questionnaire-dqyr,,42967027,BLIND,12524786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1519x730,,,,Consent form,5,set1,No,consent1,1
3,1738439974438,01/02/2025 19:59:34,1738439972388,0,01/02/2025 19:59:32,201657,10,questionnaire-dqyr,,42967027,BLIND,12524786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1519x730,,,,Consent form,5,set1,No,consent2,1
4,1738439974438,01/02/2025 19:59:34,1738439972389,0,01/02/2025 19:59:32,201657,10,questionnaire-dqyr,,42967027,BLIND,12524786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1519x730,,,,Consent form,5,set1,No,consent3,1
5,1738439974438,01/02/2025 19:59:34,1738439972389,0,01/02/2025 19:59:32,201657,10,questionnaire-dqyr,,42967027,BLIND,12524786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1519x730,,,,Consent form,5,set1,No,consent4,1
6,1738439974438,01/02/2025 19:59:34,1738439972389,0,01/02/2025 19:59:32,201657,10,questionnaire-dqyr,,42967027,BLIND,12524786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1519x730,,,,Consent form,5,set1,No,consent5,1
7,1738439974438,01/02/2025 19:59:34,1738439972389,0,01/02/2025 19:59:32,201657,10,questionnaire-dqyr,,42967027,BLIND,12524786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1519x730,,,,Consent form,5,set1,No,consent6,1
8,1738439974438,01/02/2025 19:59:34,1738439972389,0,01/02/2025 19:59:32,201657,10,questionnaire-dqyr,,42967027,BLIND,12524786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1519x730,,,,Consent form,5,set1,No,consent7,1
9,1738439974438,01/02/2025 19:59:34,1738439972389,0,01/02/2025 19:59:32,201657,10,questionnaire-dqyr,,42967027,BLIND,12524786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1519x730,,,,Consent form,5,set1,No,END QUESTIONNAIRE,4006
1,1738449172428,01/02/2025 22:32:52,1738449170320,0,01/02/2025 22:32:50,201657,10,questionnaire-dqyr,,42969013,BLIND,12525331,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1536x730,,,,Consent form,5,set1,No,BEGIN QUESTIONNAIRE,
2,1738449182893,01/02/2025 22:33:02,1738449180830,0,01/02/2025 22:33:00,201657,10,questionnaire-dqyr,,42969013,BLIND,12525331,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1519x730,,,,Consent form,5,set1,No,consent1,1
3,1738449182984,01/02/2025 22:33:02,1738449180831,0,01/02/2025 22:33:00,201657,10,questionnaire-dqyr,,42969013,BLIND,12525331,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1519x730,,,,Consent form,5,set1,No,consent2,1
4,1738449182984,01/02/2025 22:33:02,1738449180831,0,01/02/2025 22:33:00,201657,10,questionnaire-dqyr,,42969013,BLIND,12525331,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1519x730,,,,Consent form,5,set1,No,consent3,1
5,1738449182984,01/02/2025 22:33:02,1738449180831,0,01/02/2025 22:33:00,201657,10,questionnaire-dqyr,,42969013,BLIND,12525331,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1519x730,,,,Consent form,5,set1,No,consent4,1
6,1738449182984,01/02/2025 22:33:02,1738449180832,0,01/02/2025 22:33:00,201657,10,questionnaire-dqyr,,42969013,BLIND,12525331,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1519x730,,,,Consent form,5,set1,No,consent5,1
7,1738449182984,01/02/2025 22:33:02,1738449180832,0,01/02/2025 22:33:00,201657,10,questionnaire-dqyr,,42969013,BLIND,12525331,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1519x730,,,,Consent form,5,set1,No,consent6,1
8,1738449182984,01/02/2025 22:33:02,1738449180832,0,01/02/2025 22:33:00,201657,10,questionnaire-dqyr,,42969013,BLIND,12525331,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1519x730,,,,Consent form,5,set1,No,consent7,1
9,1738449182984,01/02/2025 22:33:02,1738449180832,0,01/02/2025 22:33:00,201657,10,questionnaire-dqyr,,42969013,BLIND,12525331,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1519x730,,,,Consent form,5,set1,No,END QUESTIONNAIRE,10512
1,1738505929322,02/02/2025 14:18:49,1738505929214,0,02/02/2025 14:18:49,201657,10,questionnaire-dqyr,,42975875,BLIND,12527224,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1,1512x982,1290x781,,,,Consent form,5,set2,No,BEGIN QUESTIONNAIRE,
