Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-8dr8,Randomise questionnaire elements?,Question Key,Response
1,1738238314884,30/01/2025 11:58:34,1738238314740,0,30/01/2025 11:58:34,209080,4,questionnaire-b47r,,42891436,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,,Demographics Questionnaire,3,set1,No,BEGIN QUESTIONNAIRE,
2,1738238320880,30/01/2025 11:58:40,1738238320750,0,30/01/2025 11:58:40,209080,4,questionnaire-b47r,,42891436,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,,Demographics Questionnaire,3,set1,No,Age,20
3,1738238320930,30/01/2025 11:58:40,1738238320753,0,30/01/2025 11:58:40,209080,4,questionnaire-b47r,,42891436,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,,Demographics Questionnaire,3,set1,No,Gender,Woman
4,1738238320930,30/01/2025 11:58:40,1738238320753,0,30/01/2025 11:58:40,209080,4,questionnaire-b47r,,42891436,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,,Demographics Questionnaire,3,set1,No,Gender-quantised,2
5,1738238320930,30/01/2025 11:58:40,1738238320753,0,30/01/2025 11:58:40,209080,4,questionnaire-b47r,,42891436,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,,Demographics Questionnaire,3,set1,No,Gender-text,
6,1738238320930,30/01/2025 11:58:40,1738238320753,0,30/01/2025 11:58:40,209080,4,questionnaire-b47r,,42891436,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,,Demographics Questionnaire,3,set1,No,END QUESTIONNAIRE,6013
1,1738316275303,31/01/2025 09:37:55,1738316275498,0,31/01/2025 09:37:55,209080,4,questionnaire-b47r,,42926527,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,,Demographics Questionnaire,3,set2,No,BEGIN QUESTIONNAIRE,
2,1738316281612,31/01/2025 09:38:01,1738316281821,0,31/01/2025 09:38:01,209080,4,questionnaire-b47r,,42926527,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,,Demographics Questionnaire,3,set2,No,Age,20
3,1738316281710,31/01/2025 09:38:01,1738316281823,0,31/01/2025 09:38:01,209080,4,questionnaire-b47r,,42926527,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,,Demographics Questionnaire,3,set2,No,Gender,Woman
4,1738316281710,31/01/2025 09:38:01,1738316281823,0,31/01/2025 09:38:01,209080,4,questionnaire-b47r,,42926527,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,,Demographics Questionnaire,3,set2,No,Gender-quantised,2
