Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-8dr8,Randomise questionnaire elements?,Question Key,Response
1,1738237953707,30/01/2025 11:52:33,1738237953561,0,30/01/2025 11:52:33,209080,4,questionnaire-gzsc,,42891187,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,,Info sheet,4,set1,No,BEGIN QUESTIONNAIRE,
2,1738238282202,30/01/2025 11:58:02,1738238281961,0,30/01/2025 11:58:01,209080,4,questionnaire-gzsc,,42891187,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,,Info sheet,4,set1,No,END QUESTIONNAIRE,328400
1,1738433328180,01/02/2025 18:08:48,1738433337439,0,01/02/2025 18:08:57,209080,4,questionnaire-gzsc,,42965339,BLIND,12524314,,complete,,,computer,Desktop or Laptop,Linux x86_64,Edge 132.0.2957.129,1280x800,1280x632,,,,Info sheet,4,set1,No,BEGIN QUESTIONNAIRE,
2,1738433596611,01/02/2025 18:13:16,1738433605832,0,01/02/2025 18:13:25,209080,4,questionnaire-gzsc,,42965339,BLIND,12524314,,complete,,,computer,Desktop or Laptop,Linux x86_64,Edge 132.0.2957.129,1280x800,1280x632,,,,Info sheet,4,set1,No,END QUESTIONNAIRE,268393
1,1738586481729,03/02/2025 12:41:21,1738586481642,0,03/02/2025 12:41:21,209080,4,questionnaire-gzsc,,43000762,BLIND,12532695,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.4,1470x956,1470x840,,,,Info sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1738586489198,03/02/2025 12:41:29,1738586489140,0,03/02/2025 12:41:29,209080,4,questionnaire-gzsc,,43000762,BLIND,12532695,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.4,1470x956,1470x840,,,,Info sheet,4,set2,No,END QUESTIONNAIRE,7498
1,1738587528573,03/02/2025 12:58:48,1738587528464,0,03/02/2025 12:58:48,209080,4,questionnaire-gzsc,,43001701,BLIND,12532862,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1389x698,,,,Info sheet,4,set1,No,BEGIN QUESTIONNAIRE,
2,1738587531512,03/02/2025 12:58:51,1738587531432,0,03/02/2025 12:58:51,209080,4,questionnaire-gzsc,,43001701,BLIND,12532862,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1389x698,,,,Info sheet,4,set1,No,END QUESTIONNAIRE,2968
1,1738591186955,03/02/2025 13:59:46,1738591187197,0,03/02/2025 13:59:47,209080,4,questionnaire-gzsc,,43004319,BLIND,12533623,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1366x768,1366x641,,,,Info sheet,4,set1,No,BEGIN QUESTIONNAIRE,
2,1738591261452,03/02/2025 14:01:01,1738591261730,0,03/02/2025 14:01:01,209080,4,questionnaire-gzsc,,43004319,BLIND,12533623,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1366x768,1349x641,,,,Info sheet,4,set1,No,END QUESTIONNAIRE,74533
1,1738599330864,03/02/2025 16:15:30,1738599331064,0,03/02/2025 16:15:31,209080,4,questionnaire-gzsc,,43011496,BLIND,12536225,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1280x720,840x781,,,,Info sheet,4,set1,No,BEGIN QUESTIONNAIRE,
2,1738599336316,03/02/2025 16:15:36,1738599336542,0,03/02/2025 16:15:36,209080,4,questionnaire-gzsc,,43011496,BLIND,12536225,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1280x720,820x781,,,,Info sheet,4,set1,No,END QUESTIONNAIRE,5478
1,1738601736030,03/02/2025 16:55:36,1738601736571,0,03/02/2025 16:55:36,209080,4,questionnaire-gzsc,,43013217,BLIND,12536842,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,1280x585,,,,Info sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1738601826705,03/02/2025 16:57:06,1738601827187,0,03/02/2025 16:57:07,209080,4,questionnaire-gzsc,,43013217,BLIND,12536842,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,1263x585,,,,Info sheet,4,set2,No,END QUESTIONNAIRE,90616
1,1738610409086,03/02/2025 19:20:09,1738610409439,0,03/02/2025 19:20:09,209080,4,questionnaire-gzsc,,43018743,BLIND,12538151,,rejected - time limit reached,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1280x720,1272x594,,,,Info sheet,4,set1,No,BEGIN QUESTIONNAIRE,
2,1738610431392,03/02/2025 19:20:31,1738610431724,0,03/02/2025 19:20:31,209080,4,questionnaire-gzsc,,43018743,BLIND,12538151,,rejected - time limit reached,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1280x720,1257x594,,,,Info sheet,4,set1,No,END QUESTIONNAIRE,22286
1,1738662718451,04/02/2025 09:51:58,1738662718399,0,04/02/2025 09:51:58,209080,4,questionnaire-gzsc,,43034447,BLIND,12541956,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1440x900,1440x820,,,,Info sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1738662722628,04/02/2025 09:52:02,1738662722565,0,04/02/2025 09:52:02,209080,4,questionnaire-gzsc,,43034447,BLIND,12541956,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1440x900,1440x820,,,,Info sheet,4,set2,No,END QUESTIONNAIRE,4166
