Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-8dr8,Randomise questionnaire elements?,Question Key,Response
1,1738434866502,01/02/2025 18:34:26,1738434875766,0,01/02/2025 18:34:35,209080,4,questionnaire-twip,,42965748,BLIND,12524314,,complete,,,computer,Desktop or Laptop,Linux x86_64,Edge 132.0.2957.129,1280x800,1280x632,,,,Debrief sheet,4,set1,No,BEGIN QUESTIONNAIRE,
2,1738434881342,01/02/2025 18:34:41,1738434890613,0,01/02/2025 18:34:50,209080,4,questionnaire-twip,,42965748,BLIND,12524314,,complete,,,computer,Desktop or Laptop,Linux x86_64,Edge 132.0.2957.129,1280x800,1280x632,,,,Debrief sheet,4,set1,No,END QUESTIONNAIRE,14847
1,1738525398405,02/02/2025 19:43:18,1738525416337,0,02/02/2025 19:43:36,209080,4,questionnaire-twip,,42986822,BLIND,12528775,,complete,,,computer,Desktop or Laptop,Linux x86_64,Edge 132.0.2957.129,800x1280,800x1112,,,,Debrief sheet,4,set1,No,BEGIN QUESTIONNAIRE,
2,1738525467093,02/02/2025 19:44:27,1738525485061,0,02/02/2025 19:44:45,209080,4,questionnaire-twip,,42986822,BLIND,12528775,,complete,,,computer,Desktop or Laptop,Linux x86_64,Edge 132.0.2957.129,800x1280,800x1112,,,,Debrief sheet,4,set1,No,END QUESTIONNAIRE,68724
1,1738587645915,03/02/2025 13:00:45,1738587645817,0,03/02/2025 13:00:45,209080,4,questionnaire-twip,,43001812,BLIND,12532695,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.4,1470x956,1470x840,,,,Debrief sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1738587648843,03/02/2025 13:00:48,1738587648762,0,03/02/2025 13:00:48,209080,4,questionnaire-twip,,43001812,BLIND,12532695,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.4,1470x956,1470x840,,,,Debrief sheet,4,set2,No,END QUESTIONNAIRE,2945
1,1738588770954,03/02/2025 13:19:30,1738588770858,0,03/02/2025 13:19:30,209080,4,questionnaire-twip,,43002637,BLIND,12532862,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,859x698,,,,Debrief sheet,4,set1,No,BEGIN QUESTIONNAIRE,
2,1738588772465,03/02/2025 13:19:32,1738588772417,0,03/02/2025 13:19:32,209080,4,questionnaire-twip,,43002637,BLIND,12532862,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,859x698,,,,Debrief sheet,4,set1,No,END QUESTIONNAIRE,1559
1,1738601138071,03/02/2025 16:45:38,1738601138258,0,03/02/2025 16:45:38,209080,4,questionnaire-twip,,43012852,BLIND,12536225,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1280x720,1696x792,,,,Debrief sheet,4,set1,No,BEGIN QUESTIONNAIRE,
2,1738601143401,03/02/2025 16:45:43,1738601143442,0,03/02/2025 16:45:43,209080,4,questionnaire-twip,,43012852,BLIND,12536225,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1280x720,1676x792,,,,Debrief sheet,4,set1,No,END QUESTIONNAIRE,5184
1,1738603151689,03/02/2025 17:19:11,1738603152301,0,03/02/2025 17:19:12,209080,4,questionnaire-twip,,43014160,BLIND,12536842,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,1280x585,,,,Debrief sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1738603165454,03/02/2025 17:19:25,1738603166091,0,03/02/2025 17:19:26,209080,4,questionnaire-twip,,43014160,BLIND,12536842,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,1263x585,,,,Debrief sheet,4,set2,No,END QUESTIONNAIRE,13791
1,1739119834957,09/02/2025 16:50:34,1739119834898,0,09/02/2025 16:50:34,209080,4,questionnaire-twip,,43220198,BLIND,12597922,,complete,,,tablet,undefined K,Android 10,Chrome 132.0.0.0,962x601,962x446,,,,Debrief sheet,4,set1,No,BEGIN QUESTIONNAIRE,
2,1739119861661,09/02/2025 16:51:01,1739119861577,0,09/02/2025 16:51:01,209080,4,questionnaire-twip,,43220198,BLIND,12597922,,complete,,,tablet,undefined K,Android 10,Chrome 132.0.0.0,962x601,962x446,,,,Debrief sheet,4,set1,No,END QUESTIONNAIRE,26681
1,1739128628992,09/02/2025 19:17:08,1739128628898,0,09/02/2025 19:17:08,209080,4,questionnaire-twip,,43223054,BLIND,12598828,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x692,,,,Debrief sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1739128639336,09/02/2025 19:17:19,1739128639282,0,09/02/2025 19:17:19,209080,4,questionnaire-twip,,43223054,BLIND,12598828,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x692,,,,Debrief sheet,4,set2,No,END QUESTIONNAIRE,10384
1,1739213401703,10/02/2025 18:50:01,1739213401605,0,10/02/2025 18:50:01,209080,4,questionnaire-twip,,43259582,BLIND,12608669,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.6,820x1180,1180x707,,,,Debrief sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1739213420902,10/02/2025 18:50:20,1739213420833,0,10/02/2025 18:50:20,209080,4,questionnaire-twip,,43259582,BLIND,12608669,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.6,820x1180,1180x707,,,,Debrief sheet,4,set2,No,END QUESTIONNAIRE,19228
1,1739391746950,12/02/2025 20:22:26,1739391746346,0,12/02/2025 20:22:26,209080,4,questionnaire-twip,,43357347,BLIND,12637164,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 131.0.0.0,1138x639,1264x523,,,,Debrief sheet,4,set1,No,BEGIN QUESTIONNAIRE,
2,1739391772640,12/02/2025 20:22:52,1739391772074,0,12/02/2025 20:22:52,209080,4,questionnaire-twip,,43357347,BLIND,12637164,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 131.0.0.0,1138x639,1264x523,,,,Debrief sheet,4,set1,No,END QUESTIONNAIRE,25729
1,1739227642811,10/02/2025 22:47:22,1739227642472,0,10/02/2025 22:47:22,209080,4,questionnaire-twip,,43266902,BLIND,12612642,,complete,,,tablet,Amazon KFONWI,Android 9,Silk 130.7.9,601x962,602x777,,,,Debrief sheet,4,set1,No,BEGIN QUESTIONNAIRE,
2,1739227649908,10/02/2025 22:47:29,1739227649665,0,10/02/2025 22:47:29,209080,4,questionnaire-twip,,43266902,BLIND,12612642,,complete,,,tablet,Amazon KFONWI,Android 9,Silk 130.7.9,601x962,602x776,,,,Debrief sheet,4,set1,No,END QUESTIONNAIRE,7194
1,1739182104196,10/02/2025 10:08:24,1739182096545,0,10/02/2025 10:08:16,209080,4,questionnaire-twip,,43233614,BLIND,12602000,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x937,,,,Debrief sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1739182111439,10/02/2025 10:08:31,1739182103814,0,10/02/2025 10:08:23,209080,4,questionnaire-twip,,43233614,BLIND,12602000,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1903x937,,,,Debrief sheet,4,set2,No,END QUESTIONNAIRE,7269
1,1739139008941,09/02/2025 22:10:08,1739139008886,0,09/02/2025 22:10:08,209080,4,questionnaire-twip,,43226100,BLIND,12599877,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3,810x1080,810x1010,,,,Debrief sheet,4,set1,No,BEGIN QUESTIONNAIRE,
2,1739139012750,09/02/2025 22:10:12,1739139012722,0,09/02/2025 22:10:12,209080,4,questionnaire-twip,,43226100,BLIND,12599877,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3,810x1080,810x1010,,,,Debrief sheet,4,set1,No,END QUESTIONNAIRE,3836
1,1739137432289,09/02/2025 21:43:52,1739137432184,0,09/02/2025 21:43:52,209080,4,questionnaire-twip,,43225632,BLIND,12599775,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.2,810x1080,810x1007,,,,Debrief sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1739137442291,09/02/2025 21:44:02,1739137442202,0,09/02/2025 21:44:02,209080,4,questionnaire-twip,,43225632,BLIND,12599775,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.2,810x1080,810x1007,,,,Debrief sheet,4,set2,No,END QUESTIONNAIRE,10018
1,1738850607130,06/02/2025 14:03:27,1738850619605,0,06/02/2025 14:03:39,209080,4,questionnaire-twip,,43131279,BLIND,12573385,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x911,,,,Debrief sheet,4,set1,No,BEGIN QUESTIONNAIRE,
2,1738850611535,06/02/2025 14:03:31,1738850624050,0,06/02/2025 14:03:44,209080,4,questionnaire-twip,,43131279,BLIND,12573385,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x911,,,,Debrief sheet,4,set1,No,END QUESTIONNAIRE,4445
1,1738782688733,05/02/2025 19:11:28,1738782688487,0,05/02/2025 19:11:28,209080,4,questionnaire-twip,,43110158,BLIND,12560076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1536x730,,,,Debrief sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1738782691532,05/02/2025 19:11:31,1738782691328,0,05/02/2025 19:11:31,209080,4,questionnaire-twip,,43110158,BLIND,12560076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1519x730,,,,Debrief sheet,4,set2,No,END QUESTIONNAIRE,2841
1,1738676668962,04/02/2025 13:44:28,1738676669031,0,04/02/2025 13:44:29,209080,4,questionnaire-twip,,43047031,BLIND,12544293,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1536x864,1528x738,,,,Debrief sheet,4,set2,No,BEGIN QUESTIONNAIRE,
2,1738676675309,04/02/2025 13:44:35,1738676675396,0,04/02/2025 13:44:35,209080,4,questionnaire-twip,,43047031,BLIND,12544293,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1536x864,1513x738,,,,Debrief sheet,4,set2,No,END QUESTIONNAIRE,6365
1,1738664088574,04/02/2025 10:14:48,1738664088485,0,04/02/2025 10:14:48,209080,4,questionnaire-twip,,43035102,BLIND,12541956,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1440x900,1440x820,,,,Debrief sheet,4,set2,No,BEGIN QUESTIONNAIRE,
