Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-8dr8,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: block,Spreadsheet: block_number_text,Spreadsheet: item,Spreadsheet: item_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: item_correct,Manipulation: Spreadsheet
1,1738316283803,31/01/2025 09:38:03,1738316283803,0,31/01/2025 09:38:03,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
2,1738316285172,31/01/2025 09:38:05,1738316285172,0,31/01/2025 09:38:05,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,1,start,welcome,vo3k26,1,continue,,1395.7480000953674,1383.1480000000001,1395.7480000953674,1395.7480000953674,1383.1480000000001,1395.7480000953674,1,1395.7480000953674,0,0,,Click To Continue,Continue Button,2,object-14,start,,,,,,,,,,,,
3,1738316297015,31/01/2025 09:38:17,1738316297015,0,31/01/2025 09:38:17,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,1,instr,instr_text,19f9rf,1,continue,,11857.2,11849.400000000001,11857.2,11857.2,11849.400000000001,11857.2,1,11857.2,0,0,,Click To Continue,Continue Button,2,object-108,instr,1,"TASK INSTRUCTIONS - PLEASE READ CAREFULLY! The goal of this study is to see how well people can focus during mental maths tasks. <br><br> Mind wandering is a term used to describe what occurs when your attention wanders from a task. Sometimes when your mind wanders, you begin thinking about personal events or concerns rather than your task. At other times, your mind can wander because you are bored or tired and you don’t really know what you’re thinking about; all you know is that you are no longer thinking about your task.<br><br>",,,,,,,,,,
4,1738316303811,31/01/2025 09:38:23,1738316303811,0,31/01/2025 09:38:23,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,2,instr,instr_text,19f9rf,1,continue,,6804.000000047683,6799.700000000001,6804.000000047683,6804.000000047683,6799.700000000001,6804.000000047683,1,6804.000000047683,0,0,,Click To Continue,Continue Button,2,object-108,instr,2,"Importantly, mind wandering can occur either because you INTENTIONALLY decided to think about things that are unrelated to the task, OR because your thoughts UNINTENTIONALLY drifted away to task-unrelated thoughts, despite your best intentions to focus on the task. <br><br>",,,,,,,,,,
5,1738316307849,31/01/2025 09:38:27,1738316307849,0,31/01/2025 09:38:27,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,3,instr,instr_text,19f9rf,1,continue,,4042.5999999999985,4033.199999999997,4042.5999999999985,4042.5999999999985,4033.199999999997,4042.5999999999985,1,4042.5999999999985,0,0,,Click To Continue,Continue Button,2,object-108,instr,3,"Being ON TASK means that you were focused on completing the task and were not thinking about anything unrelated to the task. Some examples of ON TASK thoughts include thoughts about your performance on the task, or thoughts about your response. <br><br>",,,,,,,,,,
6,1738316314500,31/01/2025 09:38:34,1738316314500,0,31/01/2025 09:38:34,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,4,instr,instr_text,19f9rf,1,continue,,6659.699999952318,6649.700000000001,6659.699999952318,6659.699999952318,6649.700000000001,6659.699999952318,1,6659.699999952318,0,0,,Click To Continue,Continue Button,2,object-108,instr,4,"In this task, you will be asked maths questions of varying difficulty.  As this is a mental maths task we ask that you do not use a calculator, your individual performance in maths is not being tested. <br><br> Enter your answer in the box and press ENTER or click on the Submit button to submit your answer.",,,,,,,,,,
7,1738316320142,31/01/2025 09:38:40,1738316320142,0,31/01/2025 09:38:40,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,5,instr,instr_text,19f9rf,1,continue,,5652.600000095368,5649.700000000001,5652.600000095368,5652.600000095368,5649.700000000001,5652.600000095368,1,5652.600000095368,0,0,,Click To Continue,Continue Button,2,object-108,instr,5,"Additionally, while you are answering the questions you will be randomly interrupted and asked “WHICH OF THE FOLLOWING RESPONSES BEST CHARACTERISES YOUR MENTAL STATE JUST PRIOR TO THE PRESENTATION OF THIS SCREEN?"" You would have to choose either “On task”, ""Intentionally mind wandering"" or ""Unintentionally mind wandering"" by clicking on the appropriate option.<br><br>",,,,,,,,,,
8,1738316327236,31/01/2025 09:38:47,1738316327236,0,31/01/2025 09:38:47,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,6,instr,instr_text,19f9rf,1,continue,,7096.799999952316,7083,7096.799999952316,7096.799999952316,7083,7096.799999952316,1,7096.799999952316,0,0,,Click To Continue,Continue Button,2,object-108,instr,6,This entire task is self-paced. Though of course you should try NOT TO go over the task's ending time of 30 minutes.  There are 3 break periods within the task so try to do the task all the way through instead of taking too many small breaks in between. <br><br>,,,,,,,,,,
9,1738316328142,31/01/2025 09:38:48,1738316328142,0,31/01/2025 09:38:48,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,7,instr,instr_text,19f9rf,1,continue,,920,916.5999999999985,920,920,916.5999999999985,920,1,920,0,0,,Click To Continue,Continue Button,2,object-108,instr,7,Please click the button below to start the practice.,,,,,,,,,,
10,1738316329027,31/01/2025 09:38:49,1738316329027,0,31/01/2025 09:38:49,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,1,block_intro,Screen 1,j74kif,1,continue,,887.6999999523177,883.3000000000029,887.6999999523177,887.6999999523177,883.3000000000029,887.6999999523177,1,887.6999999523177,0,0,,Click To Continue,start,2,object-98,block_intro,,,0,Practice,,,,,,2,,
