Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-8dr8,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: block,Spreadsheet: block_number_text,Spreadsheet: item,Spreadsheet: item_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: item_correct,Manipulation: Spreadsheet
1,1738238323488,30/01/2025 11:58:43,1738238323488,0,30/01/2025 11:58:43,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
2,1738238326367,30/01/2025 11:58:46,1738238326367,0,30/01/2025 11:58:46,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,1,start,welcome,vo3k26,1,continue,,4911.000000000001,4906,4911.000000000001,4911.000000000001,4906,4911.000000000001,1,4911.000000000001,0,0,,Click To Continue,Continue Button,2,object-14,start,,,,,,,,,,1,,
3,1738238355326,30/01/2025 11:59:15,1738238355326,0,30/01/2025 11:59:15,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,1,instr,instr_text,19f9rf,1,continue,,28967,28951,28967,28967,28951,28967,1,28967,0,0,,Click To Continue,Continue Button,2,object-108,instr,1,"TASK INSTRUCTIONS - PLEASE READ CAREFULLY! The goal of this study is to see how well people can focus during mental maths tasks. <br><br> Mind wandering is a term used to describe what occurs when your attention wanders from a task. Sometimes when your mind wanders, you begin thinking about personal events or concerns rather than your task. At other times, your mind can wander because you are bored or tired and you don’t really know what you’re thinking about; all you know is that you are no longer thinking about your task.<br><br>",,,,,,,,1,,
4,1738238373739,30/01/2025 11:59:33,1738238373739,0,30/01/2025 11:59:33,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,2,instr,instr_text,19f9rf,1,continue,,18429,18417,18429,18429,18417,18429,1,18429,0,0,,Click To Continue,Continue Button,2,object-108,instr,2,"Importantly, mind wandering can occur either because you INTENTIONALLY decided to think about things that are unrelated to the task, OR because your thoughts UNINTENTIONALLY drifted away to task-unrelated thoughts, despite your best intentions to focus on the task. <br><br>",,,,,,,,1,,
5,1738238388521,30/01/2025 11:59:48,1738238388521,0,30/01/2025 11:59:48,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,3,instr,instr_text,19f9rf,1,continue,,14795,14784,14795,14795,14784,14795,1,14795,0,0,,Click To Continue,Continue Button,2,object-108,instr,3,"Being ON TASK means that you were focused on completing the task and were not thinking about anything unrelated to the task. Some examples of ON TASK thoughts include thoughts about your performance on the task, or thoughts about your response. <br><br>",,,,,,,,1,,
6,1738238410338,30/01/2025 12:00:10,1738238410338,0,30/01/2025 12:00:10,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,4,instr,instr_text,19f9rf,1,continue,,21829,21817,21829,21829,21817,21829,1,21829,0,0,,Click To Continue,Continue Button,2,object-108,instr,4,"In this task, you will be asked maths questions of varying difficulty.  As this is a mental maths task we ask that you do not use a calculator, your individual performance in maths is not being tested. <br><br> Enter your answer in the box and press ENTER or click on the Submit button to submit your answer.",,,,,,,,1,,
7,1738238431307,30/01/2025 12:00:31,1738238431307,0,30/01/2025 12:00:31,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,5,instr,instr_text,19f9rf,1,continue,,20982,20966,20982,20982,20966,20982,1,20982,0,0,,Click To Continue,Continue Button,2,object-108,instr,5,"Additionally, while you are answering the questions you will be randomly interrupted and asked “WHICH OF THE FOLLOWING RESPONSES BEST CHARACTERISES YOUR MENTAL STATE JUST PRIOR TO THE PRESENTATION OF THIS SCREEN?"" You would have to choose either “On task”, ""Intentionally mind wandering"" or ""Unintentionally mind wandering"" by clicking on the appropriate option.<br><br>",,,,,,,,1,,
8,1738238446962,30/01/2025 12:00:46,1738238446962,0,30/01/2025 12:00:46,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,6,instr,instr_text,19f9rf,1,continue,,15671,15668,15671,15671,15668,15671,1,15671,0,0,,Click To Continue,Continue Button,2,object-108,instr,6,This entire task is self-paced. Though of course you should try NOT TO go over the task's ending time of 30 minutes.  There are 3 break periods within the task so try to do the task all the way through instead of taking too many small breaks in between. <br><br>,,,,,,,,1,,
9,1738238452561,30/01/2025 12:00:52,1738238452561,0,30/01/2025 12:00:52,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,7,instr,instr_text,19f9rf,1,continue,,5603,5599,5603,5603,5599,5603,1,5603,0,0,,Click To Continue,Continue Button,2,object-108,instr,7,Please click the button below to start the practice.,,,,,,,,1,,
10,1738238457820,30/01/2025 12:00:57,1738238457820,0,30/01/2025 12:00:57,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,1,block_intro,Screen 1,j74kif,1,continue,,5263,5251,5263,5263,5251,5263,1,5263,0,0,,Click To Continue,start,2,object-98,block_intro,,,0,Practice,,,,,,1,,
