origID,set,age,gender,gender_text
12524620,set2,19,Woman,NA
12524786,set1,18,Woman,NA
12525331,set1,18,Woman,NA
12527224,set2,19,Woman,NA
12535707,set1,21,Woman,NA
12537636,set2,18,Woman,NA
12539943,set2,19,Woman,NA
12543054,set1,18,Woman,NA
12547023,set1,19,Woman,NA
12547594,set2,18,Woman,NA
12550316,set1,20,Woman,NA
12550423,set2,18,Man,NA
12588681,set2,18,Woman,NA
12608555,set1,19,Woman,NA
12617826,set2,19,Woman,NA
12503190,set1,20,Woman,NA
12511603,set2,20,Woman,NA
12524314,set1,58,Woman,NA
12528775,set1,62,Man,NA
12532379,set2,21,Man,NA
12532695,set2,20,Woman,NA
12532862,set1,20,Woman,NA
12532980,set2,20,Woman,NA
12536842,set2,20,Woman,NA
12537739,set1,58,Woman,NA
12538151,set1,28,Woman,NA
12573385,set1,61,Woman,NA
12597922,set1,70,Man,NA
12599775,set2,59,Woman,NA
12601909,set1,49,Man,NA
12612642,set1,56,Woman,NA
12637164,set1,47,Woman,NA
12608669,set2,60,Woman,NA
12599877,set1,63,Man,NA
12598828,set2,47,Woman,NA
12560076,set2,22,Woman,NA
12544293,set2,20,Man,NA
12541956,set2,18,Man,NA
12536940,set2,50,Man,NA
12536225,set1,21,Woman,NA
12533623,set1,20,Man,NA
12493669,set2,21,Woman,NA
12602000,set2,68,Man,NA
