origID,set,age,gender,gender_text,Did you use a calculator at all during the experiment?,Which best describes the environment you completed the experiment in?,How did you find participating in this experiment? Please tell us anything you'd like to share about your experience.,Question,No,"Yes, to answer a call.","Yes, I checked my messages.","Yes, I played music.","Yes, I had video playing on the side.",__other
12524620,set2,19,Woman,NA,Only for a specific question,A public space with considerable background noise (such as a cafe).,some questions were more difficult than others and lead me to mind wander more,Did you use your phone at any point during the experiment? (Select all that apply),0,0,1,0,0,0
12524786,set1,18,Woman,NA,No,A quiet room with no distraction.,"I tended to think about other things when the division questions popped up as that's my weak point in maths. Also, my mind seemed to wander near the end of each block rather than the beginning.",Did you use your phone at any point during the experiment? (Select all that apply),0,0,1,0,0,0
12525331,set1,18,Woman,NA,Only for a specific question,A quiet room with no distraction.,NA,Did you use your phone at any point during the experiment? (Select all that apply),0,0,1,1,0,0
12527224,set2,19,Woman,NA,No,A quiet public space with minimal distraction (such as a library).,NA,Did you use your phone at any point during the experiment? (Select all that apply),1,0,0,0,0,0
12535707,set1,21,Woman,NA,No,A public space with considerable background noise (such as a cafe).,NA,Did you use your phone at any point during the experiment? (Select all that apply),1,0,0,0,0,0
12537636,set2,18,Woman,NA,Only for a specific question,A quiet public space with minimal distraction (such as a library).,"Fustrating after block 1, especially when it got to dividing bigger numbers.",Did you use your phone at any point during the experiment? (Select all that apply),1,0,0,0,0,0
12539943,set2,19,Woman,NA,No,A quiet room with no distraction.,NA,Did you use your phone at any point during the experiment? (Select all that apply),0,0,1,0,0,0
12543054,set1,18,Woman,NA,No,A quiet room with no distraction.,It was okay but some of the tasks were quite challenging to do mentally especially some of the multiplications and divisions. I did use pen and paper to work some of them out but no calculator.,Did you use your phone at any point during the experiment? (Select all that apply),1,0,0,0,0,0
12547023,set1,19,Woman,NA,No,A quiet room with no distraction.,"The mental maths was fun, the tricky (ish) questions I liked because i had to really focus on them, but the really hard ones my mind started to wander, and also on the really easy ones my mind started to wander.",Did you use your phone at any point during the experiment? (Select all that apply),0,0,0,0,0,1
12547594,set2,18,Woman,NA,No,A public space with considerable background noise (such as a cafe).,Nothing to note,Did you use your phone at any point during the experiment? (Select all that apply),1,0,0,0,0,0
12550316,set1,20,Woman,NA,No,A quiet room with no distraction.,NA,Did you use your phone at any point during the experiment? (Select all that apply),0,0,1,0,0,0
12550423,set2,18,Man,NA,No,__other,"difficult to do the maths in a loud environment, however, my mind did not wander",Did you use your phone at any point during the experiment? (Select all that apply),1,0,0,0,0,0
12588681,set2,18,Woman,NA,No,A quiet public space with minimal distraction (such as a library).,NA,Did you use your phone at any point during the experiment? (Select all that apply),0,0,0,0,1,0
12608555,set1,19,Woman,NA,No,A quiet room with no distraction.,NA,Did you use your phone at any point during the experiment? (Select all that apply),0,1,0,0,0,0
12617826,set2,19,Woman,NA,No,A public space with considerable background noise (such as a cafe).,long,Did you use your phone at any point during the experiment? (Select all that apply),1,0,0,0,0,0
12503190,set1,20,Woman,NA,No,A quiet room with no distraction.,Good experience overall. Easy to understand what to do and well explained.,Did you use your phone at any point during the experiment? (Select all that apply),1,0,0,0,0,0
12511603,set2,20,Woman,NA,No,A quiet room with no distraction.,NA,Did you use your phone at any point during the experiment? (Select all that apply),0,0,0,0,0,1
12524314,set1,58,Woman,NA,No,A quiet room with no distraction.,NA,Did you use your phone at any point during the experiment? (Select all that apply),1,0,0,0,0,0
12528775,set1,62,Man,NA,No,__other,"i enjoyed the survey mental maths is about the only thing i can do
",Did you use your phone at any point during the experiment? (Select all that apply),1,0,0,0,0,0
12532379,set2,21,Man,NA,No,A quiet public space with minimal distraction (such as a library).,NA,Did you use your phone at any point during the experiment? (Select all that apply),0,0,1,0,0,0
12532695,set2,20,Woman,NA,No,A quiet public space with minimal distraction (such as a library).,NA,Did you use your phone at any point during the experiment? (Select all that apply),0,0,1,0,0,0
12532862,set1,20,Woman,NA,No,A quiet room with no distraction.,NA,Did you use your phone at any point during the experiment? (Select all that apply),1,0,0,0,0,0
12532980,set2,20,Woman,NA,No,A quiet room with no distraction.,I found that my mind wandered on the more difficult questions where I couldn't figure out the answer straight away.,Did you use your phone at any point during the experiment? (Select all that apply),1,0,0,0,0,0
12536842,set2,20,Woman,NA,No,A quiet room with no distraction.,My brain doesn't enjoy mental maths.,Did you use your phone at any point during the experiment? (Select all that apply),0,0,1,0,0,0
12537739,set1,58,Woman,NA,No,A quiet room with no distraction.,I found the maths very hard. I am dysexic and have ADHD therefore my short term memory is compromised to the point that I cannot keep figures in my head. I had to use a pen and paper in parts and for some questins I just gave up becuase my brain was hurting and just wrote 1 so i could move on to the next question. Sorry,Did you use your phone at any point during the experiment? (Select all that apply),1,0,0,0,0,0
12538151,set1,28,Woman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12573385,set1,61,Woman,NA,No,A quiet room with no distraction.,"Forgotten how hard maths was when doing in head and on fingers
Concentrated well at first as really wanted to try and get the answers right and as quick as could 
",Did you use your phone at any point during the experiment? (Select all that apply),1,0,0,0,0,0
12597922,set1,70,Man,NA,No,A quiet room with no distraction.,"Fun. But would love to know how I did.
",Did you use your phone at any point during the experiment? (Select all that apply),1,0,0,0,0,0
