origID,condition,set,mm_acc,mm_rt,mw_freq,mw_intent_freq
12493669,Difficult,2,96.66666666666667,10017.75,12.5,0
12493669,Easy,2,100,3791.1666666666674,0,NA
12503190,Difficult,1,95,10698.566666666678,37.5,33.333333333333336
12503190,Easy,1,98.33333333333333,5105.016666666674,37.5,0
12511603,Difficult,2,93.33333333333333,23121.1950000453,25,50
12511603,Easy,2,93.33333333333333,7833.903333392157,12.5,100
12524314,Difficult,1,100,9703.715000000042,62.5,80
12524314,Easy,1,98.33333333333333,5666.0999999999995,12.5,100
12524620,Difficult,2,96.66666666666667,8463.766666666674,12.5,0
12524620,Easy,2,100,7790.4000000000315,25,50
12524786,Difficult,1,91.66666666666667,23808.473333333142,50,75
12524786,Easy,1,95,6891.431666666487,37.5,66.66666666666666
12525331,Difficult,1,100,9122.028333375445,12.5,0
12525331,Easy,1,96.66666666666667,7530.660000040921,25,0
12527224,Difficult,2,75,9587.600000000002,75,50
12527224,Easy,2,86.66666666666667,3693.883333333344,0,NA
12528775,Difficult,1,96.66666666666667,12165.644999999586,0,NA
12528775,Easy,1,100,8262.391666666173,0,NA
12532379,Difficult,2,81.66666666666667,13243.038333373866,50,75
12532379,Easy,2,88.33333333333333,7326.545000053242,12.5,0
12532695,Difficult,2,96.66666666666667,7861.2500000000055,87.5,57.14285714285714
12532695,Easy,2,90,6875.16666666668,87.5,85.71428571428571
12532862,Difficult,1,95,13619.350000000011,12.5,100
12532862,Easy,1,96.66666666666667,3599.033333333336,0,NA
12532980,Difficult,2,95,14009.411666636472,25,0
12532980,Easy,2,100,9530.876666630118,12.5,100
12533623,Difficult,1,91.66666666666666,10737.894999931652,25,0
12533623,Easy,1,98.33333333333333,4432.203333262606,25,0
12535707,Difficult,1,51.66666666666667,9967.731666665868,75,100
12535707,Easy,1,85,8251.893333334128,87.5,57.14285714285714
12536225,Difficult,1,93.33333333333333,13723.43666671117,25,50
12536225,Easy,1,98.33333333333333,11364.5333333691,37.5,33.333333333333336
12536842,Difficult,2,98.33333333333333,11421.613333338695,0,NA
12536842,Easy,2,98.33333333333333,5841.978333338344,12.5,0
12536940,Difficult,2,100,8965.13833334903,0,NA
12536940,Easy,2,96.66666666666667,5902.6466666875285,0,NA
12537636,Difficult,2,84.99999999999999,10496.65000010967,75,33.333333333333336
12537636,Easy,2,91.66666666666666,9679.343333423934,100,12.5
12537739,Difficult,1,76.66666666666667,16364.694999999998,87.5,14.285714285714288
12537739,Easy,1,96.66666666666667,7205.195333333341,25,0
12538151,Difficult,1,48.33333333333333,302149.48000009457,87.5,42.857142857142854
12538151,Easy,1,91.66666666666666,5240.67500009457,37.5,100
12539943,Difficult,2,91.66666666666667,14080.933333333342,37.5,100
12539943,Easy,2,96.66666666666667,8899.166666666677,37.5,0
12541956,Difficult,2,98.33333333333333,5297.766666666671,62.5,100
12541956,Easy,2,98.33333333333333,3718.2833333333465,25,100
12543054,Difficult,1,96.66666666666667,22600.8466666667,0,NA
12543054,Easy,1,100,5860.490000000086,0,NA
12544293,Difficult,2,95,20979.135000002378,25,50
12544293,Easy,2,98.33333333333333,12153.526666665468,37.5,100
12547023,Difficult,1,96.66666666666667,12656.798333327268,37.5,33.333333333333336
12547023,Easy,1,98.33333333333333,5533.423333328064,25,50
12547594,Difficult,2,93.33333333333333,10938.483333333335,25,0
12547594,Easy,2,93.33333333333333,6827.783333333346,12.5,0
12550316,Difficult,1,85,5693.4383333384985,50,0
12550316,Easy,1,96.66666666666667,3457.551666674216,37.5,0
12550423,Difficult,2,88.33333333333333,8302.149999999678,12.5,100
12550423,Easy,2,96.66666666666667,3656.5233333329875,0,NA
12560076,Difficult,2,93.33333333333333,7643.081666666304,37.5,66.66666666666666
12560076,Easy,2,98.33333333333333,3517.843333332967,25,0
12573385,Difficult,1,66.66666666666667,15707.8366666665,62.5,20
12573385,Easy,1,85,8688.528333333234,37.5,33.333333333333336
12588681,Difficult,2,76.66666666666667,14779.93333333334,62.5,40
12588681,Easy,2,95,10017.716666666685,50,0
12597922,Difficult,1,93.33333333333333,9613.706666666749,0,NA
12597922,Easy,1,100,6009.036666666724,0,NA
12598828,Difficult,2,95,12572.883333333355,50,50
12598828,Easy,2,95,7742.933333333343,37.5,100
12599775,Difficult,2,93.33333333333333,7951.766666666672,0,NA
12599775,Easy,2,98.33333333333333,4714.600000000017,0,NA
12599877,Difficult,1,100,13024.633333333344,0,NA
12599877,Easy,1,96.66666666666666,10647.383333333348,12.5,100
12601909,Difficult,1,95,8211.931666709606,50,100
12601909,Easy,1,95,5670.446666713742,12.5,0
12602000,Difficult,2,96.66666666666667,9250.745933372284,0,NA
12602000,Easy,2,98.33333333333333,5308.5951333678995,12.5,0
12608555,Difficult,1,100,8044.583333333354,25,50
12608555,Easy,1,98.33333333333333,5859.700000000012,0,NA
12608669,Difficult,2,100,20575.200000000023,12.5,100
12608669,Easy,2,95,8665.733333333392,0,NA
12612642,Difficult,1,23.33333333333333,6547.943333333408,100,87.5
12612642,Easy,1,70,6347.426666666754,12.5,100
12617826,Difficult,2,70,9744.28999997298,25,50
12617826,Easy,2,81.66666666666667,4572.646666641219,0,NA
12637164,Difficult,1,85,23044.128333333352,75,66.66666666666666
12637164,Easy,1,96.66666666666667,12528.69833333335,37.5,0
