Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: Sona Credits,Store: Sona,randomiser-mq2e,branch-s3b7,branch-wcx7,branch-spxp
1,1754562013476,07/08/2025 10:20,1754565613476,1,07/08/2025 12:20,233799,28,questionnaire-65ao,,48574226,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,Feedback - prize draw (ready for review),7,,,,,info,,BEGIN,,,,,,,,selfreport_probe,Eligible,Voucher,Yes
5,1754562019937,07/08/2025 10:20,1754565619937,1,07/08/2025 12:20,233799,28,questionnaire-65ao,,48574226,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,Feedback - prize draw (ready for review),7,Page 1,rnfxsa,1,**Are you a Psychology Student at Lancaster University and would like to receive Sona credits?**,response,value,non_stud,,psyc_stud|non_stud,fb_sona,2,object-11,non_stud,0,selfreport_probe,Eligible,Voucher,Yes
6,1754562019937,07/08/2025 10:20,1754565619937,1,07/08/2025 12:20,233799,28,questionnaire-65ao,,48574226,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,Feedback - prize draw (ready for review),7,Page 1,rnfxsa,1,**Are you a Psychology Student at Lancaster University and would like to receive Sona credits?**,response,quantised,2,,psyc_stud|non_stud,fb_sona,2,object-11,non_stud,0,selfreport_probe,Eligible,Voucher,Yes
7,1754562019938,07/08/2025 10:20,1754565619938,1,07/08/2025 12:20,233799,28,questionnaire-65ao,,48574226,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,Feedback - prize draw (ready for review),7,,,,Sona,response,score,0,,,,,,,,selfreport_probe,Eligible,Voucher,Yes
8,1754562019938,07/08/2025 10:20,1754565619938,1,07/08/2025 12:20,233799,28,questionnaire-65ao,,48574226,BLINDED,13934025,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x703,,,0,Feedback - prize draw (ready for review),7,,,,,info,,END,6431,,,,,,,selfreport_probe,Eligible,Voucher,Yes
1,1755089651713,13/08/2025 12:54,1755093251713,1,13/08/2025 14:54,233799,28,questionnaire-65ao,,48676965,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,0,Feedback - prize draw (ready for review),7,,,,,info,,BEGIN,,,,,,,,probe_selfreport,Eligible,Voucher,Yes
5,1755089655255,13/08/2025 12:54,1755093255255,1,13/08/2025 14:54,233799,28,questionnaire-65ao,,48676965,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,0,Feedback - prize draw (ready for review),7,Page 1,rnfxsa,1,**Are you a Psychology Student at Lancaster University and would like to receive Sona credits?**,response,value,non_stud,,psyc_stud|non_stud,fb_sona,2,object-11,non_stud,0,probe_selfreport,Eligible,Voucher,Yes
6,1755089655255,13/08/2025 12:54,1755093255255,1,13/08/2025 14:54,233799,28,questionnaire-65ao,,48676965,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,0,Feedback - prize draw (ready for review),7,Page 1,rnfxsa,1,**Are you a Psychology Student at Lancaster University and would like to receive Sona credits?**,response,quantised,2,,psyc_stud|non_stud,fb_sona,2,object-11,non_stud,0,probe_selfreport,Eligible,Voucher,Yes
7,1755089655255,13/08/2025 12:54,1755093255255,1,13/08/2025 14:54,233799,28,questionnaire-65ao,,48676965,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,0,Feedback - prize draw (ready for review),7,,,,Sona,response,score,0,,,,,,,,probe_selfreport,Eligible,Voucher,Yes
8,1755089655255,13/08/2025 12:54,1755093255255,1,13/08/2025 14:54,233799,28,questionnaire-65ao,,48676965,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,0,Feedback - prize draw (ready for review),7,,,,,info,,END,3512,,,,,,,probe_selfreport,Eligible,Voucher,Yes
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
