Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Randomise questionnaire elements?,Question Key,Response,randomiser-mq2e,branch-s3b7,branch-wcx7,branch-spxp
1,1755088982971,13/08/2025 12:43,1755088982807,1,13/08/2025 13:43,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,BEGIN QUESTIONNAIRE,,probe_selfreport,Eligible,Voucher,Yes
2,1755089069224,13/08/2025 12:44,1755089069096,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 1 ,Slightly Disagree,probe_selfreport,Eligible,Voucher,Yes
3,1755089069300,13/08/2025 12:44,1755089069097,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 1 -quantised,3,probe_selfreport,Eligible,Voucher,Yes
4,1755089069300,13/08/2025 12:44,1755089069097,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 2 ,Slightly Agree,probe_selfreport,Eligible,Voucher,Yes
5,1755089069300,13/08/2025 12:44,1755089069097,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 2 -quantised,2,probe_selfreport,Eligible,Voucher,Yes
6,1755089069300,13/08/2025 12:44,1755089069097,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 3 ,Definitely Disagree,probe_selfreport,Eligible,Voucher,Yes
7,1755089069300,13/08/2025 12:44,1755089069097,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 3 -quantised,4,probe_selfreport,Eligible,Voucher,Yes
8,1755089069300,13/08/2025 12:44,1755089069097,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 4 ,Definitely Agree,probe_selfreport,Eligible,Voucher,Yes
9,1755089069300,13/08/2025 12:44,1755089069097,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 4 -quantised,1,probe_selfreport,Eligible,Voucher,Yes
10,1755089069300,13/08/2025 12:44,1755089069097,1,13/08/2025 13:44,233799,28,questionnaire-opi6,,48676791,BLINDED,13955495,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 141.0,1536x864,1536x703,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 5,Slightly Agree,probe_selfreport,Eligible,Voucher,Yes
