Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,branch-s3b7,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: Voucher,Store: Prize,branch-dgjt
1,1753199164026,22/07/2025 15:46,1753202764026,1,22/07/2025 17:46,234742,8,questionnaire-rusm,,48249485,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,,,,,info,,BEGIN,,,,,,,,Voucher
5,1753199169747,22/07/2025 15:46,1753202769747,1,22/07/2025 17:46,234742,8,questionnaire-rusm,,48249485,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,value,Yes,,Yes|No,Multiple Choice,2,object-21,,1,Voucher
6,1753199169747,22/07/2025 15:46,1753202769747,1,22/07/2025 17:46,234742,8,questionnaire-rusm,,48249485,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,quantised,1,,Yes|No,Multiple Choice,2,object-21,,1,Voucher
7,1753199169747,22/07/2025 15:46,1753202769747,1,22/07/2025 17:46,234742,8,questionnaire-rusm,,48249485,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,,,,Prize,response,score,1,,,,,,,,Voucher
8,1753199169748,22/07/2025 15:46,1753202769748,1,22/07/2025 17:46,234742,8,questionnaire-rusm,,48249485,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,,,,,info,,END,5682,,,,,,,Voucher
1,1753201302897,22/07/2025 16:21,1753204902897,1,22/07/2025 18:21,234742,8,questionnaire-rusm,,48250711,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,,,Voucher
5,1753201317641,22/07/2025 16:21,1753204917641,1,22/07/2025 18:21,234742,8,questionnaire-rusm,,48250711,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,value,Yes,,Yes|No,Multiple Choice,2,object-21,,1,Voucher
6,1753201317641,22/07/2025 16:21,1753204917641,1,22/07/2025 18:21,234742,8,questionnaire-rusm,,48250711,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,quantised,1,,Yes|No,Multiple Choice,2,object-21,,1,Voucher
7,1753201317642,22/07/2025 16:21,1753204917642,1,22/07/2025 18:21,234742,8,questionnaire-rusm,,48250711,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,,,,Prize,response,score,1,,,,,,,,Voucher
8,1753201317642,22/07/2025 16:21,1753204917642,1,22/07/2025 18:21,234742,8,questionnaire-rusm,,48250711,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,,,,,info,,END,14715,,,,,,,Voucher
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
