Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instr_text,Spreadsheet: digit,Spreadsheet: correct,Spreadsheet: random_blocks,Spreadsheet: random_trials,Spreadsheet: size,randomiser-mq2e,branch-s3b7,branch-dgjt
1,1753197862124,22/07/2025 15:24,1753201462124,1,22/07/2025 17:24,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,,,,,,probe_selfreport,Eligible,Voucher
2,1753197864549,22/07/2025 15:24,1753201464549,1,22/07/2025 17:24,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,1,instruction1,screen1,755tgm,1,continue,,2457.4700000000003,2447.87,2457.4700000000003,2457.4700000000003,2447.87,2457.4700000000003,1,0,0,,Click To Continue,next,3,object-4,instruction1,"## You will see the digits 1 to 9 in the centre of the screen, one at a time, in a random order.<br/><br/>Your task is to press the **SPACEBAR** with your preferred hand in response to each digit, **EXCEPT WHEN THE DIGIT IS A 3**, in that case you do nothing.<br/><br/>We are going to start with a practice round.",,,,,,probe_selfreport,Eligible,Voucher
3,1753197869535,22/07/2025 15:24,1753201469535,1,22/07/2025 17:24,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,1,ready,screen1,vndsmx,1,timedOut,,4996.799999928475,4995.5,4996.799999928475,4996.799999928475,4995.5,4996.799999928475,1,0,0,,Time Limit,screen,0,screen,ready,,,,,,,probe_selfreport,Eligible,Voucher
4,1753197869734,22/07/2025 15:24,1753201469734,1,22/07/2025 17:24,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,1,trial_withFeedback,digit,9x41os,1,timedOut,,200.69999990463293,199.8000000000011,200.69999990463293,200.69999990463293,199.8000000000011,200.69999990463293,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,6,space,,,90,probe_selfreport,Eligible,Voucher
5,1753197870634,22/07/2025 15:24,1753201470634,1,22/07/2025 17:24,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,1,trial_withFeedback,mask,zabu7l,2,response,noresponse,899.0999999999985,899.0999999999985,899.0999999999985,899.0999999999985,899.0999999999985,899.0999999999985,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,6,space,,,90,probe_selfreport,Eligible,Voucher
6,1753197871815,22/07/2025 15:24,1753201471815,1,22/07/2025 17:24,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,2,trial_withFeedback,digit,9x41os,1,timedOut,,200.79999997615778,199.89999999999964,200.79999997615778,200.79999997615778,199.89999999999964,200.79999997615778,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,3,noresponse,,,100,probe_selfreport,Eligible,Voucher
7,1753197872715,22/07/2025 15:24,1753201472715,1,22/07/2025 17:24,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,2,trial_withFeedback,mask,zabu7l,2,response,noresponse,899.2000000000007,899.2000000000007,899.2000000000007,899.2000000000007,899.2000000000007,899.2000000000007,1,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,3,noresponse,,,100,probe_selfreport,Eligible,Voucher
8,1753197873897,22/07/2025 15:24,1753201473897,1,22/07/2025 17:24,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,3,trial_withFeedback,digit,9x41os,1,timedOut,,200.79999997615778,199.79999999999927,200.79999997615778,200.79999997615778,199.79999999999927,200.79999997615778,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,7,space,,,90,probe_selfreport,Eligible,Voucher
9,1753197874797,22/07/2025 15:24,1753201474797,1,22/07/2025 17:24,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,3,trial_withFeedback,mask,zabu7l,2,response,noresponse,899.1000000000004,899.1000000000004,899.1000000000004,899.1000000000004,899.1000000000004,899.1000000000004,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,7,space,,,90,probe_selfreport,Eligible,Voucher
10,1753197875978,22/07/2025 15:24,1753201475978,1,22/07/2025 17:24,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,4,trial_withFeedback,digit,9x41os,1,timedOut,,201.19999997615741,200.09999999999854,201.19999997615741,201.19999997615741,200.09999999999854,201.19999997615741,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,8,space,,,160,probe_selfreport,Eligible,Voucher
11,1753197876877,22/07/2025 15:24,1753201476877,1,22/07/2025 17:24,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,4,trial_withFeedback,mask,zabu7l,2,response,noresponse,898.8000000000011,898.8000000000011,898.8000000000011,898.8000000000011,898.8000000000011,898.8000000000011,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,8,space,,,160,probe_selfreport,Eligible,Voucher
12,1753197878059,22/07/2025 15:24,1753201478059,1,22/07/2025 17:24,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,5,trial_withFeedback,digit,9x41os,1,timedOut,,200.70000000000073,199.70000000000073,200.70000000000073,200.70000000000073,199.70000000000073,200.70000000000073,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,1,space,,,90,probe_selfreport,Eligible,Voucher
13,1753197878722,22/07/2025 15:24,1753201478722,1,22/07/2025 17:24,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,5,trial_withFeedback,mask,zabu7l,2,response,space,663.8999999761581,649.5999999999985,663.8999999761581,663.8999999761581,649.5999999999985,663.8999999761581,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,1,space,,,90,probe_selfreport,Eligible,Voucher
14,1753197879908,22/07/2025 15:24,1753201479908,1,22/07/2025 17:24,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,6,trial_withFeedback,digit,9x41os,1,timedOut,,200.499999952317,199.70000000000073,200.499999952317,200.499999952317,199.70000000000073,200.499999952317,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,5,space,,,150,probe_selfreport,Eligible,Voucher
