Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instr_text,Spreadsheet: digit,Spreadsheet: correct,Spreadsheet: random_blocks,Spreadsheet: random_trials,Spreadsheet: size,branch-s3b7,branch-dgjt
1,1753200106879,22/07/2025 16:01,1753203706879,1,22/07/2025 18:01,234742,8,task-kwp2,,48249954,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,,,,,,Eligible,Voucher
2,1753200124319,22/07/2025 16:02,1753203724319,1,22/07/2025 18:02,234742,8,task-kwp2,,48249954,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,1,instruction1,screen1,755tgm,1,continue,,18578,18562,18578,18578,18562,18578,1,0,0,,Click To Continue,next,3,object-4,instruction1,"## You will see the digits 1 to 9 in the centre of the screen, one at a time, in a random order.<br/><br/>Your task is to press the **SPACEBAR** with your preferred hand in response to each digit, **EXCEPT WHEN THE DIGIT IS A 3**, in that case you do nothing.<br/><br/>We are going to start with a practice round.",,,,,,Eligible,Voucher
3,1753200129297,22/07/2025 16:02,1753203729297,1,22/07/2025 18:02,234742,8,task-kwp2,,48249954,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,1,ready,screen1,vndsmx,1,timedOut,,5001,5000,5001,5001,5000,5001,1,0,0,,Time Limit,screen,0,screen,ready,,,,,,,Eligible,Voucher
4,1753200129498,22/07/2025 16:02,1753203729498,1,22/07/2025 18:02,234742,8,task-kwp2,,48249954,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,1,trial_withFeedback,digit,9x41os,1,timedOut,,201,201,201,201,201,201,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,6,space,,,110,Eligible,Voucher
5,1753200130397,22/07/2025 16:02,1753203730397,1,22/07/2025 18:02,234742,8,task-kwp2,,48249954,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,1,trial_withFeedback,mask,zabu7l,2,response,noresponse,899,899,899,899,899,899,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,6,space,,,110,Eligible,Voucher
6,1753200131580,22/07/2025 16:02,1753203731580,1,22/07/2025 18:02,234742,8,task-kwp2,,48249954,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,2,trial_withFeedback,digit,9x41os,1,timedOut,,199,199,199,199,199,199,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,3,noresponse,,,120,Eligible,Voucher
7,1753200132480,22/07/2025 16:02,1753203732480,1,22/07/2025 18:02,234742,8,task-kwp2,,48249954,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,2,trial_withFeedback,mask,zabu7l,2,response,noresponse,901,901,901,901,901,901,1,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,3,noresponse,,,120,Eligible,Voucher
8,1753200133664,22/07/2025 16:02,1753203733664,1,22/07/2025 18:02,234742,8,task-kwp2,,48249954,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,3,trial_withFeedback,digit,9x41os,1,timedOut,,200.00000000000364,200,200.00000000000364,200.00000000000364,200,200.00000000000364,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,7,space,,,120,Eligible,Voucher
9,1753200133807,22/07/2025 16:02,1753203733807,1,22/07/2025 18:02,234742,8,task-kwp2,,48249954,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,3,trial_withFeedback,mask,zabu7l,2,response,space,144,134,144,144,134,144,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,7,space,,,120,Eligible,Voucher
10,1753200134997,22/07/2025 16:02,1753203734997,1,22/07/2025 18:02,234742,8,task-kwp2,,48249954,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,4,trial_withFeedback,digit,9x41os,1,timedOut,,200,200,200,200,200,200,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,8,space,,,140,Eligible,Voucher
