Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instr_text,Spreadsheet: digit,Spreadsheet: correct,Spreadsheet: random_blocks,Spreadsheet: random_trials,Spreadsheet: size,branch-s3b7,branch-dgjt
1,1753200703214,22/07/2025 16:11,1753204303214,1,22/07/2025 18:11,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,,,,,,Eligible,Voucher
2,1753200709821,22/07/2025 16:11,1753204309821,1,22/07/2025 18:11,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,1,instruction1,screen1,755tgm,1,continue,,6624,6613,6624,6624,6613,6624,1,0,0,,Click To Continue,next,3,object-4,instruction1,"## You will see the digits 1 to 9 in the centre of the screen, one at a time, in a random order.<br/><br/>Your task is to press the **SPACEBAR** with your preferred hand in response to each digit, **EXCEPT WHEN THE DIGIT IS A 3**, in that case you do nothing.<br/><br/>We are going to start with a practice round.",,,,,,Eligible,Voucher
3,1753200714811,22/07/2025 16:11,1753204314811,1,22/07/2025 18:11,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,1,ready,screen1,vndsmx,1,timedOut,,5001,5000,5001,5001,5000,5001,1,0,0,,Time Limit,screen,0,screen,ready,,,,,,,Eligible,Voucher
4,1753200715010,22/07/2025 16:11,1753204315010,1,22/07/2025 18:11,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,1,trial_withFeedback,digit,9x41os,1,timedOut,,200.00000000000182,200,200.00000000000182,200.00000000000182,200,200.00000000000182,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,6,space,,,110,Eligible,Voucher
5,1753200715493,22/07/2025 16:11,1753204315493,1,22/07/2025 18:11,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,1,trial_withFeedback,mask,zabu7l,2,response,space,483,467,483,483,467,483,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,6,space,,,110,Eligible,Voucher
6,1753200716677,22/07/2025 16:11,1753204316677,1,22/07/2025 18:11,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,2,trial_withFeedback,digit,9x41os,1,timedOut,,200,200,200,200,200,200,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,3,noresponse,,,100,Eligible,Voucher
7,1753200717577,22/07/2025 16:11,1753204317577,1,22/07/2025 18:11,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,2,trial_withFeedback,mask,zabu7l,2,response,noresponse,900,900,900,900,900,900,1,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,3,noresponse,,,100,Eligible,Voucher
8,1753200718760,22/07/2025 16:11,1753204318760,1,22/07/2025 18:11,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,3,trial_withFeedback,digit,9x41os,1,timedOut,,200,200,200,200,200,200,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,7,space,,,150,Eligible,Voucher
9,1753200718993,22/07/2025 16:11,1753204318993,1,22/07/2025 18:11,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,3,trial_withFeedback,mask,zabu7l,2,response,space,233,216,233,233,216,233,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,7,space,,,150,Eligible,Voucher
10,1753200720177,22/07/2025 16:12,1753204320177,1,22/07/2025 18:12,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,4,trial_withFeedback,digit,9x41os,1,timedOut,,200,200,200,200,200,200,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,8,space,,,90,Eligible,Voucher
11,1753200720498,22/07/2025 16:12,1753204320498,1,22/07/2025 18:12,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,4,trial_withFeedback,mask,zabu7l,2,response,space,321,316,321,321,316,321,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,8,space,,,90,Eligible,Voucher
12,1753200721693,22/07/2025 16:12,1753204321693,1,22/07/2025 18:12,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,5,trial_withFeedback,digit,9x41os,1,timedOut,,201.00000000000364,200,201.00000000000364,201.00000000000364,200,201.00000000000364,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,1,space,,,120,Eligible,Voucher
13,1753200721978,22/07/2025 16:12,1753204321978,1,22/07/2025 18:12,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,5,trial_withFeedback,mask,zabu7l,2,response,space,285,283,285,285,283,285,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,1,space,,,120,Eligible,Voucher
14,1753200723177,22/07/2025 16:12,1753204323177,1,22/07/2025 18:12,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,6,trial_withFeedback,digit,9x41os,1,timedOut,,200,199,200,200,199,200,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,5,space,,,120,Eligible,Voucher
15,1753200723389,22/07/2025 16:12,1753204323389,1,22/07/2025 18:12,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,6,trial_withFeedback,mask,zabu7l,2,response,space,213,201,213,213,201,213,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,5,space,,,120,Eligible,Voucher
16,1753200724536,22/07/2025 16:12,1753204324536,1,22/07/2025 18:12,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,7,trial_withFeedback,digit,9x41os,1,response,space,159,150,159,159,150,159,1,0,0,space,Keyboard Response,response,3,object-177,trial_withFeedback,,5,space,,,90,Eligible,Voucher
17,1753200726077,22/07/2025 16:12,1753204326077,1,22/07/2025 18:12,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,7,trial_withFeedback,mask,zabu7l,2,response,space,551,549,551,551,549,551,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,5,space,,,90,Eligible,Voucher
18,1753200727277,22/07/2025 16:12,1753204327277,1,22/07/2025 18:12,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,8,trial_withFeedback,digit,9x41os,1,timedOut,,200,200,200,200,200,200,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,1,space,,,110,Eligible,Voucher
19,1753200727727,22/07/2025 16:12,1753204327727,1,22/07/2025 18:12,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,8,trial_withFeedback,mask,zabu7l,2,response,space,450,449,450,450,449,450,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,1,space,,,110,Eligible,Voucher
20,1753200728927,22/07/2025 16:12,1753204328927,1,22/07/2025 18:12,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,9,trial_withFeedback,digit,9x41os,1,timedOut,,200,200,200,200,200,200,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,9,space,,,160,Eligible,Voucher
21,1753200729111,22/07/2025 16:12,1753204329111,1,22/07/2025 18:12,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,9,trial_withFeedback,mask,zabu7l,2,response,space,185,183,185,185,183,185,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,9,space,,,160,Eligible,Voucher
22,1753200730310,22/07/2025 16:12,1753204330310,1,22/07/2025 18:12,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,10,trial_withFeedback,digit,9x41os,1,timedOut,,201,201,201,201,201,201,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,3,noresponse,,,130,Eligible,Voucher
23,1753200731209,22/07/2025 16:12,1753204331209,1,22/07/2025 18:12,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,10,trial_withFeedback,mask,zabu7l,2,response,noresponse,899,899,899,899,899,899,1,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,3,noresponse,,,130,Eligible,Voucher
24,1753200732393,22/07/2025 16:12,1753204332393,1,22/07/2025 18:12,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,11,trial_withFeedback,digit,9x41os,1,timedOut,,200,200,200,200,200,200,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,4,space,,,170,Eligible,Voucher
25,1753200732918,22/07/2025 16:12,1753204332918,1,22/07/2025 18:12,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,11,trial_withFeedback,mask,zabu7l,2,response,space,525.0000000000036,517,525.0000000000036,525.0000000000036,517,525.0000000000036,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,4,space,,,170,Eligible,Voucher
26,1753200734110,22/07/2025 16:12,1753204334110,1,22/07/2025 18:12,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,12,trial_withFeedback,digit,9x41os,1,timedOut,,200,200,200,200,200,200,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,4,space,,,170,Eligible,Voucher
