Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,branch-s3b7,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: Age,Store: Undergraduate,Store: English_Fluency,Store: Sex,Store: Gender,branch-dgjt
1,1753206856243,22/07/2025 17:54,1753210456243,1,22/07/2025 19:54,234742,9,questionnaire-hpzd,,48252689,BLINDED,13861171,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,,,,,,No Voucher
7,1753206868743,22/07/2025 17:54,1753210468743,1,22/07/2025 19:54,234742,9,questionnaire-hpzd,,48252689,BLINDED,13861171,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,Page 1,qbmvn3,1,"
**What is your age? You need to be at least 17 years old and no older than 35 years to participate. Please select one option from the dropdown menu.**

",response,value,24,,17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,Age,2,object-17,1,,,,,No Voucher
8,1753206868743,22/07/2025 17:54,1753210468743,1,22/07/2025 19:54,234742,9,questionnaire-hpzd,,48252689,BLINDED,13861171,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,Page 1,qbmvn3,1,"
**What is your age? You need to be at least 17 years old and no older than 35 years to participate. Please select one option from the dropdown menu.**

",response,quantised,8,,17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,Age,2,object-17,1,,,,,No Voucher
9,1753206868744,22/07/2025 17:54,1753210468744,1,22/07/2025 19:54,234742,9,questionnaire-hpzd,,48252689,BLINDED,13861171,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,Page 1,qbmvn3,1,"
**Which gender do you identify as?**",response,value,2,,1|2|3|3,Gender,3,object-4,1,,,,,No Voucher
10,1753206868744,22/07/2025 17:54,1753210468744,1,22/07/2025 19:54,234742,9,questionnaire-hpzd,,48252689,BLINDED,13861171,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,Page 1,qbmvn3,1,"
**Which gender do you identify as?**",response,quantised,2,,1|2|3|3,Gender,3,object-4,1,,,,,No Voucher
11,1753206868744,22/07/2025 17:54,1753210468744,1,22/07/2025 19:54,234742,9,questionnaire-hpzd,,48252689,BLINDED,13861171,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,,,,Age,response,score,1,,,,,,,,,,,No Voucher
12,1753206868744,22/07/2025 17:54,1753210468744,1,22/07/2025 19:54,234742,9,questionnaire-hpzd,,48252689,BLINDED,13861171,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,,,,,info,,END,12425,,,,,,,,,,No Voucher
1,1753260090962,23/07/2025 08:41,1753263690962,1,23/07/2025 10:41,234742,9,questionnaire-hpzd,,48259993,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,,,,,info,,BEGIN,,,,,,,,,,,Voucher
7,1753260102176,23/07/2025 08:41,1753263702176,1,23/07/2025 10:41,234742,9,questionnaire-hpzd,,48259993,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,Page 1,qbmvn3,1,"
**What is your age? You need to be at least 17 years old and no older than 35 years to participate. Please select one option from the dropdown menu.**

",response,value,22,,17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,Age,2,object-17,1,,,,,Voucher
8,1753260102176,23/07/2025 08:41,1753263702176,1,23/07/2025 10:41,234742,9,questionnaire-hpzd,,48259993,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,Page 1,qbmvn3,1,"
**What is your age? You need to be at least 17 years old and no older than 35 years to participate. Please select one option from the dropdown menu.**

",response,quantised,6,,17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,Age,2,object-17,1,,,,,Voucher
