Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Randomise questionnaire elements?,Question Key,Response,randomiser-mq2e,branch-s3b7,branch-dgjt
1,1753260786881,23/07/2025 08:53,1753260786792,1,23/07/2025 09:53,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,BEGIN QUESTIONNAIRE,,probe_selfreport,Eligible,Voucher
2,1753261271005,23/07/2025 09:01,1753261270848,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 1 ,Slightly Agree,probe_selfreport,Eligible,Voucher
3,1753261271096,23/07/2025 09:01,1753261270854,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 1 -quantised,2,probe_selfreport,Eligible,Voucher
4,1753261271096,23/07/2025 09:01,1753261270854,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 2 ,Slightly Agree,probe_selfreport,Eligible,Voucher
5,1753261271096,23/07/2025 09:01,1753261270854,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 2 -quantised,2,probe_selfreport,Eligible,Voucher
6,1753261271096,23/07/2025 09:01,1753261270854,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 3 ,Slightly Disagree,probe_selfreport,Eligible,Voucher
7,1753261271096,23/07/2025 09:01,1753261270854,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 3 -quantised,3,probe_selfreport,Eligible,Voucher
8,1753261271096,23/07/2025 09:01,1753261270854,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 4 ,Slightly Disagree,probe_selfreport,Eligible,Voucher
9,1753261271096,23/07/2025 09:01,1753261270854,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 4 -quantised,3,probe_selfreport,Eligible,Voucher
10,1753261271096,23/07/2025 09:01,1753261270854,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 5,Slightly Disagree,probe_selfreport,Eligible,Voucher
11,1753261271096,23/07/2025 09:01,1753261270854,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 5-quantised,3,probe_selfreport,Eligible,Voucher
12,1753261271096,23/07/2025 09:01,1753261270854,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 6 ,Slightly Agree,probe_selfreport,Eligible,Voucher
13,1753261271096,23/07/2025 09:01,1753261270854,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 6 -quantised,2,probe_selfreport,Eligible,Voucher
14,1753261271096,23/07/2025 09:01,1753261270855,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 7,Slightly Agree,probe_selfreport,Eligible,Voucher
15,1753261271096,23/07/2025 09:01,1753261270855,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 7-quantised,2,probe_selfreport,Eligible,Voucher
16,1753261271096,23/07/2025 09:01,1753261270855,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 8 ,Definitely Agree,probe_selfreport,Eligible,Voucher
17,1753261271096,23/07/2025 09:01,1753261270855,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 8 -quantised,1,probe_selfreport,Eligible,Voucher
18,1753261271096,23/07/2025 09:01,1753261270855,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 9 ,Definitely Agree,probe_selfreport,Eligible,Voucher
19,1753261271096,23/07/2025 09:01,1753261270855,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 9 -quantised,1,probe_selfreport,Eligible,Voucher
20,1753261271096,23/07/2025 09:01,1753261270855,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 10 ,Slightly Agree,probe_selfreport,Eligible,Voucher
21,1753261271096,23/07/2025 09:01,1753261270855,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 10 -quantised,2,probe_selfreport,Eligible,Voucher
22,1753261271096,23/07/2025 09:01,1753261270855,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 11 ,Slightly Disagree,probe_selfreport,Eligible,Voucher
