Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,branch-s3b7,Manipulation: Randomise questionnaire elements?,Question Key,Response,branch-dgjt
1,1753208986576,22/07/2025 18:29,1753208986456,1,22/07/2025 19:29,234742,9,questionnaire-q1t6,,48253143,BLINDED,13861171,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,,Debrief sheet,5,selfreport_probe,Eligible,No,BEGIN QUESTIONNAIRE,,No Voucher
2,1753209021763,22/07/2025 18:30,1753209021666,1,22/07/2025 19:30,234742,9,questionnaire-q1t6,,48253143,BLINDED,13861171,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,,Debrief sheet,5,selfreport_probe,Eligible,No,END QUESTIONNAIRE,35210,No Voucher
1,1753309346791,23/07/2025 22:22,1753309346705,1,23/07/2025 23:22,234742,9,questionnaire-q1t6,,48278095,BLINDED,13867638,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.5,820x1180,820x1073,,,,Debrief sheet,5,probe_selfreport,Eligible,No,BEGIN QUESTIONNAIRE,,No Voucher
2,1753309350152,23/07/2025 22:22,1753309350065,1,23/07/2025 23:22,234742,9,questionnaire-q1t6,,48278095,BLINDED,13867638,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.5,820x1180,820x1073,,,,Debrief sheet,5,probe_selfreport,Eligible,No,END QUESTIONNAIRE,3360,No Voucher
1,1753396407961,24/07/2025 22:33,1753396407934,1,24/07/2025 23:33,234742,9,questionnaire-q1t6,,48297562,BLINDED,13872675,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x778,,,,Debrief sheet,5,selfreport_probe,Eligible,No,BEGIN QUESTIONNAIRE,,No Voucher
2,1753396411017,24/07/2025 22:33,1753396411011,1,24/07/2025 23:33,234742,9,questionnaire-q1t6,,48297562,BLINDED,13872675,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x778,,,,Debrief sheet,5,selfreport_probe,Eligible,No,END QUESTIONNAIRE,3077,No Voucher
1,1753457790943,25/07/2025 15:36,1753457790866,1,25/07/2025 16:36,234742,9,questionnaire-q1t6,,48314321,BLINDED,13875906,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 137.0.0.0,1470x956,1470x832,,,,Debrief sheet,5,selfreport_probe,Eligible,No,BEGIN QUESTIONNAIRE,,No Voucher
2,1753457793384,25/07/2025 15:36,1753457793285,1,25/07/2025 16:36,234742,9,questionnaire-q1t6,,48314321,BLINDED,13875906,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 137.0.0.0,1470x956,1470x832,,,,Debrief sheet,5,selfreport_probe,Eligible,No,END QUESTIONNAIRE,2419,No Voucher
1,1753782721022,29/07/2025 09:52,1753782721350,1,29/07/2025 10:52,234742,9,questionnaire-q1t6,,48386234,BLINDED,13889770,,rejected - time limit reached,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x551,,,,Debrief sheet,5,selfreport_probe,Eligible,No,BEGIN QUESTIONNAIRE,,No Voucher
1,1753783129182,29/07/2025 09:58,1753783129081,1,29/07/2025 10:58,234742,9,questionnaire-q1t6,,48386725,BLINDED,13889851,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1536x864,1528x738,,,,Debrief sheet,5,selfreport_probe,Eligible,No,BEGIN QUESTIONNAIRE,,No Voucher
