Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Randomise questionnaire elements?,Question Key,Response,randomiser-mq2e,branch-s3b7,branch-dgjt
1,1753262079145,23/07/2025 09:14,1753262079078,1,23/07/2025 10:14,234742,9,questionnaire-gmam,,48260510,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,Debrief sheet,5,No,BEGIN QUESTIONNAIRE,,probe_selfreport,Eligible,Voucher
2,1753262088828,23/07/2025 09:14,1753262088793,1,23/07/2025 10:14,234742,9,questionnaire-gmam,,48260510,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,Debrief sheet,5,No,END QUESTIONNAIRE,9716,probe_selfreport,Eligible,Voucher
1,1753264772083,23/07/2025 09:59,1753264773960,1,23/07/2025 10:59,234742,9,questionnaire-gmam,,48261313,BLINDED,13863654,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1272x594,,,,Debrief sheet,5,No,BEGIN QUESTIONNAIRE,,selfreport_probe,Eligible,Voucher
2,1753264795517,23/07/2025 09:59,1753264797418,1,23/07/2025 10:59,234742,9,questionnaire-gmam,,48261313,BLINDED,13863654,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1257x594,,,,Debrief sheet,5,No,END QUESTIONNAIRE,23458,selfreport_probe,Eligible,Voucher
1,1753265823421,23/07/2025 10:17,1753265823302,1,23/07/2025 11:17,234742,9,questionnaire-gmam,,48262028,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,,Debrief sheet,5,No,BEGIN QUESTIONNAIRE,,probe_selfreport,Eligible,Voucher
2,1753265858923,23/07/2025 10:17,1753265858797,1,23/07/2025 11:17,234742,9,questionnaire-gmam,,48262028,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,,Debrief sheet,5,No,END QUESTIONNAIRE,35495,probe_selfreport,Eligible,Voucher
1,1753277640261,23/07/2025 13:34,1753277640289,1,23/07/2025 14:34,234742,9,questionnaire-gmam,,48266886,BLINDED,13865096,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,,Debrief sheet,5,No,BEGIN QUESTIONNAIRE,,selfreport_probe,Eligible,Voucher
2,1753277652554,23/07/2025 13:34,1753277652624,1,23/07/2025 14:34,234742,9,questionnaire-gmam,,48266886,BLINDED,13865096,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,Debrief sheet,5,No,END QUESTIONNAIRE,12335,selfreport_probe,Eligible,Voucher
1,1753280574212,23/07/2025 14:22,1753280574213,1,23/07/2025 15:22,234742,9,questionnaire-gmam,,48267990,BLINDED,13865493,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,,Debrief sheet,5,No,BEGIN QUESTIONNAIRE,,probe_selfreport,Eligible,Voucher
2,1753280586850,23/07/2025 14:23,1753280586899,1,23/07/2025 15:23,234742,9,questionnaire-gmam,,48267990,BLINDED,13865493,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,Debrief sheet,5,No,END QUESTIONNAIRE,12686,probe_selfreport,Eligible,Voucher
1,1753352777119,24/07/2025 10:26,1753352777138,1,24/07/2025 11:26,234742,9,questionnaire-gmam,,48283717,BLINDED,13869196,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x551,,,,Debrief sheet,5,No,BEGIN QUESTIONNAIRE,,selfreport_probe,Eligible,Voucher
2,1753352819947,24/07/2025 10:26,1753352820006,1,24/07/2025 11:27,234742,9,questionnaire-gmam,,48283717,BLINDED,13869196,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1265x551,,,,Debrief sheet,5,No,END QUESTIONNAIRE,42868,selfreport_probe,Eligible,Voucher
1,1753354719089,24/07/2025 10:58,1753354808436,1,24/07/2025 12:00,234742,9,questionnaire-gmam,,48284481,BLINDED,13869316,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1504x1003,1449x879,,,,Debrief sheet,5,No,BEGIN QUESTIONNAIRE,,probe_selfreport,Eligible,Voucher
2,1753354741000,24/07/2025 10:59,1753354830401,1,24/07/2025 12:00,234742,9,questionnaire-gmam,,48284481,BLINDED,13869316,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1504x1003,1434x879,,,,Debrief sheet,5,No,END QUESTIONNAIRE,21965,probe_selfreport,Eligible,Voucher
1,1753354998596,24/07/2025 11:03,1753354911541,1,24/07/2025 12:01,234742,9,questionnaire-gmam,,48284576,BLINDED,13869340,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x585,,,,Debrief sheet,5,No,BEGIN QUESTIONNAIRE,,probe_selfreport,Eligible,Voucher
2,1753355002649,24/07/2025 11:03,1753354915644,1,24/07/2025 12:01,234742,9,questionnaire-gmam,,48284576,BLINDED,13869340,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1265x585,,,,Debrief sheet,5,No,END QUESTIONNAIRE,4102,probe_selfreport,Eligible,Voucher
1,1753388391670,24/07/2025 20:19,1753388391681,1,24/07/2025 21:19,234742,9,questionnaire-gmam,,48296335,BLINDED,13872305,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1272x564,,,,Debrief sheet,5,No,BEGIN QUESTIONNAIRE,,selfreport_probe,Eligible,Voucher
