Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,branch-s3b7,branch-dgjt,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1753261332623,23/07/2025 09:02,1753264932623,1,23/07/2025 11:02,234742,9,questionnaire-nimi,,48260330,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,BEGIN,,,,,
3,1753261340069,23/07/2025 09:02,1753264940069,1,23/07/2025 11:02,234742,9,questionnaire-nimi,,48260330,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,END,7433,,,,
1,1753265265266,23/07/2025 10:07,1753268865266,1,23/07/2025 12:07,234742,9,questionnaire-nimi,,48261655,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,BEGIN,,,,,
3,1753265268065,23/07/2025 10:07,1753268868065,1,23/07/2025 12:07,234742,9,questionnaire-nimi,,48261655,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,END,2785,,,,
1,1753279841815,23/07/2025 14:10,1753283441815,1,23/07/2025 16:10,234742,9,questionnaire-nimi,,48267545,BLINDED,13865493,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,BEGIN,,,,,
3,1753279845494,23/07/2025 14:10,1753283445494,1,23/07/2025 16:10,234742,9,questionnaire-nimi,,48267545,BLINDED,13865493,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,END,3672,,,,
1,1753308772441,23/07/2025 22:12,1753312372441,1,24/07/2025 00:12,234742,9,questionnaire-nimi,,48278036,BLINDED,13867638,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.5,820x1180,820x1073,,,0,Break Screen,2,probe_selfreport,Eligible,No Voucher,,,,,info,,BEGIN,,,,,
3,1753308827980,23/07/2025 22:13,1753312427980,1,24/07/2025 00:13,234742,9,questionnaire-nimi,,48278036,BLINDED,13867638,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.5,820x1180,820x1073,,,0,Break Screen,2,probe_selfreport,Eligible,No Voucher,,,,,info,,END,55528,,,,
1,1753354158812,24/07/2025 10:49,1753357758812,1,24/07/2025 12:49,234742,9,questionnaire-nimi,,48284188,BLINDED,13869316,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1504x1003,1449x879,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,BEGIN,,,,,
3,1753354171931,24/07/2025 10:49,1753357771931,1,24/07/2025 12:49,234742,9,questionnaire-nimi,,48284188,BLINDED,13869316,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1504x1003,1449x879,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,END,13111,,,,
1,1753354008885,24/07/2025 10:46,1753357608885,1,24/07/2025 12:46,234742,9,questionnaire-nimi,,48284200,BLINDED,13869340,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x585,,,0,Break Screen,2,probe_selfreport,Eligible,Voucher,,,,,info,,BEGIN,,,,,
