origID,age,gender
13860366,22,woman
13860618,22,woman
13861171,24,woman
13862736,22,woman
13863654,22,woman
13863726,21,woman
13865096,19,woman
13865493,29,woman
13867638,22,woman
13869196,22,woman
13869316,21,woman
13869340,22,man
13872305,22,woman
13872675,21,woman
13873740,23,woman
13875906,23,woman
13875978,22,woman
13876620,22,woman
13876896,22,woman
13878596,22,man
13878626,25,woman
13880418,25,woman
13881637,26,woman
13883538,18,woman
13884078,28,woman
13884260,25,woman
13884574,21,man
13884575,22,woman
13886867,22,woman
13889770,22,woman
13889851,25,woman
13891246,26,woman
13892982,24,woman
13898927,25,woman
13898999,23,man
13899297,20,man
13899320,31,man
13899490,20,man
13899548,30,man
13900380,30,man
13902549,23,woman
13903684,23,woman
13903970,22,man
13904200,30,man
13904660,21,man
13906995,20,woman
13907028,22,man
13907280,21,woman
13907333,33,woman
13907670,22,woman
13907689,25,woman
13908207,19,woman
13909522,19,man
13909736,19,man
13909813,20,woman
13911092,22,man
13912295,19,non-binary
13914804,18,man
13919253,22,woman
13919855,22,woman
13920088,22,woman
13920225,25,man
13921803,25,woman
13924121,33,woman
13925040,29,woman
13925905,26,woman
13926988,23,woman
13929615,21,man
13933305,20,woman
13935420,21,woman
13942867,33,woman
13944689,31,woman
13953935,34,woman
13934025,34,man
13955495,23,woman
13963720,32,woman
13963957,21,woman
