Participant Private ID,Tree Node Key,Task Name,Task Version,Current Spreadsheet,Trial Number,Display,Screen,Response Type,Response,Tag,Reaction Time,Spreadsheet: digit,Spreadsheet: correct,Spreadsheet: size,randomiser-mq2e
13955495,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,3,probe,screen1,response,NA,on task,2240.300000000003,NA,NA,NA,probe_selfreport
13955495,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,3,probe,ready,timedOut,NA,NA,5001.179999999993,NA,NA,NA,probe_selfreport
13955495,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,4,probe,screen1,response,NA,tune out,3690.140000000014,NA,NA,NA,probe_selfreport
13955495,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,4,probe,ready,timedOut,NA,NA,5001.619999999995,NA,NA,NA,probe_selfreport
13955495,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,5,probe,screen1,response,NA,tune out,3351.8399999999965,NA,NA,NA,probe_selfreport
13955495,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,5,probe,ready,timedOut,NA,NA,5001.579999999987,NA,NA,NA,probe_selfreport
13955495,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,6,probe,screen1,response,NA,tune out,1406.3800000000049,NA,NA,NA,probe_selfreport
13955495,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,6,probe,ready,timedOut,NA,NA,5002.600000000006,NA,NA,NA,probe_selfreport
13955495,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,7,probe,screen1,response,NA,tune out,940.1199999999952,NA,NA,NA,probe_selfreport
13955495,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,7,probe,ready,timedOut,NA,NA,5000.619999999995,NA,NA,NA,probe_selfreport
13955495,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,8,probe,screen1,response,NA,space out,1659.7600000000675,NA,NA,NA,probe_selfreport
13955495,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,8,probe,ready,timedOut,NA,NA,5001.039999999979,NA,NA,NA,probe_selfreport
13955495,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,9,probe,screen1,response,NA,tune out,5243.080000000016,NA,NA,NA,probe_selfreport
13955495,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,9,probe,ready,timedOut,NA,NA,5001.700000000012,NA,NA,NA,probe_selfreport
13955495,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,10,probe,screen1,response,NA,space out,2062.5199999999604,NA,NA,NA,probe_selfreport
13955495,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,10,probe,ready,timedOut,NA,NA,5001.340000000026,NA,NA,NA,probe_selfreport
13955495,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,11,probe,screen1,response,NA,space out,3034.7399999999907,NA,NA,NA,probe_selfreport
13955495,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,11,probe,ready,timedOut,NA,NA,5001.760000000009,NA,NA,NA,probe_selfreport
13955495,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,12,probe,screen1,response,NA,space out,1650.9799999999814,NA,NA,NA,probe_selfreport
13955495,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,12,probe,ready,timedOut,NA,NA,5002.140000000014,NA,NA,NA,probe_selfreport
13955495,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,13,probe,screen1,response,NA,space out,1540.9400000000023,NA,NA,NA,probe_selfreport
13955495,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,13,probe,ready,timedOut,NA,NA,5002.200000000012,NA,NA,NA,probe_selfreport
13955495,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,14,probe,screen1,response,NA,tune out,1436.679999999993,NA,NA,NA,probe_selfreport
13955495,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,14,probe,ready,timedOut,NA,NA,5000.099999999977,NA,NA,NA,probe_selfreport
13963957,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,3,probe,screen1,response,NA,on task,1713.7999999999884,NA,NA,NA,probe_selfreport
13963957,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,3,probe,ready,timedOut,NA,NA,5002.799999976152,NA,NA,NA,probe_selfreport
13963957,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,4,probe,screen1,response,NA,on task,3180.9999999642314,NA,NA,NA,probe_selfreport
13963957,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,4,probe,ready,timedOut,NA,NA,5002.699999964243,NA,NA,NA,probe_selfreport
13963957,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,5,probe,screen1,response,NA,on task,1484.5999999761698,NA,NA,NA,probe_selfreport
13963957,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,5,probe,ready,timedOut,NA,NA,5003.599999964237,NA,NA,NA,probe_selfreport
