Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,Randomise questionnaire elements?,Question Key,Response
1,1740490376504,25/02/2025 13:32:56,1740490376290,0,25/02/2025 13:32:56,201675,16,questionnaire-3rlg,,43797599,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,,Debrief sheet,4,Digital A,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
2,1740490401815,25/02/2025 13:33:21,1740490401793,0,25/02/2025 13:33:21,201675,16,questionnaire-3rlg,,43797599,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Consent,,,Debrief sheet,4,Digital A,Consent,Over 17,English as 1st language,No,END QUESTIONNAIRE,25503
1,1740739009280,28/02/2025 10:36:49,1740739009238,0,28/02/2025 10:36:49,201675,16,questionnaire-3rlg,,43915583,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,,Debrief sheet,4,Physical B,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
2,1740739026269,28/02/2025 10:37:06,1740739026248,0,28/02/2025 10:37:06,201675,16,questionnaire-3rlg,,43915583,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Consent,,,Debrief sheet,4,Physical B,Consent,Over 17,English as 1st language,No,END QUESTIONNAIRE,17011
1,1740749134464,28/02/2025 13:25:34,1740749134397,0,28/02/2025 13:25:34,201675,16,questionnaire-3rlg,,43920759,BLIND,12533360,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Consent,,,Debrief sheet,4,Digital B,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
2,1740749145299,28/02/2025 13:25:45,1740749145268,0,28/02/2025 13:25:45,201675,16,questionnaire-3rlg,,43920759,BLIND,12533360,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Consent,,,Debrief sheet,4,Digital B,Consent,Over 17,English as 1st language,No,END QUESTIONNAIRE,10871
1,1741088480249,04/03/2025 11:41:20,1741088480180,0,04/03/2025 11:41:20,201675,16,questionnaire-3rlg,,44039722,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,,Debrief sheet,4,Physical A,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
2,1741088483762,04/03/2025 11:41:23,1741088483751,0,04/03/2025 11:41:23,201675,16,questionnaire-3rlg,,44039722,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,906x919,Consent,,,Debrief sheet,4,Physical A,Consent,Over 17,English as 1st language,No,END QUESTIONNAIRE,3571
1,1741098374224,04/03/2025 14:26:14,1741098374136,0,04/03/2025 14:26:14,201675,16,questionnaire-3rlg,,44047185,BLIND,12533363,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Consent,,,Debrief sheet,4,Digital A,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
2,1741098434301,04/03/2025 14:27:14,1741098434246,0,04/03/2025 14:27:14,201675,16,questionnaire-3rlg,,44047185,BLIND,12533363,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Consent,,,Debrief sheet,4,Digital A,Consent,Over 17,English as 1st language,No,END QUESTIONNAIRE,60110
1,1741098731990,04/03/2025 14:32:11,1741098731921,0,04/03/2025 14:32:11,201675,16,questionnaire-3rlg,,44047526,BLIND,12533362,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,,Debrief sheet,4,Digital B,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
