Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,Randomise questionnaire elements?,Question Key,Response
1,1740488624565,25/02/2025 13:03:44,1740488624502,0,25/02/2025 13:03:44,201675,16,questionnaire-b846,,43796345,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,,Consent form,5,Digital A,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
2,1740488641917,25/02/2025 13:04:01,1740488641894,0,25/02/2025 13:04:01,201675,16,questionnaire-b846,,43796345,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Consent,,,Consent form,5,Digital A,Consent,Over 17,English as 1st language,No,consent1,1
3,1740488641983,25/02/2025 13:04:01,1740488641895,0,25/02/2025 13:04:01,201675,16,questionnaire-b846,,43796345,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Consent,,,Consent form,5,Digital A,Consent,Over 17,English as 1st language,No,consent2,1
4,1740488641983,25/02/2025 13:04:01,1740488641895,0,25/02/2025 13:04:01,201675,16,questionnaire-b846,,43796345,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Consent,,,Consent form,5,Digital A,Consent,Over 17,English as 1st language,No,consent3,1
5,1740488641983,25/02/2025 13:04:01,1740488641895,0,25/02/2025 13:04:01,201675,16,questionnaire-b846,,43796345,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Consent,,,Consent form,5,Digital A,Consent,Over 17,English as 1st language,No,consent4,1
6,1740488641983,25/02/2025 13:04:01,1740488641895,0,25/02/2025 13:04:01,201675,16,questionnaire-b846,,43796345,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Consent,,,Consent form,5,Digital A,Consent,Over 17,English as 1st language,No,consent5,1
7,1740488641983,25/02/2025 13:04:01,1740488641895,0,25/02/2025 13:04:01,201675,16,questionnaire-b846,,43796345,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Consent,,,Consent form,5,Digital A,Consent,Over 17,English as 1st language,No,consent6,1
8,1740488641983,25/02/2025 13:04:01,1740488641895,0,25/02/2025 13:04:01,201675,16,questionnaire-b846,,43796345,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Consent,,,Consent form,5,Digital A,Consent,Over 17,English as 1st language,No,consent7,1
9,1740488641983,25/02/2025 13:04:01,1740488641895,0,25/02/2025 13:04:01,201675,16,questionnaire-b846,,43796345,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Consent,,,Consent form,5,Digital A,Consent,Over 17,English as 1st language,No,END QUESTIONNAIRE,17393
1,1740737423221,28/02/2025 10:10:23,1740737423158,0,28/02/2025 10:10:23,201675,16,questionnaire-b846,,43914968,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,,Consent form,5,Physical B,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
2,1740737431655,28/02/2025 10:10:31,1740737431638,0,28/02/2025 10:10:31,201675,16,questionnaire-b846,,43914968,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Consent,,,Consent form,5,Physical B,Consent,Over 17,English as 1st language,No,consent1,1
3,1740737431727,28/02/2025 10:10:31,1740737431639,0,28/02/2025 10:10:31,201675,16,questionnaire-b846,,43914968,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Consent,,,Consent form,5,Physical B,Consent,Over 17,English as 1st language,No,consent2,1
4,1740737431727,28/02/2025 10:10:31,1740737431639,0,28/02/2025 10:10:31,201675,16,questionnaire-b846,,43914968,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Consent,,,Consent form,5,Physical B,Consent,Over 17,English as 1st language,No,consent3,1
5,1740737431727,28/02/2025 10:10:31,1740737431639,0,28/02/2025 10:10:31,201675,16,questionnaire-b846,,43914968,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Consent,,,Consent form,5,Physical B,Consent,Over 17,English as 1st language,No,consent4,1
6,1740737431727,28/02/2025 10:10:31,1740737431639,0,28/02/2025 10:10:31,201675,16,questionnaire-b846,,43914968,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Consent,,,Consent form,5,Physical B,Consent,Over 17,English as 1st language,No,consent5,1
7,1740737431727,28/02/2025 10:10:31,1740737431639,0,28/02/2025 10:10:31,201675,16,questionnaire-b846,,43914968,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Consent,,,Consent form,5,Physical B,Consent,Over 17,English as 1st language,No,consent6,1
8,1740737431727,28/02/2025 10:10:31,1740737431639,0,28/02/2025 10:10:31,201675,16,questionnaire-b846,,43914968,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Consent,,,Consent form,5,Physical B,Consent,Over 17,English as 1st language,No,consent7,1
9,1740737431727,28/02/2025 10:10:31,1740737431639,0,28/02/2025 10:10:31,201675,16,questionnaire-b846,,43914968,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Consent,,,Consent form,5,Physical B,Consent,Over 17,English as 1st language,No,END QUESTIONNAIRE,8481
1,1740747670812,28/02/2025 13:01:10,1740747670750,0,28/02/2025 13:01:10,201675,16,questionnaire-b846,,43919795,BLIND,12533360,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Consent,,,Consent form,5,Digital B,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
2,1740747680608,28/02/2025 13:01:20,1740747680584,0,28/02/2025 13:01:20,201675,16,questionnaire-b846,,43919795,BLIND,12533360,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Consent,,,Consent form,5,Digital B,Consent,Over 17,English as 1st language,No,consent1,1
3,1740747680656,28/02/2025 13:01:20,1740747680585,0,28/02/2025 13:01:20,201675,16,questionnaire-b846,,43919795,BLIND,12533360,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Consent,,,Consent form,5,Digital B,Consent,Over 17,English as 1st language,No,consent2,1
4,1740747680656,28/02/2025 13:01:20,1740747680585,0,28/02/2025 13:01:20,201675,16,questionnaire-b846,,43919795,BLIND,12533360,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Consent,,,Consent form,5,Digital B,Consent,Over 17,English as 1st language,No,consent3,1
5,1740747680656,28/02/2025 13:01:20,1740747680585,0,28/02/2025 13:01:20,201675,16,questionnaire-b846,,43919795,BLIND,12533360,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Consent,,,Consent form,5,Digital B,Consent,Over 17,English as 1st language,No,consent4,1
6,1740747680656,28/02/2025 13:01:20,1740747680585,0,28/02/2025 13:01:20,201675,16,questionnaire-b846,,43919795,BLIND,12533360,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Consent,,,Consent form,5,Digital B,Consent,Over 17,English as 1st language,No,consent5,1
7,1740747680656,28/02/2025 13:01:20,1740747680585,0,28/02/2025 13:01:20,201675,16,questionnaire-b846,,43919795,BLIND,12533360,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Consent,,,Consent form,5,Digital B,Consent,Over 17,English as 1st language,No,consent6,1
8,1740747680656,28/02/2025 13:01:20,1740747680585,0,28/02/2025 13:01:20,201675,16,questionnaire-b846,,43919795,BLIND,12533360,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Consent,,,Consent form,5,Digital B,Consent,Over 17,English as 1st language,No,consent7,1
9,1740747680656,28/02/2025 13:01:20,1740747680585,0,28/02/2025 13:01:20,201675,16,questionnaire-b846,,43919795,BLIND,12533360,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Consent,,,Consent form,5,Digital B,Consent,Over 17,English as 1st language,No,END QUESTIONNAIRE,9835
1,1741086171095,04/03/2025 11:02:51,1741086171022,0,04/03/2025 11:02:51,201675,16,questionnaire-b846,,44038062,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,,Consent form,5,Physical A,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
2,1741086182550,04/03/2025 11:03:02,1741086182517,0,04/03/2025 11:03:02,201675,16,questionnaire-b846,,44038062,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,906x919,Consent,,,Consent form,5,Physical A,Consent,Over 17,English as 1st language,No,consent1,1
3,1741086182622,04/03/2025 11:03:02,1741086182518,0,04/03/2025 11:03:02,201675,16,questionnaire-b846,,44038062,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,906x919,Consent,,,Consent form,5,Physical A,Consent,Over 17,English as 1st language,No,consent2,1
4,1741086182622,04/03/2025 11:03:02,1741086182518,0,04/03/2025 11:03:02,201675,16,questionnaire-b846,,44038062,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,906x919,Consent,,,Consent form,5,Physical A,Consent,Over 17,English as 1st language,No,consent3,1
5,1741086182622,04/03/2025 11:03:02,1741086182518,0,04/03/2025 11:03:02,201675,16,questionnaire-b846,,44038062,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,906x919,Consent,,,Consent form,5,Physical A,Consent,Over 17,English as 1st language,No,consent4,1
6,1741086182622,04/03/2025 11:03:02,1741086182518,0,04/03/2025 11:03:02,201675,16,questionnaire-b846,,44038062,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,906x919,Consent,,,Consent form,5,Physical A,Consent,Over 17,English as 1st language,No,consent5,1
7,1741086182622,04/03/2025 11:03:02,1741086182518,0,04/03/2025 11:03:02,201675,16,questionnaire-b846,,44038062,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,906x919,Consent,,,Consent form,5,Physical A,Consent,Over 17,English as 1st language,No,consent6,1
8,1741086182622,04/03/2025 11:03:02,1741086182518,0,04/03/2025 11:03:02,201675,16,questionnaire-b846,,44038062,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,906x919,Consent,,,Consent form,5,Physical A,Consent,Over 17,English as 1st language,No,consent7,1
9,1741086182622,04/03/2025 11:03:02,1741086182519,0,04/03/2025 11:03:02,201675,16,questionnaire-b846,,44038062,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,906x919,Consent,,,Consent form,5,Physical A,Consent,Over 17,English as 1st language,No,END QUESTIONNAIRE,11497
1,1741096872849,04/03/2025 14:01:12,1741096872772,0,04/03/2025 14:01:12,201675,16,questionnaire-b846,,44045732,BLIND,12533363,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Consent,,,Consent form,5,Digital A,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
2,1741096883965,04/03/2025 14:01:23,1741096883931,0,04/03/2025 14:01:23,201675,16,questionnaire-b846,,44045732,BLIND,12533363,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Consent,,,Consent form,5,Digital A,Consent,Over 17,English as 1st language,No,consent1,1
3,1741096884031,04/03/2025 14:01:24,1741096883932,0,04/03/2025 14:01:23,201675,16,questionnaire-b846,,44045732,BLIND,12533363,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Consent,,,Consent form,5,Digital A,Consent,Over 17,English as 1st language,No,consent2,1
4,1741096884031,04/03/2025 14:01:24,1741096883932,0,04/03/2025 14:01:23,201675,16,questionnaire-b846,,44045732,BLIND,12533363,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Consent,,,Consent form,5,Digital A,Consent,Over 17,English as 1st language,No,consent3,1
5,1741096884031,04/03/2025 14:01:24,1741096883932,0,04/03/2025 14:01:23,201675,16,questionnaire-b846,,44045732,BLIND,12533363,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Consent,,,Consent form,5,Digital A,Consent,Over 17,English as 1st language,No,consent4,1
6,1741096884031,04/03/2025 14:01:24,1741096883932,0,04/03/2025 14:01:23,201675,16,questionnaire-b846,,44045732,BLIND,12533363,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Consent,,,Consent form,5,Digital A,Consent,Over 17,English as 1st language,No,consent5,1
7,1741096884031,04/03/2025 14:01:24,1741096883932,0,04/03/2025 14:01:23,201675,16,questionnaire-b846,,44045732,BLIND,12533363,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Consent,,,Consent form,5,Digital A,Consent,Over 17,English as 1st language,No,consent6,1
8,1741096884031,04/03/2025 14:01:24,1741096883932,0,04/03/2025 14:01:23,201675,16,questionnaire-b846,,44045732,BLIND,12533363,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Consent,,,Consent form,5,Digital A,Consent,Over 17,English as 1st language,No,consent7,1
9,1741096884031,04/03/2025 14:01:24,1741096883932,0,04/03/2025 14:01:23,201675,16,questionnaire-b846,,44045732,BLIND,12533363,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Consent,,,Consent form,5,Digital A,Consent,Over 17,English as 1st language,No,END QUESTIONNAIRE,11160
1,1741096916479,04/03/2025 14:01:56,1741096916430,0,04/03/2025 14:01:56,201675,16,questionnaire-b846,,44045769,BLIND,12533362,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,,Consent form,5,Digital B,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
2,1741096926826,04/03/2025 14:02:06,1741096926808,0,04/03/2025 14:02:06,201675,16,questionnaire-b846,,44045769,BLIND,12533362,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,906x919,Consent,,,Consent form,5,Digital B,Consent,Over 17,English as 1st language,No,consent1,1
