Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,Randomise questionnaire elements?,Question Key,Response
1,1740488643110,25/02/2025 13:04:03,1740488643026,0,25/02/2025 13:04:03,201675,16,questionnaire-g99h,,43796353,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,,Demographics Questionnaire,5,Digital A,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
2,1740488653290,25/02/2025 13:04:13,1740488653269,0,25/02/2025 13:04:13,201675,16,questionnaire-g99h,,43796353,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,,Demographics Questionnaire,5,Digital A,Consent,Over 17,English as 1st language,No,Age,19
3,1740488653339,25/02/2025 13:04:13,1740488653270,0,25/02/2025 13:04:13,201675,16,questionnaire-g99h,,43796353,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,,Demographics Questionnaire,5,Digital A,Consent,Over 17,English as 1st language,No,gender,Woman
4,1740488653339,25/02/2025 13:04:13,1740488653270,0,25/02/2025 13:04:13,201675,16,questionnaire-g99h,,43796353,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,,Demographics Questionnaire,5,Digital A,Consent,Over 17,English as 1st language,No,gender-quantised,2
5,1740488653339,25/02/2025 13:04:13,1740488653270,0,25/02/2025 13:04:13,201675,16,questionnaire-g99h,,43796353,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,,Demographics Questionnaire,5,Digital A,Consent,Over 17,English as 1st language,No,gender-text,
6,1740488653339,25/02/2025 13:04:13,1740488653270,0,25/02/2025 13:04:13,201675,16,questionnaire-g99h,,43796353,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,,Demographics Questionnaire,5,Digital A,Consent,Over 17,English as 1st language,No,English,Yes
7,1740488653339,25/02/2025 13:04:13,1740488653270,0,25/02/2025 13:04:13,201675,16,questionnaire-g99h,,43796353,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,,Demographics Questionnaire,5,Digital A,Consent,Over 17,English as 1st language,No,English-quantised,1
8,1740488653339,25/02/2025 13:04:13,1740488653270,0,25/02/2025 13:04:13,201675,16,questionnaire-g99h,,43796353,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,,Demographics Questionnaire,5,Digital A,Consent,Over 17,English as 1st language,No,END QUESTIONNAIRE,10244
1,1740737432493,28/02/2025 10:10:32,1740737432428,0,28/02/2025 10:10:32,201675,16,questionnaire-g99h,,43914973,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,,Demographics Questionnaire,5,Physical B,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
2,1740737440699,28/02/2025 10:10:40,1740737440677,0,28/02/2025 10:10:40,201675,16,questionnaire-g99h,,43914973,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,,Demographics Questionnaire,5,Physical B,Consent,Over 17,English as 1st language,No,Age,18
