Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,Randomise questionnaire elements?,Question Key,Response
1,1740488529586,25/02/2025 13:02:09,1740488529523,0,25/02/2025 13:02:09,201675,16,questionnaire-leba,,43796295,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,,Info sheet,4,Digital A,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
2,1740488623914,25/02/2025 13:03:43,1740488623886,0,25/02/2025 13:03:43,201675,16,questionnaire-leba,,43796295,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Consent,,,Info sheet,4,Digital A,Consent,Over 17,English as 1st language,No,END QUESTIONNAIRE,94363
1,1740737415817,28/02/2025 10:10:15,1740737415748,0,28/02/2025 10:10:15,201675,16,questionnaire-leba,,43914964,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,,Info sheet,4,Physical B,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
2,1740737422429,28/02/2025 10:10:22,1740737422396,0,28/02/2025 10:10:22,201675,16,questionnaire-leba,,43914964,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Consent,,,Info sheet,4,Physical B,Consent,Over 17,English as 1st language,No,END QUESTIONNAIRE,6648
1,1740747648832,28/02/2025 13:00:48,1740747648737,0,28/02/2025 13:00:48,201675,16,questionnaire-leba,,43919784,BLIND,12533360,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Consent,,,Info sheet,4,Digital B,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
2,1740747670170,28/02/2025 13:01:10,1740747670145,0,28/02/2025 13:01:10,201675,16,questionnaire-leba,,43919784,BLIND,12533360,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Consent,,,Info sheet,4,Digital B,Consent,Over 17,English as 1st language,No,END QUESTIONNAIRE,21408
1,1741086162013,04/03/2025 11:02:42,1741086161969,0,04/03/2025 11:02:41,201675,16,questionnaire-leba,,44038052,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,,Info sheet,4,Physical A,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
2,1741086170220,04/03/2025 11:02:50,1741086170197,0,04/03/2025 11:02:50,201675,16,questionnaire-leba,,44038052,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,906x919,Consent,,,Info sheet,4,Physical A,Consent,Over 17,English as 1st language,No,END QUESTIONNAIRE,8228
1,1741096835754,04/03/2025 14:00:35,1741096835696,0,04/03/2025 14:00:35,201675,16,questionnaire-leba,,44045710,BLIND,12533363,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Consent,,,Info sheet,4,Digital A,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
2,1741096871606,04/03/2025 14:01:11,1741096871571,0,04/03/2025 14:01:11,201675,16,questionnaire-leba,,44045710,BLIND,12533363,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Consent,,,Info sheet,4,Digital A,Consent,Over 17,English as 1st language,No,END QUESTIONNAIRE,35875
1,1741096889225,04/03/2025 14:01:29,1741096889166,0,04/03/2025 14:01:29,201675,16,questionnaire-leba,,44045740,BLIND,12533362,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,,Info sheet,4,Digital B,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
2,1741096915836,04/03/2025 14:01:55,1741096915816,0,04/03/2025 14:01:55,201675,16,questionnaire-leba,,44045740,BLIND,12533362,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,906x919,Consent,,,Info sheet,4,Digital B,Consent,Over 17,English as 1st language,No,END QUESTIONNAIRE,26650
1,1741190510770,05/03/2025 16:01:50,1741190510677,0,05/03/2025 16:01:50,201675,16,questionnaire-leba,,44093284,BLIND,12533364,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,,Info sheet,4,Physical A,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
2,1741190638413,05/03/2025 16:03:58,1741190638395,0,05/03/2025 16:03:58,201675,16,questionnaire-leba,,44093284,BLIND,12533364,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Consent,,,Info sheet,4,Physical A,Consent,Over 17,English as 1st language,No,END QUESTIONNAIRE,127718
1,1741194332229,05/03/2025 17:05:32,1741194332067,0,05/03/2025 17:05:32,201675,16,questionnaire-leba,,44096478,BLIND,12533365,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Consent,,,Info sheet,4,Physical B,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
2,1741194341130,05/03/2025 17:05:41,1741194341107,0,05/03/2025 17:05:41,201675,16,questionnaire-leba,,44096478,BLIND,12533365,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1903x945,Consent,,,Info sheet,4,Physical B,Consent,Over 17,English as 1st language,No,END QUESTIONNAIRE,9040
1,1741267445332,06/03/2025 13:24:05,1741267445279,0,06/03/2025 13:24:05,201675,16,questionnaire-leba,,44128544,BLIND,12533366,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,929x917,Consent,,,Info sheet,4,Digital A,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
2,1741267450796,06/03/2025 13:24:10,1741267450783,0,06/03/2025 13:24:10,201675,16,questionnaire-leba,,44128544,BLIND,12533366,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,912x917,Consent,,,Info sheet,4,Digital A,Consent,Over 17,English as 1st language,No,END QUESTIONNAIRE,5504
1,1741348419034,07/03/2025 11:53:39,1741348418994,0,07/03/2025 11:53:38,201675,16,questionnaire-leba,,44161120,BLIND,12533367,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1912x954,Consent,,,Info sheet,4,Digital B,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
2,1741348537503,07/03/2025 11:55:37,1741348537469,0,07/03/2025 11:55:37,201675,16,questionnaire-leba,,44161120,BLIND,12533367,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1897x954,Consent,,,Info sheet,4,Digital B,Consent,Over 17,English as 1st language,No,END QUESTIONNAIRE,118475
1,1741352257204,07/03/2025 12:57:37,1741352257140,0,07/03/2025 12:57:37,201675,16,questionnaire-leba,,44163889,BLIND,12533368,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,921x919,Consent,,,Info sheet,4,Physical B,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
2,1741352361594,07/03/2025 12:59:21,1741352361558,0,07/03/2025 12:59:21,201675,16,questionnaire-leba,,44163889,BLIND,12533368,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1897x954,Consent,,,Info sheet,4,Physical B,Consent,Over 17,English as 1st language,No,END QUESTIONNAIRE,104418
1,1741352308844,07/03/2025 12:58:28,1741352308795,0,07/03/2025 12:58:28,201675,16,questionnaire-leba,,44163952,BLIND,12533369,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1912x954,Consent,,,Info sheet,4,Physical A,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
2,1741352404643,07/03/2025 13:00:04,1741352404618,0,07/03/2025 13:00:04,201675,16,questionnaire-leba,,44163952,BLIND,12533369,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1897x954,Consent,,,Info sheet,4,Physical A,Consent,Over 17,English as 1st language,No,END QUESTIONNAIRE,95823
1,1741356412285,07/03/2025 14:06:52,1741356412218,0,07/03/2025 14:06:52,201675,16,questionnaire-leba,,44169022,BLIND,12533370,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Consent,,,Info sheet,4,Digital A,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
2,1741356506029,07/03/2025 14:08:26,1741356506004,0,07/03/2025 14:08:26,201675,16,questionnaire-leba,,44169022,BLIND,12533370,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1903x945,Consent,,,Info sheet,4,Digital A,Consent,Over 17,English as 1st language,No,END QUESTIONNAIRE,93786
1,1741356426654,07/03/2025 14:07:06,1741356426586,0,07/03/2025 14:07:06,201675,16,questionnaire-leba,,44169035,BLIND,12533371,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Consent,,,Info sheet,4,Digital B,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
2,1741356496937,07/03/2025 14:08:16,1741356496921,0,07/03/2025 14:08:16,201675,16,questionnaire-leba,,44169035,BLIND,12533371,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1903x945,Consent,,,Info sheet,4,Digital B,Consent,Over 17,English as 1st language,No,END QUESTIONNAIRE,70335
1,1741791715197,12/03/2025 15:01:55,1741791715120,0,12/03/2025 15:01:55,201675,16,questionnaire-leba,,44336430,BLIND,12533373,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Consent,,,Info sheet,4,Physical A,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
2,1741791723714,12/03/2025 15:02:03,1741791723674,0,12/03/2025 15:02:03,201675,16,questionnaire-leba,,44336430,BLIND,12533373,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1903x945,Consent,,,Info sheet,4,Physical A,Consent,Over 17,English as 1st language,No,END QUESTIONNAIRE,8555
1,1741791772986,12/03/2025 15:02:52,1741791772924,0,12/03/2025 15:02:52,201675,16,questionnaire-leba,,44336487,BLIND,12533374,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Consent,,,Info sheet,4,Digital B,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
2,1741791822317,12/03/2025 15:03:42,1741791822307,0,12/03/2025 15:03:42,201675,16,questionnaire-leba,,44336487,BLIND,12533374,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1903x945,Consent,,,Info sheet,4,Digital B,Consent,Over 17,English as 1st language,No,END QUESTIONNAIRE,49383
1,1741791785158,12/03/2025 15:03:05,1741791785102,0,12/03/2025 15:03:05,201675,16,questionnaire-leba,,44336502,BLIND,12533372,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1912x954,Consent,,,Info sheet,4,Physical B,Consent,Over 17,English as 1st language,No,BEGIN QUESTIONNAIRE,
