Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Spreadsheet: blockType,Manipulation: Spreadsheet
1,1740737593652,28/02/2025 10:13:13,1740737593652,0,28/02/2025 10:13:13,201675,16,task-acau,,43915044,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Physical B,Consent,Over 17,English as 1st language,Physical B,Physical B,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1740737595292,28/02/2025 10:13:15,1740737595292,0,28/02/2025 10:13:15,201675,16,task-acau,,43915044,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Physical B,Consent,Over 17,English as 1st language,Physical B,Physical B,1,start,Welcome,vo3k26,1,continue,,1655.0740000014903,1650.074,1655.0740000014903,1655.0740000014903,1650.074,1655.0740000014903,1,1655.0740000014903,0,0,,Click To Continue,Continue Button,2,object-14,start,,,,,,,,,,,,,,,,,,,,,,
3,1740737619676,28/02/2025 10:13:39,1740737619676,0,28/02/2025 10:13:39,201675,16,task-acau,,43915044,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Physical B,Consent,Over 17,English as 1st language,Physical B,Physical B,1,instr_passages,Text,zppu2h,1,response,space,24388.800000002237,24383,24388.800000002237,24388.800000002237,24383,24388.800000002237,1,24388.800000002237,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,,"Before you begin...<br><br>Please raise your hand and ask a researcher for the Set B paper task. Ensure you have passages 2, 4, 6 and 8 before continuing.<br><br>Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,,
4,1740737635372,28/02/2025 10:13:55,1740737635372,0,28/02/2025 10:13:55,201675,16,task-acau,,43915044,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Physical B,Consent,Over 17,English as 1st language,Physical B,Physical B,2,instr_passages,Text,zppu2h,1,response,space,15701.599999999256,15700.099999999999,15701.599999999256,15701.599999999256,15700.099999999999,15701.599999999256,1,15701.599999999256,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,1,"TASK INSTRUCTIONS - PLEASE READ CAREFULLY! The goal of this study is to learn how mind wandering is affected by task length, social media use and reading medium. <br><br> Mind wandering is a term used to describe what occurs when your attention wanders from a task. Sometimes when your mind wanders, you begin thinking about personal events or concerns rather than your task. At other times, your mind can wander because you are bored or tired and you don’t really know what you’re thinking about; all you know is that you are no longer thinking about your task.<br><br>Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,,
5,1740737643715,28/02/2025 10:14:03,1740737643715,0,28/02/2025 10:14:03,201675,16,task-acau,,43915044,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Physical B,Consent,Over 17,English as 1st language,Physical B,Physical B,3,instr_passages,Text,zppu2h,1,response,space,8345.300000000003,8333.100000000006,8345.300000000003,8345.300000000003,8333.100000000006,8345.300000000003,1,8345.300000000003,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,2,"Importantly, mind wandering can occur either because you INTENTIONALLY decided to think about things that are unrelated to the task, OR because your thoughts UNINTENTIONALLY drifted away to task-unrelated thoughts, despite your best intentions to focus on the task. <br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,instr_passages,
6,1740737651931,28/02/2025 10:14:11,1740737651931,0,28/02/2025 10:14:11,201675,16,task-acau,,43915044,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Physical B,Consent,Over 17,English as 1st language,Physical B,Physical B,4,instr_passages,Text,zppu2h,1,response,space,8228.399999999252,8216.799999999996,8228.399999999252,8228.399999999252,8216.799999999996,8228.399999999252,1,8228.399999999252,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,3,"Being ON TASK means that you were focused on completing the task and were not thinking about anything unrelated to the task. Some examples of ON TASK thoughts include thoughts about your performance on the task, thoughts about the digits, or thoughts about your response. <br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,instr_passages,
7,1740737661195,28/02/2025 10:14:21,1740737661195,0,28/02/2025 10:14:21,201675,16,task-acau,,43915044,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Physical B,Consent,Over 17,English as 1st language,Physical B,Physical B,5,instr_passages,Text,zppu2h,1,response,space,9275.599999999256,9266.700000000004,9275.599999999256,9275.599999999256,9266.700000000004,9275.599999999256,1,9275.599999999256,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,,"You have been randomly assigned into this condition. You will complete the on-paper reading task first. <br><br> This will involve reading the passages on-paper, and responding to the questions on the screen when prompted.<br><br>Please press the space bar to continue",,,,,,,,,,,,,,,,,,,,
8,1740737677595,28/02/2025 10:14:37,1740737677595,0,28/02/2025 10:14:37,201675,16,task-acau,,43915044,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Physical B,Consent,Over 17,English as 1st language,Physical B,Physical B,6,instr_passages,Text,zppu2h,1,response,space,16408.500000000742,16400,16408.500000000742,16408.500000000742,16400,16408.500000000742,1,16408.500000000742,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,4,"In this on-paper task, you will read 4 passages and answer reading comprehension questions for each passage. <br><br> THE PASSAGES WILL BE PRESENTED IN A SENTENCE-BY-SENTENCE FASHION. PLEASE READ THE SENTENCES AT YOUR NORMAL READING PACE. ONCE YOU HAVE FINISHED READING ONE SENTENCE, TURN THE PAGE TO MOVE ON TO THE NEXT SENTENCE. Once you've read the sentence you MAY NOT GO BACK.<br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,,
9,1740737683772,28/02/2025 10:14:43,1740737683772,0,28/02/2025 10:14:43,201675,16,task-acau,,43915044,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Physical B,Consent,Over 17,English as 1st language,Physical B,Physical B,7,instr_passages,Text,zppu2h,1,response,space,6185.000000000742,6183.599999999991,6185.000000000742,6185.000000000742,6183.599999999991,6185.000000000742,1,6185.000000000742,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,5,"THE SET OF READING COMPREHENSION QUESTIONS FOR THAT PARTICULAR PASSAGE YOU’VE FINISHED READING WILL APPEAR AFTER EACH PASSAGE, not all together at the end. Like the sentences, once you've answered the questions you MAY NOT GO BACK TO CHANGE YOUR ANSWER.
<br><br> 
Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,,
10,1740737698619,28/02/2025 10:14:58,1740737698619,0,28/02/2025 10:14:58,201675,16,task-acau,,43915044,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Physical B,Consent,Over 17,English as 1st language,Physical B,Physical B,8,instr_passages,Text,zppu2h,1,response,space,14848.600000000006,14832.900000000009,14848.600000000006,14848.600000000006,14832.900000000009,14848.600000000006,1,14848.600000000006,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,6,"Additionally, while you are reading you will be randomly interrupted and asked to answer this question on the computer screen: “WHICH OF THE FOLLOWING RESPONSES BEST CHARACTERISES YOUR MENTAL STATE JUST PRIOR TO THE PRESENTATION OF THIS SENTENCE?"" You would have to choose either “On task”, ""Intentionally mind wandering"" or ""Unintentionally mind wandering"" by clicking on the appropriate option.<br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,,
11,1740737712532,28/02/2025 10:15:12,1740737712532,0,28/02/2025 10:15:12,201675,16,task-acau,,43915044,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Physical B,Consent,Over 17,English as 1st language,Physical B,Physical B,9,instr_passages,Text,zppu2h,1,response,space,13928.399999999252,13916.899999999994,13928.399999999252,13928.399999999252,13916.899999999994,13928.399999999252,1,13928.399999999252,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,7,"This entire task is self-paced. However, each task should take around 15 minutes to complete (30 minutes overall). Please try to do the task all the way through instead of taking too many small breaks in between. The task isn't long so you should be able to do it without taking any breaks. <br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,,
12,1740737720148,28/02/2025 10:15:20,1740737720148,0,28/02/2025 10:15:20,201675,16,task-acau,,43915044,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Physical B,Consent,Over 17,English as 1st language,Physical B,Physical B,10,instr_passages,Text,zppu2h,1,response,space,7628.400000001493,7616.800000000003,7628.400000001493,7628.400000001493,7616.800000000003,7628.400000001493,1,7628.400000001493,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,8,Please turn the first page and begin reading the first passage.<br><br>Please press the space bar to continue.,,,,,,,,,,,,,,,,,,,,
13,1740737725060,28/02/2025 10:15:25,1740737725060,0,28/02/2025 10:15:25,201675,16,task-acau,,43915044,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Physical B,Consent,Over 17,English as 1st language,Physical B,Physical B,1,probe_physical,Thought probe (physical),ucvclj,1,response,On Task,4922.900000002235,4916.600000000006,4922.900000002235,4922.900000002235,4916.600000000006,4922.900000002235,1,4922.900000002235,0,0,,Click Response,On Task,2,object-87,probe_physical,,,,,,,,,,,,,,,,,,,,,,
14,1740737729564,28/02/2025 10:15:29,1740737729564,0,28/02/2025 10:15:29,201675,16,task-acau,,43915044,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Physical B,Consent,Over 17,English as 1st language,Physical B,Physical B,1,probe_physical,Return to physical text,5jjhzp,2,continue,,4510.300000002229,4499.899999999994,4510.300000002229,4510.300000002229,4499.899999999994,4510.300000002229,1,4510.300000002229,0,0,,Click To Continue,Continue Button,2,object-94,probe_physical,,,,,,,,,,,,,,,,,,,,,,
15,1740737764020,28/02/2025 10:16:04,1740737764020,0,28/02/2025 10:16:04,201675,16,task-acau,,43915044,BLIND,12533359,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Physical B,Consent,Over 17,English as 1st language,Physical B,Physical B,2,probe_physical,Thought probe (physical),ucvclj,1,response,On Task,34466.300000000745,34450.100000000006,34466.300000000745,34466.300000000745,34450.100000000006,34466.300000000745,1,34466.300000000745,0,0,,Click Response,On Task,2,object-87,probe_physical,,,,,,,,,,,,,,,,,,,,,,
