Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Spreadsheet: blockType,Manipulation: Spreadsheet
1,1741086553426,04/03/2025 11:09:13,1741086553426,0,04/03/2025 11:09:13,201675,16,task-j2gm,,44038318,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Mind wandering task,10,Physical A,Consent,Over 17,English as 1st language,Physical A,Physical A,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1741086555707,04/03/2025 11:09:15,1741086555707,0,04/03/2025 11:09:15,201675,16,task-j2gm,,44038318,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Mind wandering task,10,Physical A,Consent,Over 17,English as 1st language,Physical A,Physical A,1,start,Welcome,vo3k26,1,continue,,2285.5680000022353,2283.4680000000003,2285.5680000022353,2285.5680000022353,2283.4680000000003,2285.5680000022353,1,2285.5680000022353,0,0,,Click To Continue,Continue Button,2,object-14,start,,,,,,,,,,,,,,,,,,,,,,
3,1741086600803,04/03/2025 11:10:00,1741086600803,0,04/03/2025 11:10:00,201675,16,task-j2gm,,44038318,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Mind wandering task,10,Physical A,Consent,Over 17,English as 1st language,Physical A,Physical A,1,instr_passages,Text,zppu2h,1,response,space,45098.10000000223,45083.5,45098.10000000223,45098.10000000223,45083.5,45098.10000000223,1,45098.10000000223,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,,"Before you begin...<br><br>Please raise your hand and ask a researcher for the Set A paper task. Ensure you have passages 1, 3, 5 and 7 before continuing.<br><br>Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,,
4,1741086628482,04/03/2025 11:10:28,1741086628482,0,04/03/2025 11:10:28,201675,16,task-j2gm,,44038318,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Mind wandering task,10,Physical A,Consent,Over 17,English as 1st language,Physical A,Physical A,2,instr_passages,Text,zppu2h,1,response,space,27694.300000001487,27683.300000000003,27694.300000001487,27694.300000001487,27683.300000000003,27694.300000001487,1,27694.300000001487,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,1,"TASK INSTRUCTIONS - PLEASE READ CAREFULLY! The goal of this study is to learn how mind wandering is affected by task length, social media use and reading medium. <br><br> Mind wandering is a term used to describe what occurs when your attention wanders from a task. Sometimes when your mind wanders, you begin thinking about personal events or concerns rather than your task. At other times, your mind can wander because you are bored or tired and you don’t really know what you’re thinking about; all you know is that you are no longer thinking about your task.<br><br>Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,,
5,1741086639123,04/03/2025 11:10:39,1741086639123,0,04/03/2025 11:10:39,201675,16,task-j2gm,,44038318,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Mind wandering task,10,Physical A,Consent,Over 17,English as 1st language,Physical A,Physical A,3,instr_passages,Text,zppu2h,1,response,space,10651.399999999994,10650,10651.399999999994,10651.399999999994,10650,10651.399999999994,1,10651.399999999994,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,2,"Importantly, mind wandering can occur either because you INTENTIONALLY decided to think about things that are unrelated to the task, OR because your thoughts UNINTENTIONALLY drifted away to task-unrelated thoughts, despite your best intentions to focus on the task. <br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,instr_passages,
6,1741086652442,04/03/2025 11:10:52,1741086652442,0,04/03/2025 11:10:52,201675,16,task-j2gm,,44038318,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Mind wandering task,10,Physical A,Consent,Over 17,English as 1st language,Physical A,Physical A,4,instr_passages,Text,zppu2h,1,response,space,13320.80000000223,13316.699999999997,13320.80000000223,13320.80000000223,13316.699999999997,13320.80000000223,1,13320.80000000223,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,3,"Being ON TASK means that you were focused on completing the task and were not thinking about anything unrelated to the task. Some examples of ON TASK thoughts include thoughts about your performance on the task, thoughts about the digits, or thoughts about your response. <br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,instr_passages,
7,1741086668354,04/03/2025 11:11:08,1741086668354,0,04/03/2025 11:11:08,201675,16,task-j2gm,,44038318,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Mind wandering task,10,Physical A,Consent,Over 17,English as 1st language,Physical A,Physical A,5,instr_passages,Text,zppu2h,1,response,space,15916.000000000742,15900.099999999991,15916.000000000742,15916.000000000742,15900.099999999991,15916.000000000742,1,15916.000000000742,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,,"You have been randomly assigned into this condition. You will complete the on-paper reading task first. <br><br> This will involve reading the passages on-paper, and responding to the questions on the screen when prompted.<br><br>Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,,
8,1741086692106,04/03/2025 11:11:32,1741086692106,0,04/03/2025 11:11:32,201675,16,task-j2gm,,44038318,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Mind wandering task,10,Physical A,Consent,Over 17,English as 1st language,Physical A,Physical A,6,instr_passages,Text,zppu2h,1,response,space,23768.200000001496,23766.600000000006,23768.200000001496,23768.200000001496,23766.600000000006,23768.200000001496,1,23768.200000001496,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,4,"In this on-paper task, you will read 4 passages and answer reading comprehension questions for each passage. <br><br> THE PASSAGES WILL BE PRESENTED IN A SENTENCE-BY-SENTENCE FASHION. PLEASE READ THE SENTENCES AT YOUR NORMAL READING PACE. ONCE YOU HAVE FINISHED READING ONE SENTENCE, TURN THE PAGE TO MOVE ON TO THE NEXT SENTENCE. Once you've read the sentence you MAY NOT GO BACK.<br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,,
9,1741086708594,04/03/2025 11:11:48,1741086708594,0,04/03/2025 11:11:48,201675,16,task-j2gm,,44038318,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Mind wandering task,10,Physical A,Consent,Over 17,English as 1st language,Physical A,Physical A,7,instr_passages,Text,zppu2h,1,response,space,16489.300000000745,16483.399999999994,16489.300000000745,16489.300000000745,16483.399999999994,16489.300000000745,1,16489.300000000745,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,5,"THE SET OF READING COMPREHENSION QUESTIONS FOR THAT PARTICULAR PASSAGE YOU’VE FINISHED READING WILL APPEAR AFTER EACH PASSAGE, not all together at the end. Like the sentences, once you've answered the questions you MAY NOT GO BACK TO CHANGE YOUR ANSWER.
<br><br> 
Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,,
10,1741086732002,04/03/2025 11:12:12,1741086732002,0,04/03/2025 11:12:12,201675,16,task-j2gm,,44038318,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Mind wandering task,10,Physical A,Consent,Over 17,English as 1st language,Physical A,Physical A,8,instr_passages,Text,zppu2h,1,response,space,23413.79999999926,23400.100000000006,23413.79999999926,23413.79999999926,23400.100000000006,23413.79999999926,1,23413.79999999926,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,6,"Additionally, while you are reading you will be randomly interrupted and asked to answer this question on the computer screen: “WHICH OF THE FOLLOWING RESPONSES BEST CHARACTERISES YOUR MENTAL STATE JUST PRIOR TO THE PRESENTATION OF THIS SENTENCE?"" You would have to choose either “On task”, ""Intentionally mind wandering"" or ""Unintentionally mind wandering"" by clicking on the appropriate option.<br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,,
