Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,checkpoint-1lbn,Randomise questionnaire elements?,Question Key,Response
1,1740490138289,25/02/2025 13:28:58,1740490138203,0,25/02/2025 13:28:58,210469,6,questionnaire-3rlg,,43797433,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,,Debrief sheet,4,Digital B,Consent,,,Voucher,No,BEGIN QUESTIONNAIRE,
2,1740490152510,25/02/2025 13:29:12,1740490152469,0,25/02/2025 13:29:12,210469,6,questionnaire-3rlg,,43797433,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Voucher,,,Debrief sheet,4,Digital B,Consent,,,Voucher,No,END QUESTIONNAIRE,14266
1,1741088185701,04/03/2025 11:36:25,1741088185641,0,04/03/2025 11:36:25,210469,6,questionnaire-3rlg,,44039496,BLIND,12533307,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Voucher,,,Debrief sheet,4,Digital A,Consent,,,Voucher,No,BEGIN QUESTIONNAIRE,
2,1741088190631,04/03/2025 11:36:30,1741088190587,0,04/03/2025 11:36:30,210469,6,questionnaire-3rlg,,44039496,BLIND,12533307,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Voucher,,,Debrief sheet,4,Digital A,Consent,,,Voucher,No,END QUESTIONNAIRE,4947
1,1741089144082,04/03/2025 11:52:24,1741089144018,0,04/03/2025 11:52:24,210469,6,questionnaire-3rlg,,44040209,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,,Debrief sheet,4,Physical A,Consent,,,Voucher,No,BEGIN QUESTIONNAIRE,
2,1741089233830,04/03/2025 11:53:53,1741089233779,0,04/03/2025 11:53:53,210469,6,questionnaire-3rlg,,44040209,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Voucher,,,Debrief sheet,4,Physical A,Consent,,,Voucher,No,END QUESTIONNAIRE,89761
1,1741099022480,04/03/2025 14:37:02,1741099022437,0,04/03/2025 14:37:02,210469,6,questionnaire-3rlg,,44047814,BLIND,12533309,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,,Debrief sheet,4,Physical A,Consent,,,Voucher,No,BEGIN QUESTIONNAIRE,
2,1741099044714,04/03/2025 14:37:24,1741099044690,0,04/03/2025 14:37:24,210469,6,questionnaire-3rlg,,44047814,BLIND,12533309,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Voucher,,,Debrief sheet,4,Physical A,Consent,,,Voucher,No,END QUESTIONNAIRE,22253
1,1741099229080,04/03/2025 14:40:29,1741099228997,0,04/03/2025 14:40:28,210469,6,questionnaire-3rlg,,44048004,BLIND,12533310,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Voucher,,,Debrief sheet,4,Physical B,Consent,,,Voucher,No,BEGIN QUESTIONNAIRE,
2,1741099231595,04/03/2025 14:40:31,1741099231538,0,04/03/2025 14:40:31,210469,6,questionnaire-3rlg,,44048004,BLIND,12533310,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Voucher,,,Debrief sheet,4,Physical B,Consent,,,Voucher,No,END QUESTIONNAIRE,2541
1,1741268394982,06/03/2025 13:39:54,1741268394898,0,06/03/2025 13:39:54,210469,6,questionnaire-3rlg,,44129488,BLIND,12533311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,,Debrief sheet,4,Digital A,Consent,,,Voucher,No,BEGIN QUESTIONNAIRE,
2,1741268401698,06/03/2025 13:40:01,1741268401651,0,06/03/2025 13:40:01,210469,6,questionnaire-3rlg,,44129488,BLIND,12533311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1903x945,Voucher,,,Debrief sheet,4,Digital A,Consent,,,Voucher,No,END QUESTIONNAIRE,6753
1,1741359705674,07/03/2025 15:01:45,1741359705615,0,07/03/2025 15:01:45,210469,6,questionnaire-3rlg,,44171886,BLIND,12533312,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1912x954,Voucher,,,Debrief sheet,4,Digital B,Consent,,,Voucher,No,BEGIN QUESTIONNAIRE,
2,1741359707900,07/03/2025 15:01:47,1741359707862,0,07/03/2025 15:01:47,210469,6,questionnaire-3rlg,,44171886,BLIND,12533312,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1897x954,Voucher,,,Debrief sheet,4,Digital B,Consent,,,Voucher,No,END QUESTIONNAIRE,2247
1,1741360359654,07/03/2025 15:12:39,1741360359589,0,07/03/2025 15:12:39,210469,6,questionnaire-3rlg,,44172530,BLIND,12533315,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,,Debrief sheet,4,Digital A,Consent,,,Voucher,No,BEGIN QUESTIONNAIRE,
2,1741360361649,07/03/2025 15:12:41,1741360361622,0,07/03/2025 15:12:41,210469,6,questionnaire-3rlg,,44172530,BLIND,12533315,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1903x945,Voucher,,,Debrief sheet,4,Digital A,Consent,,,Voucher,No,END QUESTIONNAIRE,2033
1,1741360435935,07/03/2025 15:13:55,1741360435882,0,07/03/2025 15:13:55,210469,6,questionnaire-3rlg,,44172601,BLIND,12533314,,rejected - time limit reached,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,,Debrief sheet,4,Physical B,Consent,,,Voucher,No,BEGIN QUESTIONNAIRE,
