Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,checkpoint-1lbn,Randomise questionnaire elements?,Question Key,Response
1,1740488555347,25/02/2025 13:02:35,1740488555282,0,25/02/2025 13:02:35,210469,6,questionnaire-b846,,43796310,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,,Consent form,5,Digital B,Consent,,,Voucher,No,BEGIN QUESTIONNAIRE,
2,1740488560274,25/02/2025 13:02:40,1740488560267,0,25/02/2025 13:02:40,210469,6,questionnaire-b846,,43796310,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Voucher,,,Consent form,5,Digital B,Consent,,,Voucher,No,consent1,1
3,1740488560340,25/02/2025 13:02:40,1740488560268,0,25/02/2025 13:02:40,210469,6,questionnaire-b846,,43796310,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Voucher,,,Consent form,5,Digital B,Consent,,,Voucher,No,consent2,1
4,1740488560340,25/02/2025 13:02:40,1740488560268,0,25/02/2025 13:02:40,210469,6,questionnaire-b846,,43796310,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Voucher,,,Consent form,5,Digital B,Consent,,,Voucher,No,consent3,1
5,1740488560340,25/02/2025 13:02:40,1740488560268,0,25/02/2025 13:02:40,210469,6,questionnaire-b846,,43796310,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Voucher,,,Consent form,5,Digital B,Consent,,,Voucher,No,consent4,1
6,1740488560340,25/02/2025 13:02:40,1740488560268,0,25/02/2025 13:02:40,210469,6,questionnaire-b846,,43796310,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Voucher,,,Consent form,5,Digital B,Consent,,,Voucher,No,consent5,1
7,1740488560340,25/02/2025 13:02:40,1740488560268,0,25/02/2025 13:02:40,210469,6,questionnaire-b846,,43796310,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Voucher,,,Consent form,5,Digital B,Consent,,,Voucher,No,consent6,1
8,1740488560340,25/02/2025 13:02:40,1740488560268,0,25/02/2025 13:02:40,210469,6,questionnaire-b846,,43796310,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Voucher,,,Consent form,5,Digital B,Consent,,,Voucher,No,consent7,1
9,1740488560340,25/02/2025 13:02:40,1740488560268,0,25/02/2025 13:02:40,210469,6,questionnaire-b846,,43796310,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Voucher,,,Consent form,5,Digital B,Consent,,,Voucher,No,END QUESTIONNAIRE,4986
1,1741085971322,04/03/2025 10:59:31,1741085971250,0,04/03/2025 10:59:31,210469,6,questionnaire-b846,,44037932,BLIND,12533307,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Voucher,,,Consent form,5,Digital A,Consent,,,Voucher,No,BEGIN QUESTIONNAIRE,
2,1741086000102,04/03/2025 11:00:00,1741086000095,0,04/03/2025 11:00:00,210469,6,questionnaire-b846,,44037932,BLIND,12533307,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Voucher,,,Consent form,5,Digital A,Consent,,,Voucher,No,consent1,1
3,1741086000209,04/03/2025 11:00:00,1741086000096,0,04/03/2025 11:00:00,210469,6,questionnaire-b846,,44037932,BLIND,12533307,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Voucher,,,Consent form,5,Digital A,Consent,,,Voucher,No,consent2,1
4,1741086000209,04/03/2025 11:00:00,1741086000096,0,04/03/2025 11:00:00,210469,6,questionnaire-b846,,44037932,BLIND,12533307,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Voucher,,,Consent form,5,Digital A,Consent,,,Voucher,No,consent3,1
5,1741086000209,04/03/2025 11:00:00,1741086000096,0,04/03/2025 11:00:00,210469,6,questionnaire-b846,,44037932,BLIND,12533307,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Voucher,,,Consent form,5,Digital A,Consent,,,Voucher,No,consent4,1
6,1741086000209,04/03/2025 11:00:00,1741086000096,0,04/03/2025 11:00:00,210469,6,questionnaire-b846,,44037932,BLIND,12533307,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Voucher,,,Consent form,5,Digital A,Consent,,,Voucher,No,consent5,1
7,1741086000209,04/03/2025 11:00:00,1741086000096,0,04/03/2025 11:00:00,210469,6,questionnaire-b846,,44037932,BLIND,12533307,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Voucher,,,Consent form,5,Digital A,Consent,,,Voucher,No,consent6,1
8,1741086000209,04/03/2025 11:00:00,1741086000096,0,04/03/2025 11:00:00,210469,6,questionnaire-b846,,44037932,BLIND,12533307,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Voucher,,,Consent form,5,Digital A,Consent,,,Voucher,No,consent7,1
9,1741086000209,04/03/2025 11:00:00,1741086000097,0,04/03/2025 11:00:00,210469,6,questionnaire-b846,,44037932,BLIND,12533307,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Voucher,,,Consent form,5,Digital A,Consent,,,Voucher,No,END QUESTIONNAIRE,28847
1,1741087108757,04/03/2025 11:18:28,1741087108666,0,04/03/2025 11:18:28,210469,6,questionnaire-b846,,44038732,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,,Consent form,5,Physical A,Consent,,,Voucher,No,BEGIN QUESTIONNAIRE,
2,1741087157650,04/03/2025 11:19:17,1741087157536,0,04/03/2025 11:19:17,210469,6,questionnaire-b846,,44038732,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Voucher,,,Consent form,5,Physical A,Consent,,,Voucher,No,consent1,1
3,1741087157719,04/03/2025 11:19:17,1741087157537,0,04/03/2025 11:19:17,210469,6,questionnaire-b846,,44038732,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Voucher,,,Consent form,5,Physical A,Consent,,,Voucher,No,consent2,1
4,1741087157719,04/03/2025 11:19:17,1741087157537,0,04/03/2025 11:19:17,210469,6,questionnaire-b846,,44038732,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Voucher,,,Consent form,5,Physical A,Consent,,,Voucher,No,consent3,1
5,1741087157719,04/03/2025 11:19:17,1741087157537,0,04/03/2025 11:19:17,210469,6,questionnaire-b846,,44038732,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Voucher,,,Consent form,5,Physical A,Consent,,,Voucher,No,consent4,1
6,1741087157719,04/03/2025 11:19:17,1741087157537,0,04/03/2025 11:19:17,210469,6,questionnaire-b846,,44038732,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Voucher,,,Consent form,5,Physical A,Consent,,,Voucher,No,consent5,1
7,1741087157719,04/03/2025 11:19:17,1741087157537,0,04/03/2025 11:19:17,210469,6,questionnaire-b846,,44038732,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Voucher,,,Consent form,5,Physical A,Consent,,,Voucher,No,consent6,1
8,1741087157719,04/03/2025 11:19:17,1741087157538,0,04/03/2025 11:19:17,210469,6,questionnaire-b846,,44038732,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Voucher,,,Consent form,5,Physical A,Consent,,,Voucher,No,consent7,1
