Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,checkpoint-1lbn,Randomise questionnaire elements?,Question Key,Response
1,1740488508707,25/02/2025 13:01:48,1740488508647,0,25/02/2025 13:01:48,210469,6,questionnaire-leba,,43796286,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,,Info sheet,4,Digital B,Consent,,,Voucher,No,BEGIN QUESTIONNAIRE,
2,1740488554666,25/02/2025 13:02:34,1740488554460,0,25/02/2025 13:02:34,210469,6,questionnaire-leba,,43796286,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Voucher,,,Info sheet,4,Digital B,Consent,,,Voucher,No,END QUESTIONNAIRE,45813
1,1741085854380,04/03/2025 10:57:34,1741085854325,0,04/03/2025 10:57:34,210469,6,questionnaire-leba,,44037864,BLIND,12533307,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Voucher,,,Info sheet,4,Digital A,Consent,,,Voucher,No,BEGIN QUESTIONNAIRE,
2,1741085970228,04/03/2025 10:59:30,1741085970198,0,04/03/2025 10:59:30,210469,6,questionnaire-leba,,44037864,BLIND,12533307,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Voucher,,,Info sheet,4,Digital A,Consent,,,Voucher,No,END QUESTIONNAIRE,115873
1,1741086951039,04/03/2025 11:15:51,1741086950973,0,04/03/2025 11:15:50,210469,6,questionnaire-leba,,44038615,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Voucher,,,Info sheet,4,Physical A,Consent,,,Voucher,No,BEGIN QUESTIONNAIRE,
2,1741087107958,04/03/2025 11:18:27,1741087107937,0,04/03/2025 11:18:27,210469,6,questionnaire-leba,,44038615,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Voucher,,,Info sheet,4,Physical A,Consent,,,Voucher,No,END QUESTIONNAIRE,156964
1,1741097103576,04/03/2025 14:05:03,1741097103510,0,04/03/2025 14:05:03,210469,6,questionnaire-leba,,44045926,BLIND,12533309,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,,Info sheet,4,Physical A,Consent,,,Voucher,No,BEGIN QUESTIONNAIRE,
2,1741097176985,04/03/2025 14:06:16,1741097176961,0,04/03/2025 14:06:16,210469,6,questionnaire-leba,,44045926,BLIND,12533309,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1897x954,Voucher,,,Info sheet,4,Physical A,Consent,,,Voucher,No,END QUESTIONNAIRE,73451
1,1741097108292,04/03/2025 14:05:08,1741097108221,0,04/03/2025 14:05:08,210469,6,questionnaire-leba,,44045934,BLIND,12533310,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Voucher,,,Info sheet,4,Physical B,Consent,,,Voucher,No,BEGIN QUESTIONNAIRE,
2,1741097140826,04/03/2025 14:05:40,1741097140801,0,04/03/2025 14:05:40,210469,6,questionnaire-leba,,44045934,BLIND,12533310,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1903x945,Voucher,,,Info sheet,4,Physical B,Consent,,,Voucher,No,END QUESTIONNAIRE,32580
1,1741266361076,06/03/2025 13:06:01,1741266361009,0,06/03/2025 13:06:01,210469,6,questionnaire-leba,,44127753,BLIND,12533311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,,Info sheet,4,Digital A,Consent,,,Voucher,No,BEGIN QUESTIONNAIRE,
2,1741266371532,06/03/2025 13:06:11,1741266371514,0,06/03/2025 13:06:11,210469,6,questionnaire-leba,,44127753,BLIND,12533311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1903x945,Voucher,,,Info sheet,4,Digital A,Consent,,,Voucher,No,END QUESTIONNAIRE,10505
1,1741357702695,07/03/2025 14:28:22,1741357702625,0,07/03/2025 14:28:22,210469,6,questionnaire-leba,,44170241,BLIND,12533312,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1912x954,Voucher,,,Info sheet,4,Digital B,Consent,,,Voucher,No,BEGIN QUESTIONNAIRE,
2,1741357724495,07/03/2025 14:28:44,1741357724471,0,07/03/2025 14:28:44,210469,6,questionnaire-leba,,44170241,BLIND,12533312,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1897x954,Voucher,,,Info sheet,4,Digital B,Consent,,,Voucher,No,END QUESTIONNAIRE,21846
1,1741358055395,07/03/2025 14:34:15,1741358055312,0,07/03/2025 14:34:15,210469,6,questionnaire-leba,,44170499,BLIND,12533313,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,921x919,Voucher,,,Info sheet,4,Physical B,Consent,,,Voucher,No,BEGIN QUESTIONNAIRE,
2,1741358175577,07/03/2025 14:36:15,1741358175497,0,07/03/2025 14:36:15,210469,6,questionnaire-leba,,44170499,BLIND,12533313,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1897x954,Voucher,,,Info sheet,4,Physical B,Consent,,,Voucher,No,END QUESTIONNAIRE,120185
1,1741358743392,07/03/2025 14:45:43,1741358743307,0,07/03/2025 14:45:43,210469,6,questionnaire-leba,,44171003,BLIND,12533315,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,,Info sheet,4,Digital A,Consent,,,Voucher,No,BEGIN QUESTIONNAIRE,
2,1741358770798,07/03/2025 14:46:10,1741358770770,0,07/03/2025 14:46:10,210469,6,questionnaire-leba,,44171003,BLIND,12533315,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1903x945,Voucher,,,Info sheet,4,Digital A,Consent,,,Voucher,No,END QUESTIONNAIRE,27463
1,1741358768524,07/03/2025 14:46:08,1741358768472,0,07/03/2025 14:46:08,210469,6,questionnaire-leba,,44171016,BLIND,12533314,,rejected - time limit reached,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,,Info sheet,4,Physical B,Consent,,,Voucher,No,BEGIN QUESTIONNAIRE,
2,1741358773040,07/03/2025 14:46:13,1741358773039,0,07/03/2025 14:46:13,210469,6,questionnaire-leba,,44171016,BLIND,12533314,,rejected - time limit reached,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1903x945,Voucher,,,Info sheet,4,Physical B,Consent,,,Voucher,No,END QUESTIONNAIRE,4567
1,1742980725055,26/03/2025 09:18:45,1742980724984,0,26/03/2025 09:18:44,210469,6,questionnaire-leba,,44726130,BLIND,12533316,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1920x945,Voucher,,,Info sheet,4,Physical A,Consent,,,Voucher,No,BEGIN QUESTIONNAIRE,
2,1742980904338,26/03/2025 09:21:44,1742980904229,0,26/03/2025 09:21:44,210469,6,questionnaire-leba,,44726130,BLIND,12533316,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1920x1080,1903x945,Voucher,,,Info sheet,4,Physical A,Consent,,,Voucher,No,END QUESTIONNAIRE,179245
END OF FILE
