Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,checkpoint-1lbn,Randomise questionnaire elements?,Question Key,Response
1,1740488561088,25/02/2025 13:02:41,1740488561026,0,25/02/2025 13:02:41,210469,6,questionnaire-v6bd,,43796314,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,,Demographics Questionnaire,5,Digital B,Consent,,,Voucher,No,BEGIN QUESTIONNAIRE,
2,1740488568399,25/02/2025 13:02:48,1740488568387,0,25/02/2025 13:02:48,210469,6,questionnaire-v6bd,,43796314,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,,Demographics Questionnaire,5,Digital B,Consent,,,Voucher,No,Age,19
3,1740488568454,25/02/2025 13:02:48,1740488568388,0,25/02/2025 13:02:48,210469,6,questionnaire-v6bd,,43796314,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,,Demographics Questionnaire,5,Digital B,Consent,,,Voucher,No,gender,Woman
4,1740488568454,25/02/2025 13:02:48,1740488568388,0,25/02/2025 13:02:48,210469,6,questionnaire-v6bd,,43796314,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,,Demographics Questionnaire,5,Digital B,Consent,,,Voucher,No,gender-quantised,2
5,1740488568454,25/02/2025 13:02:48,1740488568388,0,25/02/2025 13:02:48,210469,6,questionnaire-v6bd,,43796314,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,,Demographics Questionnaire,5,Digital B,Consent,,,Voucher,No,gender-text,
6,1740488568454,25/02/2025 13:02:48,1740488568388,0,25/02/2025 13:02:48,210469,6,questionnaire-v6bd,,43796314,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,,Demographics Questionnaire,5,Digital B,Consent,,,Voucher,No,English,Yes
7,1740488568454,25/02/2025 13:02:48,1740488568388,0,25/02/2025 13:02:48,210469,6,questionnaire-v6bd,,43796314,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,,Demographics Questionnaire,5,Digital B,Consent,,,Voucher,No,English-quantised,1
8,1740488568454,25/02/2025 13:02:48,1740488568388,0,25/02/2025 13:02:48,210469,6,questionnaire-v6bd,,43796314,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,,Demographics Questionnaire,5,Digital B,Consent,,,Voucher,No,END QUESTIONNAIRE,7362
1,1741086001096,04/03/2025 11:00:01,1741086001010,0,04/03/2025 11:00:01,210469,6,questionnaire-v6bd,,44037948,BLIND,12533307,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Voucher,,,Demographics Questionnaire,5,Digital A,Consent,,,Voucher,No,BEGIN QUESTIONNAIRE,
2,1741086015320,04/03/2025 11:00:15,1741086015286,0,04/03/2025 11:00:15,210469,6,questionnaire-v6bd,,44037948,BLIND,12533307,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Voucher,,,Demographics Questionnaire,5,Digital A,Consent,,,Voucher,No,Age,21
