Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,checkpoint-1lbn,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Spreadsheet: blockType,Manipulation: Spreadsheet
1,1741086218638,04/03/2025 11:03:38,1741086218638,0,04/03/2025 11:03:38,210469,6,task-d2yz,,44038095,BLIND,12533307,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1741086226574,04/03/2025 11:03:46,1741086226574,0,04/03/2025 11:03:46,210469,6,task-d2yz,,44038095,BLIND,12533307,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,1,start,Welcome,vo3k26,1,continue,,8802.5,8799,8802.5,8802.5,8799,8802.5,1,8802.5,0,0,,Click To Continue,Continue Button,2,object-14,start,,,,,,,,,,,,,,,,,,,,,,
3,1741086249791,04/03/2025 11:04:09,1741086249791,0,04/03/2025 11:04:09,210469,6,task-d2yz,,44038095,BLIND,12533307,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,1,instr_passages,Text,zppu2h,1,response,space,23220.199999999255,23216.8,23220.199999999255,23220.199999999255,23216.8,23220.199999999255,1,23220.199999999255,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,,"Before you begin...<br><br>Please raise your hand and ask a researcher for the Set B paper task. Ensure you have passages 2, 4, 6 and 8 before continuing.<br><br>Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,,
4,1741086271461,04/03/2025 11:04:31,1741086271461,0,04/03/2025 11:04:31,210469,6,task-d2yz,,44038095,BLIND,12533307,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,2,instr_passages,Text,zppu2h,1,response,space,21674.100000002236,21666.500000000004,21674.100000002236,21674.100000002236,21666.500000000004,21674.100000002236,1,21674.100000002236,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,1,"TASK INSTRUCTIONS - PLEASE READ CAREFULLY! The goal of this study is to learn how mind wandering is affected by task length, social media use and reading medium. <br><br> Mind wandering is a term used to describe what occurs when your attention wanders from a task. Sometimes when your mind wanders, you begin thinking about personal events or concerns rather than your task. At other times, your mind can wander because you are bored or tired and you don’t really know what you’re thinking about; all you know is that you are no longer thinking about your task.<br><br>Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,,
5,1741086279597,04/03/2025 11:04:39,1741086279597,0,04/03/2025 11:04:39,210469,6,task-d2yz,,44038095,BLIND,12533307,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,3,instr_passages,Text,zppu2h,1,response,space,8143.600000002232,8133.399999999994,8143.600000002232,8143.600000002232,8133.399999999994,8143.600000002232,1,8143.600000002232,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,2,"Importantly, mind wandering can occur either because you INTENTIONALLY decided to think about things that are unrelated to the task, OR because your thoughts UNINTENTIONALLY drifted away to task-unrelated thoughts, despite your best intentions to focus on the task. <br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,instr_passages,
6,1741086294254,04/03/2025 11:04:54,1741086294254,0,04/03/2025 11:04:54,210469,6,task-d2yz,,44038095,BLIND,12533307,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,4,instr_passages,Text,zppu2h,1,response,space,14666.600000000748,14650,14666.600000000748,14666.600000000748,14650,14666.600000000748,1,14666.600000000748,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,3,"Being ON TASK means that you were focused on completing the task and were not thinking about anything unrelated to the task. Some examples of ON TASK thoughts include thoughts about your performance on the task, or thoughts about your response. <br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,instr_passages,
7,1741086307373,04/03/2025 11:05:07,1741086307373,0,04/03/2025 11:05:07,210469,6,task-d2yz,,44038095,BLIND,12533307,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,5,instr_passages,Text,zppu2h,1,response,space,13136.100000000748,13133.600000000006,13136.100000000748,13136.100000000748,13133.600000000006,13136.100000000748,1,13136.100000000748,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,4,You have been randomly assigned into this condition. You will complete the online reading task first. <br><br> This will be completed entirely on the computer.<br><br>Please press the space bar to continue.,,,,,,,,,,,,,,,,,,,,
8,1741086382830,04/03/2025 11:06:22,1741086382830,0,04/03/2025 11:06:22,210469,6,task-d2yz,,44038095,BLIND,12533307,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,6,instr_passages,Text,zppu2h,1,response,space,75459.2,75449.90000000001,75459.2,75459.2,75449.90000000001,75459.2,1,75459.2,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,5,"In this online task, you will read 4 passages and answer reading comprehension questions for each passage. <br><br> THE PASSAGES WILL BE PRESENTED IN A SENTENCE-BY-SENTENCE FASHION. PLEASE READ THE SENTENCES AT YOUR NORMAL READING PACE. ONCE YOU HAVE FINISHED READING ONE SENTENCE, PRESS THE SPACE BAR TO MOVE ON TO THE NEXT SENTENCE. Once you've read the sentence you MAY NOT GO BACK.<br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,,
9,1741086389965,04/03/2025 11:06:29,1741086389965,0,04/03/2025 11:06:29,210469,6,task-d2yz,,44038095,BLIND,12533307,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,7,instr_passages,Text,zppu2h,1,response,space,7144.600000000733,7133.299999999988,7144.600000000733,7144.600000000733,7133.299999999988,7144.600000000733,1,7144.600000000733,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,6,"THE SET OF READING COMPREHENSION QUESTIONS FOR THAT PARTICULAR PASSAGE YOU’VE FINISHED READING WILL APPEAR AFTER EACH PASSAGE, not all together at the end. Like the sentences, once you've answered the questions you MAY NOT GO BACK TO CHANGE YOUR ANSWER.
<br><br> 
Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,,
10,1741086396301,04/03/2025 11:06:36,1741086396301,0,04/03/2025 11:06:36,210469,6,task-d2yz,,44038095,BLIND,12533307,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1920x1080,1920x945,Voucher,,0,Mind wandering task,10,Digital A,Consent,,,Voucher,Digital A,Digital A,8,instr_passages,Text,zppu2h,1,response,space,6347.400000002235,6333.399999999994,6347.400000002235,6347.400000002235,6333.399999999994,6347.400000002235,1,6347.400000002235,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,7,"Additionally, while you are reading you will be randomly interrupted and asked “WHICH OF THE FOLLOWING RESPONSES BEST CHARACTERISES YOUR MENTAL STATE JUST PRIOR TO THE PRESENTATION OF THIS SCREEN?"" You would have to choose either “On task”, ""Intentionally mind wandering"" or ""Unintentionally mind wandering"" by clicking on the appropriate option.<br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,,
