Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,checkpoint-1lbn,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Spreadsheet: blockType,Manipulation: Spreadsheet
1,1741087466501,04/03/2025 11:24:26,1741087466501,0,04/03/2025 11:24:26,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1741087470047,04/03/2025 11:24:30,1741087470047,0,04/03/2025 11:24:30,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,1,start,Welcome,vo3k26,1,continue,,3564.9400000014903,3549.74,3564.9400000014903,3564.9400000014903,3549.74,3564.9400000014903,1,3564.9400000014903,0,0,,Click To Continue,Continue Button,2,object-14,start,,,,,,,,,,,,,,,,,,,,,,
3,1741087508128,04/03/2025 11:25:08,1741087508128,0,04/03/2025 11:25:08,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,1,instr_passages,Text,zppu2h,1,response,space,38096.20000000149,38083.6,38096.20000000149,38096.20000000149,38083.6,38096.20000000149,1,38096.20000000149,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,,"Before you begin...<br><br>Please raise your hand and ask a researcher for the Set A paper task. Ensure you have passages 1, 3, 5 and 7 before continuing.<br><br>Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,,
4,1741087529695,04/03/2025 11:25:29,1741087529695,0,04/03/2025 11:25:29,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,2,instr_passages,Text,zppu2h,1,response,space,21579.400000002235,21566.6,21579.400000002235,21579.400000002235,21566.6,21579.400000002235,1,21579.400000002235,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,1,"TASK INSTRUCTIONS - PLEASE READ CAREFULLY! The goal of this study is to learn how mind wandering is affected by task length, social media use and reading medium. <br><br> Mind wandering is a term used to describe what occurs when your attention wanders from a task. Sometimes when your mind wanders, you begin thinking about personal events or concerns rather than your task. At other times, your mind can wander because you are bored or tired and you don’t really know what you’re thinking about; all you know is that you are no longer thinking about your task.<br><br>Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,,
5,1741087538950,04/03/2025 11:25:38,1741087538950,0,04/03/2025 11:25:38,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,3,instr_passages,Text,zppu2h,1,response,space,9268.099999999256,9266.700000000004,9268.099999999256,9268.099999999256,9266.700000000004,9268.099999999256,1,9268.099999999256,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,2,"Importantly, mind wandering can occur either because you INTENTIONALLY decided to think about things that are unrelated to the task, OR because your thoughts UNINTENTIONALLY drifted away to task-unrelated thoughts, despite your best intentions to focus on the task. <br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,instr_passages,
6,1741087549446,04/03/2025 11:25:49,1741087549446,0,04/03/2025 11:25:49,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,4,instr_passages,Text,zppu2h,1,response,space,10497.600000002232,10483.300000000003,10497.600000002232,10497.600000002232,10483.300000000003,10497.600000002232,1,10497.600000002232,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,3,"Being ON TASK means that you were focused on completing the task and were not thinking about anything unrelated to the task. Some examples of ON TASK thoughts include thoughts about your performance on the task, thoughts about the digits, or thoughts about your response. <br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,instr_passages,
7,1741087557415,04/03/2025 11:25:57,1741087557415,0,04/03/2025 11:25:57,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,5,instr_passages,Text,zppu2h,1,response,space,7982.500000001484,7966.699999999997,7982.500000001484,7982.500000001484,7966.699999999997,7982.500000001484,1,7982.500000001484,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,,"You have been randomly assigned into this condition. You will complete the on-paper reading task first. <br><br> This will involve reading the passages on-paper, and responding to the questions on the screen when prompted.<br><br>Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,,
8,1741087572726,04/03/2025 11:26:12,1741087572726,0,04/03/2025 11:26:12,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,6,instr_passages,Text,zppu2h,1,response,space,15327.699999999997,15316.599999999991,15327.699999999997,15327.699999999997,15316.599999999991,15327.699999999997,1,15327.699999999997,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,4,"In this on-paper task, you will read 4 passages and answer reading comprehension questions for each passage. <br><br> THE PASSAGES WILL BE PRESENTED IN A SENTENCE-BY-SENTENCE FASHION. PLEASE READ THE SENTENCES AT YOUR NORMAL READING PACE. ONCE YOU HAVE FINISHED READING ONE SENTENCE, TURN THE PAGE TO MOVE ON TO THE NEXT SENTENCE. Once you've read the sentence you MAY NOT GO BACK.<br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,,
9,1741087581959,04/03/2025 11:26:21,1741087581959,0,04/03/2025 11:26:21,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,7,instr_passages,Text,zppu2h,1,response,space,9243.200000001496,9233.400000000009,9243.200000001496,9243.200000001496,9233.400000000009,9243.200000001496,1,9243.200000001496,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,5,"THE SET OF READING COMPREHENSION QUESTIONS FOR THAT PARTICULAR PASSAGE YOU’VE FINISHED READING WILL APPEAR AFTER EACH PASSAGE, not all together at the end. Like the sentences, once you've answered the questions you MAY NOT GO BACK TO CHANGE YOUR ANSWER.
<br><br> 
Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,,
10,1741087597575,04/03/2025 11:26:37,1741087597575,0,04/03/2025 11:26:37,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,8,instr_passages,Text,zppu2h,1,response,space,15625.899999999252,15616.599999999991,15625.899999999252,15625.899999999252,15616.599999999991,15625.899999999252,1,15625.899999999252,0,0,,Keyboard Response,Keyboard Response,2,object-25,instr_passages,6,"Additionally, while you are reading you will be randomly interrupted and asked to answer this question on the computer screen: “WHICH OF THE FOLLOWING RESPONSES BEST CHARACTERISES YOUR MENTAL STATE JUST PRIOR TO THE PRESENTATION OF THIS SENTENCE?"" You would have to choose either “On task”, ""Intentionally mind wandering"" or ""Unintentionally mind wandering"" by clicking on the appropriate option.<br><br> Please press the space bar to continue.",,,,,,,,,,,,,,,,,,,,
