origID,order,age,gender,english
12533358,Digital first,19,Woman,Yes
12533359,Physical first,18,Woman,Yes
12533360,Digital first,18,Woman,Yes
12533361,Physical first,18,Woman,Yes
12533363,Digital first,18,Man,Yes
12533362,Digital first,19,Man,Yes
12533364,Physical first,19,Woman,Yes
12533365,Physical first,19,Man,Yes
12533366,Digital first,19,Man,Yes
12533367,Digital first,18,Woman,Yes
12533368,Physical first,19,Woman,Yes
12533369,Physical first,18,Man,Yes
12533371,Digital first,19,Woman,Yes
12533370,Digital first,18,Woman,Yes
12533373,Physical first,18,Prefer not to say,Yes
12533372,Physical first,19,Woman,Yes
12533374,Digital first,18,Woman,Yes
12533375,Physical first,18,Non-binary,Yes
12533376,Physical first,18,Woman,Yes
12533377,Digital first,18,Woman,Yes
12533378,Physical first,18,Woman,Yes
12533379,Digital first,18,Woman,Yes
12533380,Digital first,20,Man,Yes
12533306,Digital first,19,Woman,Yes
12533307,Digital first,21,Man,Yes
12533308,Physical first,21,Man,Yes
12533310,Physical first,22,Woman,Yes
12533309,Physical first,22,Woman,Yes
12533311,Digital first,22,Woman,Yes
12533312,Digital first,23,Woman,No
12533313,Physical first,21,Woman,Yes
12533314,Physical first,22,Woman,No
12533315,Digital first,21,Woman,No
12533316,Physical first,21,Man,Yes
