origID,age,gender,english,How did you find participating in this experiment? Please tell us anything you'd like to share about your experience.,rc_acc,rct,mw_freq,mw_intent_freq,smq_mean,preoccupation,tolerance,withdrawal,persistence,escape,problems,deception,displacement,conflict
12533358,19,Woman,Yes,My experience of this experiment was good. I did find myself looking at the clock to see if I was completing the tasks too quickly.,36.11111111111111,5783.586111110377,44.44444444444445,25,3.148148148148148,1.5,3,3.5,2.5,2,3,3.5,3.5,5.5
12533359,18,Woman,Yes,this experiment was very interesting and easy to understand the tasks which needed to be completed.,50,7855.769444445391,55.55555555555556,6.666666666666668,2.814814814814815,1,1,1.5,4.5,1,3.5,4.5,3,5
12533360,18,Woman,Yes,I found the passages interesting to read about,75,5864.361111112836,33.333333333333336,0,3.962962962962963,3.5,3.5,6,3.5,3.5,3.5,4.5,5.5,4.5
12533361,18,Woman,Yes,"good experience, simple and easy to understrand instructions",55.55555555555556,13370.086111111676,37.037037037037045,0,4.888888888888889,4,5,5,5,5,4.5,5,5.5,5.5
12533363,18,Man,Yes,"Shorter than expected, though perhaps this is due to my own reading speed.

Outside of the results and data that are to be used, I did find it enjoyable to test my reading comprehension and short-term memory in such a way.",75,6823.777777775999,0,NA,3.814814814814815,2.5,3.5,3.5,3.5,3,4,5.5,4,5.5
12533362,19,Man,Yes,I personally felt more attentive to the paper condition -despite increased intentional and unintentional wandering- compared to the online condition.,66.66666666666667,10331.424999998097,74.07407407407408,45.00000000000001,3.185185185185185,3,3.5,2.5,2.5,2,5,4.5,4.5,4.5
12533364,19,Woman,Yes,NA,50,17812.758333330174,29.629629629629623,12.5,3.5185185185185186,3,4,3.5,2.5,2.5,4,3.5,4.5,4.5
12533365,19,Man,Yes,NA,77.77777777777779,10467.14722222496,0,NA,4.888888888888889,4,5,4.5,5,4,5,6,6,5.5
12533366,19,Man,Yes,I found the passages intriguing and interesting to read about so that kept me from my mind wandering too much from the task at hand.,61.111111111111114,8847.974999999495,25.925925925925924,0,2.5185185185185186,3.5,4,3.5,1.5,1.5,1.5,1.5,2.5,3
12533367,18,Woman,Yes,NA,52.77777777777778,8269.916666665604,18.518518518518523,0,4.518518518518518,3,4,4,5,3,4.5,6,6,6
12533368,19,Woman,Yes,The instructions in this experiment were very clear so i understood what i had to do and found the overall experience relaxing.,58.33333333333333,10256.149999999714,14.814814814814811,25,4.037037037037037,4,3.5,3,4,4,4.5,4.5,5,4.5
12533369,18,Man,Yes,"very interesting study, feel the presense of another participant could have contributed to mind wandering at points",58.333333333333336,6227.375000001208,44.44444444444444,41.666666666666664,4.2592592592592595,2,3,5,4,3,4.5,6,5.5,5.5
12533371,19,Woman,Yes,It was harder to focus on the passages I was less interested in.,55.55555555555556,10431.711111111184,40.74074074074074,9.09090909090909,3.740740740740741,2,2.5,4.5,2.5,1,4.5,5.5,5.5,5.5
12533370,18,Woman,Yes,The participation was interesting and highlighted to me how my attention can vary depending on the topic/ time length.,50,5751.966666667747,37.03703703703704,20,3.740740740740741,2,3,3.5,3.5,2,4,5,5.5,6
12533373,18,Prefer not to say,Yes,NA,61.111111111111114,14426.177777778365,37.03703703703704,10,3.407407407407407,2.5,3,3.5,3,2,4,4.5,3.5,5.5
12533372,19,Woman,Yes,NA,63.888888888888886,13961.133333331876,62.962962962962955,17.64705882352941,2.185185185185185,2,2.5,3.5,1.5,1,1,1.5,2.5,5.5
12533374,18,Woman,Yes,NA,66.66666666666667,9349.727777775412,33.333333333333336,33.333333333333336,4.037037037037037,2.5,4.5,5.5,2.5,1.5,5,6,4,5.5
12533375,18,Non-binary,Yes,the questions about being on task made it difficult to maintain my concentration on what i was reading and remember what i had read in the early parts of the passage,75,6741.369444444945,7.407407407407408,0,4.666666666666667,4.5,5.5,5,3.5,3,5,4,6,6
12533376,18,Woman,Yes,"I think there was more pressure on the reading than there would be if we had done it in a neutral, more familiar place so my reading speed increased but accuracy decreased. I think the study was interesting to see and take part in though",61.111111111111114,9156.8249999985,51.85185185185185,42.857142857142854,3.4814814814814814,3,3,3,5.5,2.5,3.5,2,3.5,4.5
12533377,18,Woman,Yes,"I felt more focused on the paper task, while for the digital task I felt more tired and mind wandered a lot more. However, I'm not sure whether I fully processed the words in the paper task, while for the digital task I could relatively grasp what was happening. 

Also for the paper task, if reading time was timed, I was very confused about the instructions as to how to read the paper. Hence I just pressed spacebar and next, which doesn't indicate the time I spent to read. (Please put instructions like: only press the spacebar after you flip the page), or a test trial. Since my focus has to be shifted from the paper to the screen, I'm not sure whether it's an entirely fair measure?  

Also, regarding the questionnaire, social media to me is more about replying to/waiting for responses of my friends as opposed to doomscrolling. Which is done but not obsessed over.",75,11859.85277777589,33.333333333333336,11.11111111111111,3.2962962962962967,2.5,2.5,3,3.5,2.5,3.5,5,4.5,4
12533378,18,Woman,Yes,Very easy to follow instructions,52.77777777777778,6569.591666667918,62.96296296296296,0,3.148148148148148,2.5,3.5,3,1.5,1,3.5,4,4,5.5
12533379,18,Woman,Yes,NA,36.11111111111111,7091.411111109734,29.629629629629623,0,2.888888888888889,3,3,2.5,2.5,2,3,4,2.5,4
