origID,order,condition,rc_acc,rct,mw_freq,mw_intent_freq
12533306,Digital first,Digital,43.75,7529.200000001358,38.46153846153847,0
12533306,Digital first,Physical,60,7058.51000000104,57.14285714285714,12.5
12533307,Digital first,Digital,75,9563.860000000714,21.428571428571427,66.66666666666666
12533307,Digital first,Physical,62.5,8663.131250000864,15.384615384615385,50
12533308,Physical first,Digital,50,9056.193750000748,53.84615384615385,57.14285714285714
12533308,Physical first,Physical,55.00000000000001,12345.980000000589,21.428571428571427,66.66666666666666
12533309,Physical first,Digital,75,8111.643749997602,30.76923076923077,0
12533309,Physical first,Physical,55.00000000000001,19528.60499999753,14.285714285714288,0
12533310,Physical first,Digital,44.99999999999999,9955.005000002147,28.571428571428577,50
12533310,Physical first,Physical,56.25,24389.731250003544,23.076923076923077,0
12533311,Digital first,Digital,45.00000000000001,8442.710000001858,85.71428571428571,41.666666666666664
12533311,Digital first,Physical,62.5,15369.962500002497,69.23076923076923,33.333333333333336
12533312,Digital first,Digital,43.75,8429.787500003167,61.53846153846154,62.5
12533312,Digital first,Physical,20.000000000000004,25615.025000002148,100,21.428571428571427
12533313,Physical first,Digital,25,7704.20999999739,78.57142857142857,0
12533313,Physical first,Physical,50,37234.22499999627,100,0
12533314,Physical first,Digital,30,10749.329999996122,85.71428571428571,0
12533314,Physical first,Physical,62.5,15242.818749997305,46.15384615384615,16.666666666666668
12533315,Digital first,Digital,45,8501.58500000007,57.14285714285714,0
12533315,Digital first,Physical,62.5,11017.731250000375,53.84615384615385,0
12533316,Physical first,Digital,43.75,5833.568750000792,46.15384615384615,16.666666666666664
12533316,Physical first,Physical,75,13460.290000000745,42.857142857142854,16.666666666666664
12533358,Digital first,Digital,30,5960.074999999592,42.857142857142854,33.333333333333336
12533358,Digital first,Physical,43.75,5562.974999998856,46.15384615384615,16.666666666666664
12533359,Physical first,Digital,55.00000000000001,5695.850000000995,64.28571428571429,11.111111111111107
12533359,Physical first,Physical,43.75,10555.668750000885,46.15384615384615,0
12533360,Digital first,Digital,81.25,6131.406250001997,23.076923076923073,0
12533360,Digital first,Physical,70,5650.725000001507,42.85714285714285,0
12533361,Physical first,Digital,56.25,6695.762500000608,61.53846153846154,0
12533361,Physical first,Physical,55.00000000000001,18709.545000000526,14.285714285714288,0
12533362,Digital first,Digital,87.5,9209.993749997666,46.153846153846146,66.66666666666666
12533362,Digital first,Physical,50,11228.56999999844,100,35.71428571428571
12533363,Digital first,Digital,80,6169.104999998293,0,NA
12533363,Digital first,Physical,68.75,7642.1187499981315,0,NA
12533364,Physical first,Digital,50,12205.643749996801,38.46153846153847,20
12533364,Physical first,Physical,50,22298.449999996876,21.428571428571427,0
12533365,Physical first,Digital,65,12042.520000002836,0,NA
12533365,Physical first,Physical,93.75,8497.931250002614,0,NA
12533366,Digital first,Digital,55.00000000000001,7395.189999999257,14.285714285714288,0
12533366,Digital first,Physical,68.75,10663.956249999792,38.46153846153847,0
12533367,Digital first,Digital,56.25,8937.962499998832,38.46153846153847,0
12533367,Digital first,Physical,50,7735.479999999021,0,NA
12533368,Physical first,Digital,50,8215.944999999681,7.142857142857145,0
12533368,Physical first,Physical,68.75,12806.406249999756,23.076923076923077,33.333333333333336
12533369,Physical first,Digital,56.25,5923.675000001451,38.46153846153847,40
12533369,Physical first,Physical,60,6470.335000001013,50,42.857142857142854
12533370,Digital first,Digital,45,5708.620000001116,42.857142857142854,33.333333333333336
12533370,Digital first,Physical,56.25,5806.150000001035,30.76923076923077,0
12533371,Digital first,Digital,62.5,8833.131249999351,38.46153846153847,20
12533371,Digital first,Physical,50,11710.575000000652,42.857142857142854,0
12533372,Physical first,Digital,50,6524.864999998873,71.42857142857143,20
12533372,Physical first,Physical,81.25,23256.46874999813,53.846153846153854,14.285714285714288
12533373,Physical first,Digital,56.25,6987.73125000039,46.15384615384615,0
12533373,Physical first,Physical,65,20376.935000000736,28.571428571428577,25
12533374,Digital first,Digital,75,8514.387499997389,30.76923076923077,25
12533374,Digital first,Physical,60,10017.999999997835,35.71428571428571,40
12533375,Physical first,Digital,70,6838.120000000449,0,NA
12533375,Physical first,Physical,81.25,6620.431250000565,15.384615384615383,0
12533376,Physical first,Digital,68.75,7571.612499998213,53.84615384615385,42.857142857142854
12533376,Physical first,Physical,55.00000000000001,10424.99499999873,50,42.857142857142854
12533377,Digital first,Digital,80,14506.599999998178,35.714285714285715,20
12533377,Digital first,Physical,68.75,8551.418749998033,30.76923076923077,0
12533378,Physical first,Digital,56.25,6552.068750001272,61.53846153846154,0
12533378,Physical first,Physical,50,6583.610000001235,64.28571428571429,0
12533379,Digital first,Digital,31.25,7322.812499998367,23.076923076923077,0
12533379,Digital first,Physical,40,6906.289999998827,35.71428571428571,0
12533380,Digital first,Digital,75,10630.295000003194,0,NA
12533380,Digital first,Physical,75,10697.593750002605,30.76923076923077,0
