origID,order,trial,response,mw_response,mw_intent,condition
12533358,Digital first,1,On Task,0,NA,Digital
12533358,Digital first,2,Intentional,1,1,Digital
12533358,Digital first,3,On Task,0,NA,Digital
12533358,Digital first,4,On Task,0,NA,Digital
12533358,Digital first,5,Intentional,1,1,Digital
12533358,Digital first,6,On Task,0,NA,Digital
12533358,Digital first,7,On Task,0,NA,Digital
12533358,Digital first,8,On Task,0,NA,Digital
12533358,Digital first,9,Unintentional,1,0,Digital
12533358,Digital first,10,Unintentional,1,0,Digital
12533358,Digital first,11,Unintentional,1,0,Digital
12533358,Digital first,12,On Task,0,NA,Digital
12533358,Digital first,13,Unintentional,1,0,Digital
12533358,Digital first,14,On Task,0,NA,Digital
12533358,Digital first,1,On Task,0,NA,Physical
12533358,Digital first,2,On Task,0,NA,Physical
12533358,Digital first,3,On Task,0,NA,Physical
12533358,Digital first,4,Unintentional,1,0,Physical
12533358,Digital first,5,On Task,0,NA,Physical
12533358,Digital first,6,Unintentional,1,0,Physical
12533358,Digital first,7,On Task,0,NA,Physical
12533358,Digital first,8,On Task,0,NA,Physical
12533358,Digital first,9,On Task,0,NA,Physical
12533358,Digital first,10,Intentional,1,1,Physical
12533358,Digital first,11,Unintentional,1,0,Physical
12533358,Digital first,12,Unintentional,1,0,Physical
12533358,Digital first,13,Unintentional,1,0,Physical
12533363,Digital first,1,On Task,0,NA,Digital
12533363,Digital first,2,On Task,0,NA,Digital
12533363,Digital first,3,On Task,0,NA,Digital
12533363,Digital first,4,On Task,0,NA,Digital
12533363,Digital first,5,On Task,0,NA,Digital
12533363,Digital first,6,On Task,0,NA,Digital
12533363,Digital first,7,On Task,0,NA,Digital
12533363,Digital first,8,On Task,0,NA,Digital
12533363,Digital first,9,On Task,0,NA,Digital
12533363,Digital first,10,On Task,0,NA,Digital
12533363,Digital first,11,On Task,0,NA,Digital
12533363,Digital first,12,On Task,0,NA,Digital
12533363,Digital first,13,On Task,0,NA,Digital
12533363,Digital first,14,On Task,0,NA,Digital
12533363,Digital first,1,On Task,0,NA,Physical
12533363,Digital first,2,On Task,0,NA,Physical
12533363,Digital first,3,On Task,0,NA,Physical
12533363,Digital first,4,On Task,0,NA,Physical
12533363,Digital first,5,On Task,0,NA,Physical
12533363,Digital first,6,On Task,0,NA,Physical
12533363,Digital first,7,On Task,0,NA,Physical
12533363,Digital first,8,On Task,0,NA,Physical
12533363,Digital first,9,On Task,0,NA,Physical
12533363,Digital first,10,On Task,0,NA,Physical
12533363,Digital first,11,On Task,0,NA,Physical
12533363,Digital first,12,On Task,0,NA,Physical
12533363,Digital first,13,On Task,0,NA,Physical
12533366,Digital first,1,On Task,0,NA,Digital
12533366,Digital first,2,On Task,0,NA,Digital
12533366,Digital first,3,On Task,0,NA,Digital
12533366,Digital first,4,On Task,0,NA,Digital
12533366,Digital first,5,Unintentional,1,0,Digital
12533366,Digital first,6,On Task,0,NA,Digital
12533366,Digital first,7,On Task,0,NA,Digital
12533366,Digital first,8,Unintentional,1,0,Digital
12533366,Digital first,9,On Task,0,NA,Digital
12533366,Digital first,10,On Task,0,NA,Digital
12533366,Digital first,11,On Task,0,NA,Digital
12533366,Digital first,12,On Task,0,NA,Digital
12533366,Digital first,13,On Task,0,NA,Digital
12533366,Digital first,14,On Task,0,NA,Digital
12533366,Digital first,1,Unintentional,1,0,Physical
12533366,Digital first,2,On Task,0,NA,Physical
12533366,Digital first,3,On Task,0,NA,Physical
12533366,Digital first,4,On Task,0,NA,Physical
12533366,Digital first,5,Unintentional,1,0,Physical
12533366,Digital first,6,Unintentional,1,0,Physical
12533366,Digital first,7,On Task,0,NA,Physical
12533366,Digital first,8,Unintentional,1,0,Physical
12533366,Digital first,9,On Task,0,NA,Physical
12533366,Digital first,10,On Task,0,NA,Physical
12533366,Digital first,11,On Task,0,NA,Physical
12533366,Digital first,12,Unintentional,1,0,Physical
12533366,Digital first,13,On Task,0,NA,Physical
12533370,Digital first,1,On Task,0,NA,Digital
12533370,Digital first,2,On Task,0,NA,Digital
12533370,Digital first,3,On Task,0,NA,Digital
12533370,Digital first,4,Intentional,1,1,Digital
12533370,Digital first,5,On Task,0,NA,Digital
12533370,Digital first,6,On Task,0,NA,Digital
12533370,Digital first,7,Unintentional,1,0,Digital
12533370,Digital first,8,On Task,0,NA,Digital
12533370,Digital first,9,Unintentional,1,0,Digital
12533370,Digital first,10,On Task,0,NA,Digital
12533370,Digital first,11,On Task,0,NA,Digital
12533370,Digital first,12,Unintentional,1,0,Digital
12533370,Digital first,13,Unintentional,1,0,Digital
12533370,Digital first,14,Intentional,1,1,Digital
12533370,Digital first,1,On Task,0,NA,Physical
12533370,Digital first,2,On Task,0,NA,Physical
12533370,Digital first,3,On Task,0,NA,Physical
12533370,Digital first,4,Unintentional,1,0,Physical
12533370,Digital first,5,Unintentional,1,0,Physical
12533370,Digital first,6,On Task,0,NA,Physical
12533370,Digital first,7,On Task,0,NA,Physical
12533370,Digital first,8,On Task,0,NA,Physical
12533370,Digital first,9,On Task,0,NA,Physical
12533370,Digital first,10,On Task,0,NA,Physical
12533370,Digital first,11,On Task,0,NA,Physical
12533370,Digital first,12,Unintentional,1,0,Physical
12533370,Digital first,13,Unintentional,1,0,Physical
12533377,Digital first,1,On Task,0,NA,Digital
12533377,Digital first,2,On Task,0,NA,Digital
12533377,Digital first,3,On Task,0,NA,Digital
12533377,Digital first,4,Unintentional,1,0,Digital
12533377,Digital first,5,Unintentional,1,0,Digital
12533377,Digital first,6,On Task,0,NA,Digital
12533377,Digital first,7,On Task,0,NA,Digital
12533377,Digital first,8,Intentional,1,1,Digital
12533377,Digital first,9,On Task,0,NA,Digital
12533377,Digital first,10,On Task,0,NA,Digital
12533377,Digital first,11,Unintentional,1,0,Digital
12533377,Digital first,12,Unintentional,1,0,Digital
12533377,Digital first,13,On Task,0,NA,Digital
12533377,Digital first,14,On Task,0,NA,Digital
12533377,Digital first,1,Unintentional,1,0,Physical
12533377,Digital first,2,Unintentional,1,0,Physical
12533377,Digital first,3,On Task,0,NA,Physical
12533377,Digital first,4,On Task,0,NA,Physical
12533377,Digital first,5,Unintentional,1,0,Physical
12533377,Digital first,6,On Task,0,NA,Physical
12533377,Digital first,7,On Task,0,NA,Physical
12533377,Digital first,8,On Task,0,NA,Physical
12533377,Digital first,9,On Task,0,NA,Physical
12533377,Digital first,10,On Task,0,NA,Physical
12533377,Digital first,11,Unintentional,1,0,Physical
12533377,Digital first,12,On Task,0,NA,Physical
12533377,Digital first,13,On Task,0,NA,Physical
12533380,Digital first,1,On Task,0,NA,Digital
12533380,Digital first,2,On Task,0,NA,Digital
12533380,Digital first,3,On Task,0,NA,Digital
12533380,Digital first,4,On Task,0,NA,Digital
12533380,Digital first,5,On Task,0,NA,Digital
