origID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
12533358,1,3,2,3,2,3,3,5,4,2,2,3,2,3,2,1,1,5,3,4,4,4,3,3,5,6,6
12533359,1,1,1,1,1,1,1,3,2,4,4,5,1,1,1,2,1,5,5,6,4,3,3,3,4,6,6
12533360,1,5,6,2,2,5,6,4,6,3,2,4,2,5,5,1,1,6,6,3,3,6,3,5,3,6,6
12533361,3,5,5,5,3,5,5,5,5,4,4,6,4,6,6,3,3,6,5,5,5,5,6,6,5,6,6
12533363,3,3,2,3,3,4,3,5,4,3,3,4,3,3,3,2,1,6,6,6,5,5,3,3,5,6,6
12533362,3,2,3,4,2,3,3,3,2,1,1,4,2,2,2,4,1,6,4,2,5,5,4,4,3,5,6
12533364,2,4,4,3,3,5,3,4,4,2,2,3,3,2,2,3,3,5,2,2,5,4,5,5,4,6,5
12533365,4,6,4,5,3,5,4,5,5,5,5,5,4,5,4,5,3,5,6,5,6,6,6,6,5,4,6
12533366,2,1,5,3,2,5,4,5,3,1,2,2,1,2,2,1,1,2,1,2,2,3,3,2,3,5,3
12533367,1,4,5,3,3,5,3,4,5,4,4,6,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6
12533368,3,5,5,4,3,3,3,4,3,3,3,5,4,4,4,4,2,5,5,4,4,5,5,5,4,5,5
12533369,1,4,3,2,4,4,5,5,5,3,2,5,2,4,4,3,2,6,6,6,6,5,6,6,5,5,6
12533371,1,3,3,2,2,3,5,5,4,2,2,3,1,1,1,3,3,6,5,6,6,5,6,6,5,6,6
12533370,2,3,2,3,2,3,3,4,4,3,3,4,2,2,2,3,4,5,6,4,4,5,5,6,6,5,6
12533373,2,3,3,3,2,3,3,4,4,3,3,3,2,2,2,3,3,5,4,4,5,4,3,3,5,5,6
12533372,2,2,2,2,1,3,5,3,2,1,2,2,1,1,1,1,1,1,1,1,2,3,3,2,5,3,6
12533374,2,5,3,3,2,6,5,6,6,2,2,3,1,4,2,4,1,6,6,6,6,5,3,3,5,6,6
12533375,3,5,6,5,4,6,4,6,6,3,3,4,3,3,3,4,3,6,2,5,6,6,6,6,6,6,6
12533376,2,4,4,4,3,2,1,4,5,5,3,6,2,3,3,1,2,6,3,6,1,5,2,2,3,6,6
12533377,2,3,3,2,1,3,2,4,4,3,2,4,3,2,2,3,3,4,6,5,4,6,3,3,2,4,6
12533378,2,3,3,2,3,5,2,5,4,1,1,2,1,1,1,1,3,6,3,3,5,3,3,5,5,6,6
12533379,3,3,3,3,2,3,2,4,3,2,2,3,2,2,2,4,1,2,4,4,4,3,3,2,4,4,4
12533380,2,6,6,4,3,5,5,6,6,2,2,4,3,2,2,4,3,6,5,5,5,6,6,5,3,6,6
12533306,3,5,6,3,2,6,5,4,5,3,2,6,6,6,6,3,4,6,6,5,6,6,6,6,6,6,6
12533307,3,5,5,3,3,6,6,6,6,5,5,6,5,6,6,3,4,6,6,6,6,5,4,6,6,6,6
12533308,6,5,4,3,3,6,3,6,5,3,3,6,3,3,4,4,2,6,6,5,6,6,3,4,5,6,6
12533310,3,3,2,3,4,5,5,6,6,5,5,6,2,1,2,3,1,6,5,2,5,5,5,5,6,6,6
12533309,2,4,3,3,3,3,3,5,4,2,2,6,5,3,3,3,2,6,6,6,5,5,6,6,6,6,6
12533311,2,2,2,1,2,1,2,3,2,2,2,2,1,2,2,2,1,3,3,3,2,3,3,2,4,4,6
12533312,1,1,1,1,1,1,1,2,2,3,2,2,1,1,1,1,2,2,1,2,3,1,2,2,2,2,2
12533313,1,6,6,2,2,1,3,6,4,1,1,4,1,3,1,1,1,6,6,6,6,5,2,1,1,6,6
12533315,2,2,3,3,2,2,2,3,1,2,2,3,1,1,1,3,2,3,3,3,3,3,2,2,2,3,4
12533314,2,3,4,3,2,3,2,3,2,2,2,2,3,4,2,2,2,3,3,2,4,2,3,4,2,4,3
12533316,2,6,5,3,4,6,4,6,6,3,3,6,5,6,6,3,3,6,4,3,3,6,6,6,5,6,6
